rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/policy_loss,train/explained_variance,train/std,time/total_timesteps,time/time_elapsed
-371825.84896659,0.0001,5999,22.79,1643,-17.03913688659668,6987418624.0,-1278487.125,0.0,1.001023769378662,480000,292
-320328.80947815,0.0001,6124,19.12,1642,-17.041282653808594,5376070656.0,-1199760.25,0.0,1.0011473894119263,490000,298
-377054.63051506993,0.0001,6249,22.86,1641,-17.046287536621094,6729012224.0,-1344345.25,0.0,1.0015634298324585,500000,304
-373420.49143478996,0.0001,6374,22.62,1641,-17.046409606933594,6693374976.0,-1313248.25,1.7881393432617188e-07,1.0015926361083984,510000,310
-370233.8791546401,0.0001,6499,22.15,1640,-17.037927627563477,6150926848.0,-1251254.75,0.0,1.0009174346923828,520000,316
-300156.37955208,0.0001,6624,18.25,1639,-17.03742027282715,7300086272.0,-1285406.875,0.0,1.0008764266967773,530000,323
-357546.92676170997,0.0001,6749,21.79,1637,-17.0333194732666,5865443328.0,-1207192.75,-2.384185791015625e-07,1.0005587339401245,540000,329
-364005.15576274006,0.0001,6874,22.65,1636,-17.032331466674805,7435392512.0,-1343003.625,0.0,1.0004788637161255,550000,336
-355384.78241747007,0.0001,6999,22.23,1636,-17.0384521484375,8180421632.0,-1363753.625,-1.1920928955078125e-07,1.0009933710098267,560000,342
-334787.14027837996,0.0001,7124,20.13,1636,-17.036914825439453,9738133504.0,-1552664.25,1.7881393432617188e-07,1.0008515119552612,570000,348
-347535.38507894,0.0001,7249,21.58,1636,-17.034252166748047,6756109312.0,-1272227.0,0.0,1.0006722211837769,580000,354
-370181.16640172,0.0001,7374,23.11,1636,-17.03453254699707,4968963072.0,-1120189.0,0.0,1.0006465911865234,590000,360
-346994.4855931699,0.0001,7499,21.58,1635,-17.031164169311523,4612061696.0,-862006.875,0.0,1.0003772974014282,600000,366
-342045.66022998997,0.0001,7624,22.08,1633,-17.02696418762207,7798714368.0,-1386176.25,0.0,1.0000412464141846,610000,373
-428580.2475807901,0.0001,7749,26.77,1630,-17.02753257751465,5782595072.0,-1185292.5,0.0,1.0000975131988525,620000,380
-424421.1001844001,0.0001,7874,26.28,1628,-17.02305793762207,8036007936.0,-1391778.75,-1.1920928955078125e-07,0.999722957611084,630000,386
-328510.11018659,0.0001,7999,20.01,1628,-17.029829025268555,6022487040.0,-1115328.75,0.0,1.0002700090408325,640000,393
-365680.94079769,0.0001,8124,22.52,1628,-17.03131675720215,5720948736.0,-1172920.0,-1.1920928955078125e-07,1.0004040002822876,650000,399
-383512.69606007,0.0001,8249,24.26,1627,-17.040050506591797,5821999616.0,-1210576.75,0.0,1.0011008977890015,660000,405
-391747.63329130993,0.0001,8374,24.46,1627,-17.038909912109375,7063493120.0,-1343723.75,5.960464477539063e-08,1.0010310411453247,670000,411
-342575.7176454599,0.0001,8499,21.15,1627,-17.033653259277344,6702556160.0,-1268911.125,0.0,1.000613808631897,680000,417
-363103.15621882,0.0001,8624,22.93,1627,-17.03539276123047,5189170176.0,-961792.0,0.0,1.0007997751235962,690000,424
-404184.7116187,0.0001,8749,26.64,1627,-17.03325653076172,5911773696.0,-1185709.0,0.0,1.0006062984466553,700000,430
-375511.7172216399,0.0001,8874,22.96,1626,-17.032238006591797,6653315584.0,-1310397.125,0.0,1.0004408359527588,710000,436
-377426.81243401,0.0001,8999,24.06,1626,-17.028953552246094,5394331136.0,-1020340.8125,0.0,1.0002230405807495,720000,442
-427618.25149743,0.0001,9124,27.66,1625,-17.035552978515625,6511512576.0,-1157565.75,5.960464477539063e-08,1.0007551908493042,730000,448
-368223.79056314,0.0001,9249,24.03,1625,-17.042192459106445,4931881984.0,-1031424.625,0.0,1.0013176202774048,740000,455
-364023.46441849,0.0001,9374,22.32,1625,-17.043230056762695,5695550464.0,-1144954.5,1.1920928955078125e-07,1.001359462738037,750000,461
-352879.60084644996,0.0001,9499,22.19,1624,-17.050453186035156,6653852672.0,-1301153.75,0.0,1.0019910335540771,760000,467
-370414.88462599,0.0001,9624,23.36,1623,-17.053783416748047,7339338752.0,-1370107.0,-1.1920928955078125e-07,1.002282977104187,770000,474
-311424.29502217,0.0001,9749,19.42,1621,-17.050636291503906,5374226432.0,-1087898.5,-1.1920928955078125e-07,1.0020105838775635,780000,480
-384412.87698566006,0.0001,9874,25.18,1621,-17.050329208374023,4921565696.0,-1020830.5,0.0,1.0020415782928467,790000,487
-313668.58924671006,0.0001,9999,19.56,1621,-17.04615020751953,6244890624.0,-1248232.125,0.0,1.0016651153564453,800000,493
-329699.85253197997,0.0001,10124,21.56,1621,-17.051973342895508,6485351424.0,-1248478.25,1.7881393432617188e-07,1.0021438598632812,810000,499
-391059.28963226,0.0001,10249,25.9,1621,-17.054582595825195,5350878208.0,-1026600.625,0.0,1.0023366212844849,820000,505
-425098.5913341299,0.0001,10374,27.78,1621,-17.05500030517578,7000544256.0,-1363306.25,-1.1920928955078125e-07,1.0023550987243652,830000,511
-411957.90778258996,0.0001,10499,26.49,1621,-17.05288314819336,5884142592.0,-1056686.375,0.0,1.0022209882736206,840000,518
-379834.14305734,0.0001,10624,23.89,1620,-17.057954788208008,6017745920.0,-937747.625,0.0,1.0026367902755737,850000,524
-358891.39491468994,0.0001,10749,23.49,1620,-17.060022354125977,6815618560.0,-1198660.25,0.0,1.002777099609375,860000,530
-396432.00417271,0.0001,10874,25.12,1620,-17.06299591064453,7168861696.0,-1349155.25,0.0,1.0030819177627563,870000,536
-364554.24325781,0.0001,10999,23.22,1620,-17.05775260925293,6793303040.0,-1278316.625,0.0,1.002642035484314,880000,543
-364146.0215500601,0.0001,11124,22.92,1619,-17.06220245361328,6591345664.0,-1328896.75,0.0,1.002967357635498,890000,549
-367091.77767955,0.0001,11249,23.54,1619,-17.062395095825195,7121112064.0,-1263933.25,5.960464477539063e-08,1.003008246421814,900000,555
-348983.3606961399,0.0001,11374,22.07,1618,-17.06475830078125,4092556800.0,-894869.875,-1.1920928955078125e-07,1.003225326538086,910000,562
-329061.05376675003,0.0001,11499,20.54,1618,-17.061878204345703,6267889664.0,-1129523.25,0.0,1.0029593706130981,920000,568
-328246.41875265,0.0001,11624,21.61,1618,-17.0632381439209,6847250944.0,-1264715.625,0.0,1.003037452697754,930000,574
-373128.1137240401,0.0001,11749,24.03,1617,-17.058515548706055,6841781760.0,-1286254.0,5.960464477539063e-08,1.0027310848236084,940000,580
-381961.54575681,0.0001,11874,24.18,1617,-17.059104919433594,6145846272.0,-1229620.375,1.7881393432617188e-07,1.0027652978897095,950000,587
-346633.51672720996,0.0001,11999,22.32,1618,-17.060400009155273,7987525120.0,-1426169.375,1.7881393432617188e-07,1.002874732017517,960000,593
-342677.6748951601,0.0001,12124,20.96,1618,-17.06247329711914,6625022464.0,-1284692.0,0.0,1.003039836883545,970000,599
-317893.64180783,0.0001,12249,20.2,1619,-17.059263229370117,5451793408.0,-1214412.75,0.0,1.002713918685913,980000,605
-345557.37553106004,0.0001,12374,21.41,1619,-17.057384490966797,6327001600.0,-1147336.25,0.0,1.0025908946990967,990000,611
-341178.42117424996,0.0001,12499,21.71,1620,-17.063936233520508,4328659456.0,-926377.0,1.1920928955078125e-07,1.0031315088272095,1000000,617
