rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/fps
-125587.27700889,2943,125493.4921875,110200,4.0,39018540.0,142474,0.001,570000,-4.534796714782715,24.254188537597656,193
-125364.4196501,2997,124771.65625,112700,4.0,16744079.0,144974,0.001,580000,2.890223979949951,26.35015296936035,193
-125439.50771780999,3056,124935.75,115200,4.0,25560492.0,147474,0.001,590000,-1.53147554397583,26.632863998413086,193
-125145.51635998,3108,123517.90625,117699,4.01,9596262.0,149974,0.001,600000,-1.7543575763702393,22.447555541992188,193
-125269.86406626999,3164,121239.9453125,120199,4.0,3529542.25,152474,0.001,610000,0.557805061340332,21.54401206970215,192
-125486.05143271999,3220,120451.1640625,122697,4.02,13420655.0,154974,0.001,620000,-0.01725834608078003,22.9327392578125,192
-125954.48304885,3278,123905.6953125,125180,4.0,4825440.0,157474,0.001,630000,-2.8736815452575684,28.58804702758789,192
-125349.70709172997,3334,120552.34375,127680,4.0,6863981.5,159974,0.001,640000,1.9214731454849243,21.696666717529297,191
-125290.17427725001,3390,120459.5703125,130180,4.0,5494033.5,162474,0.001,650000,1.0372657775878906,19.99542999267578,191
-125273.44393726,3443,121576.2109375,132677,4.0,4294603.0,164974,0.001,660000,-5.822197914123535,21.162078857421875,191
-125370.98441080003,3503,118507.390625,135177,4.0,3441985.5,167474,0.001,670000,-2.351804256439209,18.60964584350586,191
-124898.16768291,3561,119314.5625,137666,4.0,4725365.5,169974,0.001,680000,-0.3005702495574951,20.567663192749023,190
-125285.23637667998,3621,120506.984375,140166,4.0,3930964.5,172474,0.001,690000,-2.917226552963257,19.722963333129883,190
-124985.56856483,3677,115451.8359375,142666,4.0,5919770.0,174974,0.001,700000,3.0112228393554688,19.09660530090332,190
-125214.51248573998,3731,118295.9296875,145165,4.0,3883082.75,177474,0.001,710000,1.7924472093582153,21.021541595458984,190
-125271.91054881999,3786,116458.109375,147664,4.0,4471961.0,179974,0.001,720000,3.455965518951416,18.476961135864258,190
-125084.23760144002,3847,115475.546875,150163,4.0,4652370.0,182474,0.001,730000,1.9802570343017578,16.923870086669922,189
-125130.54651703,3907,114045.796875,152662,4.0,5171367.0,184974,0.001,740000,-3.107576608657837,18.197683334350586,189
-124940.35042735001,3964,116776.984375,155162,4.0,6578545.5,187474,0.001,750000,0.6099583506584167,19.118206024169922,189
-124803.76985682998,4015,120831.09375,157662,4.0,5751399.5,189974,0.001,760000,0.777405858039856,18.54584312438965,189
-124971.13248349,4071,117213.7890625,160162,4.0,7569892.0,192474,0.001,770000,-1.9787909984588623,18.145038604736328,189
-124847.85044304,4125,119985.8046875,162662,4.0,5141989.0,194974,0.001,780000,-1.3402267694473267,19.862564086914062,189
-124960.78902155999,4185,116714.0703125,165162,4.0,3576334.25,197474,0.001,790000,-0.3222392797470093,16.92867660522461,188
-124847.78841850001,4239,117423.703125,167662,4.0,3708824.0,199974,0.001,800000,2.239643096923828,16.24081039428711,188
-124794.58236975002,4296,116294.4375,170162,4.0,4128063.5,202474,0.001,810000,0.4081979990005493,17.102930068969727,188
-124802.25640379998,4353,119107.7734375,172661,4.0,6121052.0,204974,0.001,820000,-1.1261470317840576,19.344425201416016,188
-124727.99554415,4409,118100.796875,175161,4.0,3588897.25,207474,0.001,830000,2.6930081844329834,18.886241912841797,188
-124885.47383236,4464,117328.09375,177660,4.0,3723163.5,209974,0.001,840000,-2.509026050567627,21.685930252075195,188
-124819.17144050999,4522,120091.90625,180157,4.0,7144088.0,212474,0.001,850000,-0.13127505779266357,18.548376083374023,187
-124844.86474384,4583,120065.109375,182657,4.0,8740080.0,214974,0.001,860000,-1.6457912921905518,16.62640380859375,187
-124809.48352136002,4641,115088.1484375,185154,4.0,3009154.0,217474,0.001,870000,0.32977303862571716,18.602853775024414,187
