train/n_updates,train/loss,train/approx_kl,rollout/ep_len_mean,train/std,train/value_loss,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance
630,198326336.0,0.012624225,209.94,5.109537124633789,387720016.3125,906,0.0017,573,520000,0.12601318359375,0.0010258637777951663,0.2,-243831.26629739,-18.0621100589633,0.0
640,301211712.0,0.010394005,199.49,5.286464214324951,414649943.24375,908,0.0017,583,530000,0.0779052734375,-0.0010787624954900822,0.2,-233478.92789482002,-18.258989135921002,-1.1920928955078125e-07
650,302706432.0,0.010282185,214.0,5.453836917877197,371932747.23125,910,0.0017,593,540000,0.08306884765625,-0.002191994447821344,0.2,-247602.97303259998,-18.4544937312603,0.0
670,122600672.0,0.0076559205,221.54,5.753324031829834,381296003.59375,904,0.0017,608,550000,0.05880126953125,-0.0026044439988254452,0.2,-267425.97410131,-18.790923403203486,0.0
680,285829248.0,0.0110366475,205.46,5.963534832000732,365113531.7,905,0.0017,618,560000,0.0713623046875,-0.000244587770976068,0.2,-253296.63278865002,-18.976804266870023,-1.1920928955078125e-07
690,180154704.0,0.009176509,217.54,6.15907096862793,335393822.11875,907,0.0017,627,570000,0.078466796875,-0.001028806208705646,0.2,-262529.71962887,-19.17482426762581,0.0
700,158851168.0,0.006770252,235.39,6.314948558807373,360152249.60625,909,0.0017,637,580000,0.0463623046875,-0.0005627658845696714,0.2,-270744.48840621003,-19.326214748620988,0.0
720,193867040.0,0.008065543,222.09,6.739742279052734,359557172.04375,903,0.0017,652,590000,0.056298828125,-0.0012546318501335918,0.2,-258131.75527772,-19.684258602559566,0.0
730,154820688.0,0.15557534,225.04,6.994220733642578,376780653.721875,905,0.0017,662,600000,0.30975341796875,0.042515173547144514,0.2,-278804.1400845,-19.886063940823078,-1.1920928955078125e-07
740,227398496.0,0.006233181,245.84,7.087330341339111,520863836.5875,907,0.0017,672,610000,0.0419677734375,-0.006368643672067265,0.2,-355918.63041439996,-20.039878499507903,0.0
750,168019152.0,0.007711692,288.68,7.207457065582275,461138501.6875,908,0.0017,682,620000,0.06326904296875,-0.005799850415314722,0.2,-437119.12674260995,-20.128948621451855,0.0
760,334130400.0,0.008895111,291.89,7.378742694854736,386974291.45,910,0.0017,692,630000,0.0751953125,-0.00561865198706073,0.2,-451256.30243469996,-20.250664031505586,-1.1920928955078125e-07
780,149098640.0,0.008261664,283.26,7.834249019622803,344129684.0125,905,0.0017,707,640000,0.0620849609375,-0.002817720100210863,0.2,-390890.90716938995,-20.59798073172569,0.0
790,72145696.0,0.009435213,265.22,8.104867935180664,345093839.675,906,0.0017,716,650000,0.06903076171875,-0.0010781104448142286,0.2,-346191.7984807,-20.77931380569935,0.0
800,260121408.0,0.00973716,267.66,8.321305274963379,344361439.83125,908,0.0017,726,660000,0.07369384765625,-0.0032603725743683754,0.2,-347994.4589865401,-20.939689525961874,1.1920928955078125e-07
810,161437104.0,0.009531465,240.02,8.627208709716797,403714378.625,909,0.0017,736,670000,0.06497802734375,-0.00040683461684238865,0.2,-318315.42432865995,-21.131586395204067,0.0
830,186812336.0,0.008868773,220.14,9.189746856689453,372576351.175,905,0.0017,751,680000,0.058447265625,-0.001886239313716942,0.2,-289740.54923013004,-21.520819775760174,0.0
840,332683424.0,0.011134224,234.64,9.480237007141113,367696609.93125,906,0.0017,761,690000,0.07049560546875,-0.0007623775180036318,0.2,-308342.86538323003,-21.702104099094868,-1.1920928955078125e-07
850,148299216.0,0.007876987,230.05,9.754544258117676,360081893.025,908,0.0017,770,700000,0.055517578125,4.1172433157044e-05,0.2,-302539.647328,-21.87617210149765,0.0
860,187297200.0,0.00892514,222.86,10.101921081542969,327759147.5125,909,0.0017,780,710000,0.0537109375,-0.0009330674468401412,0.2,-297980.10755367,-22.06531331092119,5.960464477539063e-08
870,185436224.0,0.012437142,253.3,10.530895233154297,356224481.209375,910,0.0017,790,720000,0.0942626953125,0.0011938600329813199,0.2,-307549.13521406,-22.319428819417954,0.0
890,229430288.0,0.0055828304,259.34,11.325968742370605,402934325.1125,906,0.0017,805,730000,0.028125,-0.0025957296926208072,0.2,-326105.21201933,-22.73947982788086,-1.1920928955078125e-07
