time/fps,train/clip_fraction,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/clip_range,train/loss,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates
1486,0.0,123.0,0.0017,457,0.2,355010688.0,679371362.9,0.0195198655128479,680000,-188481.89138849004,2.13772e-06,-1.7707482675177745e-05,4.042206287384033,-16.820397600531578,830
1488,0.0,114.61,0.0017,463,0.2,309599488.0,775324691.6625,0.002025604248046875,690000,-176591.36847475,8.925861e-06,-4.605300864568562e-05,4.042669773101807,-16.82106796950102,840
1490,0.0,108.55,0.0017,469,0.2,291591840.0,784080425.375,0.01776939630508423,700000,-180528.68788827,4.360707e-06,-5.226755783951376e-05,4.0439581871032715,-16.822449681162833,850
1493,0.0,123.61,0.0017,475,0.2,206585792.0,713393508.725,0.00907212495803833,710000,-183832.81532874,0.00034627333,-0.0009833472688114853,4.047849655151367,-16.828024910390376,860
1495,0.0,111.27,0.0017,481,0.2,328827520.0,783450975.375,0.01660025119781494,720000,-162912.85551705,3.2201722e-05,-0.0001968157341252663,4.0492329597473145,-16.830023527145386,870
1488,0.0,120.71,0.0017,490,0.2,354999936.0,723334471.85,0.031216204166412354,730000,-159275.78881606,5.913389e-07,-1.0984099480992881e-05,4.049596309661865,-16.831134159862994,890
1490,0.0,114.23,0.0017,496,0.2,203039296.0,694861810.175,0.051710546016693115,740000,-169303.87779509,5.142283e-07,-1.8698345320444788e-05,4.04995584487915,-16.83150648474693,900
1492,0.0,108.28,0.0017,502,0.2,338856640.0,772777478.025,0.027575016021728516,750000,-181640.92770865,5.4383934e-05,-6.697076751152053e-05,4.056361675262451,-16.837082967162132,910
1494,0.0,113.68,0.0017,508,0.2,302014080.0,752107374.875,0.03429931402206421,760000,-157759.00399390003,4.5828856e-06,-6.550423222506652e-06,4.057666778564453,-16.842173168063162,920
1496,0.0,118.76,0.0017,514,0.2,415472736.0,760657559.375,0.035570502281188965,770000,-189693.50662940004,7.4418494e-08,-4.321192227507708e-06,4.057921886444092,-16.843214382231235,930
1489,0.0,113.49,0.0017,523,0.2,450093856.0,704536930.4875,0.005046069622039795,780000,-163206.08344286997,4.6297937e-06,-2.330543493371806e-05,4.0812087059021,-16.877029471099377,950
1491,0.0,121.87,0.0017,529,0.2,322019872.0,704334500.375,0.03724551200866699,790000,-183147.87797061997,4.506146e-07,-1.7511705664219334e-06,4.081501007080078,-16.878090536594392,960
1493,0.0,118.33,0.0017,535,0.2,416047008.0,760489402.25,0.0273667573928833,800000,-180506.64649466,9.289579e-07,-1.142211012847838e-05,4.081912517547607,-16.878597429394723,970
1495,0.0,114.04,0.0017,541,0.2,448794752.0,720626888.5125,0.014020144939422607,810000,-168628.56677951,3.542009e-07,-7.775125413900242e-06,4.082165718078613,-16.879094198346138,980
1489,0.0013427734375,102.57,0.0017,550,0.2,524746432.0,773765646.9625,0.00970160961151123,820000,-164146.81228753002,0.0012855292,-0.0014561806139681722,4.102817535400391,-16.90264564156532,1000
