train/actor_loss,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,time/total_timesteps,train/critic_loss,train/ent_coef,time/time_elapsed,rollout/ep_len_mean
-10930.798828125,6288,0.001,197474,-320314.53422763,243,-0.8905608654022217,790000,13400651.0,18.98454475402832,3240,981.37
-9382.125,6297,0.001,199974,-330327.60746373,243,1.7344753742218018,800000,25408354.0,18.076759338378906,3283,984.41
-8781.65234375,6308,0.001,202474,-245255.11848419002,243,0.19000864028930664,810000,4952487.0,20.288890838623047,3326,984.41
-9243.3984375,6317,0.001,204974,-255924.28617407,243,3.1863064765930176,820000,8036271.0,20.08940315246582,3369,984.41
-8532.724609375,6328,0.001,207474,-265368.02577462,243,1.236919641494751,830000,54234088.0,18.96657943725586,3411,984.41
-8990.8203125,6337,0.001,209974,-299959.46173044003,243,2.0935139656066895,840000,12719432.0,18.934675216674805,3454,984.41
-9917.1015625,6348,0.001,212474,-328063.85667414,243,0.1306210458278656,850000,10015965.0,18.152446746826172,3497,984.41
-11107.3154296875,6357,0.001,214974,-357253.39492558,242,-1.5203444957733154,860000,10663616.0,19.6257266998291,3540,987.54
-9463.4921875,6368,0.001,217474,-374096.66437892005,242,-1.5583279132843018,870000,14756868.0,19.551206588745117,3583,987.65
-7774.62646484375,6378,0.001,219974,-413011.34375483997,242,-1.3408405780792236,880000,6118545.5,17.358562469482422,3626,990.14
-10866.1201171875,6388,0.001,222474,-406193.6569463899,242,-1.440075397491455,890000,7936375.5,16.896785736083984,3669,995.02
-10154.6826171875,6398,0.001,224974,-417970.6142192901,242,0.7163436412811279,900000,8351116.0,17.27715301513672,3712,994.54
-11173.6025390625,6408,0.001,227474,-420110.77548270003,242,-0.03930017352104187,910000,12172103.0,19.85145378112793,3755,994.54
-10089.802734375,6418,0.001,229974,-437673.38179923,242,0.8183503150939941,920000,31153588.0,17.961435317993164,3798,994.54
-10553.9765625,6428,0.001,232474,-488485.96845277,242,0.11862140893936157,930000,7295882.0,19.08204460144043,3840,994.54
-12353.2392578125,6443,0.001,234974,-465291.89367438,242,2.0230941772460938,940000,30251750.0,17.245296478271484,3883,949.21
-13772.814453125,6452,0.001,237474,-463317.88030497,241,-1.9928038120269775,950000,19143492.0,16.42875099182129,3926,942.27
-12245.908203125,6464,0.001,239974,-405172.04025178996,241,-0.2815718650817871,960000,10613692.0,17.21833610534668,3969,942.27
-12110.763671875,6486,0.001,242474,-482661.65333713,241,-1.2978861331939697,970000,27377270.0,18.17933464050293,4012,820.61
-13724.57421875,6497,0.001,244974,-461074.47353168996,241,0.3256690502166748,980000,14412921.0,16.28632164001465,4055,804.34
-13914.0517578125,6508,0.001,247474,-459424.37653932004,241,-0.4353584945201874,990000,11388064.0,16.130266189575195,4098,800.62
-17271.931640625,6518,0.001,249974,-436641.53619238996,241,-0.5728070139884949,1000000,35764096.0,16.208330154418945,4141,796.95
