train/std,time/fps,train/policy_loss,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates
2.010716438293457,1423,-32669.927734375,-241213.35181416,27564006.0,840000,103.3,590,0.0007,0.0,-18.927183151245117,41999
2.0323126316070557,1423,8917.7734375,-138168.21230363,1212859.0,850000,58.39,597,0.0007,0.0,-19.013809204101562,42499
2.043203592300415,1423,-21551.78515625,-154530.23203045,10228663.0,860000,74.56,604,0.0007,0.0,-19.055940628051758,42999
2.07061767578125,1423,-129738.2109375,-143718.38856327,173602800.0,870000,73.7,611,0.0007,0.0,-19.173067092895508,43499
2.066077470779419,1423,-463922.75,-151163.19619309,2029220864.0,880000,67.62,618,0.0007,0.0,-19.147920608520508,43999
2.073622703552246,1423,-132501.78125,-162635.97192927002,201027568.0,890000,104.03,625,0.0007,0.0,-19.17236328125,44499
2.0767602920532227,1424,-87373.8046875,-186898.04127643,79099264.0,900000,102.2,631,0.0007,-1.1920928955078125e-07,-19.185924530029297,44999
2.0596253871917725,1424,-97446.015625,-129877.07381438,491126592.0,910000,61.55,638,0.0007,0.0,-19.110626220703125,45499
2.076984405517578,1424,-252291.75,-161093.72559914002,997076864.0,920000,103.92,645,0.0007,0.0,-19.19160270690918,45999
2.076059341430664,1424,13339.5,-145522.12009249,1067733.125,930000,85.66,652,0.0007,0.0,-19.192001342773438,46499
2.086719036102295,1425,-28428.912109375,-171818.23564106997,15108642.0,940000,123.5,659,0.0007,-1.1920928955078125e-07,-19.231002807617188,46999
2.0997793674468994,1424,-163821.765625,-139569.99836316,437568096.0,950000,51.24,666,0.0007,-1.1920928955078125e-07,-19.29043960571289,47499
2.127100944519043,1424,24056.30078125,-133114.90196688,4573925.0,960000,41.21,673,0.0007,0.0,-19.38605308532715,47999
2.14552640914917,1424,-220324.21875,-139169.27994577997,984340672.0,970000,54.37,680,0.0007,0.0,-19.461822509765625,48499
2.1741650104522705,1424,-60258.6875,-146524.64479014,33111892.0,980000,65.79,687,0.0007,5.960464477539063e-08,-19.570634841918945,48999
2.181915283203125,1424,-79457.09375,-166944.62183645,89770440.0,990000,78.24,695,0.0007,0.0,-19.6216983795166,49499
2.2102956771850586,1424,6175.5537109375,-135444.98352214,283075.96875,1000000,60.92,702,0.0007,-1.1920928955078125e-07,-19.739686965942383,49999
