train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,train/entropy_loss,time/fps,time/total_timesteps,time/time_elapsed,train/explained_variance,train/policy_loss,train/learning_rate
5663120896.0,-601825.10635273,44.69,1.0033810138702393,10249,-17.06743049621582,1543,820000,531,-1.1920928955078125e-07,-1217243.375,0.0001
5332833792.0,-596899.32630071,44.12,1.003754734992981,10374,-17.072057723999023,1543,830000,537,5.960464477539063e-08,-1163709.25,0.0001
4328471552.0,-646139.7772497,48.64,1.0036708116531372,10499,-17.07072639465332,1543,840000,544,-2.384185791015625e-07,-1067319.25,0.0001
4871846912.0,-686333.1605406499,51.58,1.003984808921814,10624,-17.07427406311035,1543,850000,550,-2.384185791015625e-07,-1101557.375,0.0001
6654505984.0,-497701.41996494005,37.09,1.0041239261627197,10749,-17.076194763183594,1543,860000,557,-2.384185791015625e-07,-1312492.375,0.0001
5291987968.0,-616464.39013653,46.36,1.0043073892593384,10874,-17.077943801879883,1543,870000,563,0.0,-1129605.5,0.0001
6608837632.0,-592011.7580966,44.91,1.0039280652999878,10999,-17.073461532592773,1543,880000,570,-2.384185791015625e-07,-1310445.75,0.0001
4310496256.0,-529524.703474,38.75,1.004218339920044,11124,-17.07744026184082,1543,890000,576,-2.384185791015625e-07,-1064668.125,0.0001
5595190272.0,-527501.90126233,38.7,1.0042459964752197,11249,-17.07765007019043,1543,900000,583,-1.1920928955078125e-07,-1185203.875,0.0001
5691437056.0,-525721.38104328,38.48,1.0046364068984985,11374,-17.08194351196289,1543,910000,589,-1.1920928955078125e-07,-1178899.375,0.0001
5636367360.0,-599428.2788271201,44.99,1.004532814025879,11499,-17.08135414123535,1543,920000,596,-1.1920928955078125e-07,-1221093.75,0.0001
4895203328.0,-587078.7263002698,44.3,1.0043737888336182,11624,-17.079578399658203,1543,930000,602,0.0,-1122906.25,0.0001
5747743744.0,-493169.98500492016,35.74,1.0038586854934692,11749,-17.072410583496094,1543,940000,609,0.0,-1199978.375,0.0001
4968662016.0,-537204.72217473,38.87,1.004022240638733,11874,-17.07448959350586,1543,950000,615,0.0,-1100486.5,0.0001
5102448640.0,-585351.3747087601,43.26,1.004233956336975,11999,-17.077098846435547,1543,960000,622,0.0,-1128742.75,0.0001
4796964352.0,-571752.74117123,41.94,1.0042130947113037,12124,-17.077041625976562,1543,970000,628,0.0,-977333.125,0.0001
4081268736.0,-525605.34888783,38.66,1.0039769411087036,12249,-17.074623107910156,1543,980000,634,0.0,-1053745.125,0.0001
4365227008.0,-604933.6540769599,44.84,1.0039371252059937,12374,-17.073875427246094,1543,990000,641,2.384185791015625e-07,-1056636.625,0.0001
4798032384.0,-576883.02604531,42.58,1.0042463541030884,12499,-17.07732582092285,1543,1000000,647,2.384185791015625e-07,-1119439.375,0.0001
