train/clip_fraction,train/n_updates,time/total_timesteps,train/clip_range,train/approx_kl,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/explained_variance,train/loss,time/time_elapsed
0.0,740,610000,0.2,0.00054033543,0.98690265417099,-194449.67249474,38.5,-16.868383753299714,1278,-0.0011541880357981427,4759888961.8,0.0003,0.0,2501196032.0,477
0.0,750,620000,0.2,0.00084998435,0.9869069457054138,-188638.62840560998,38.19,-16.86857892870903,1279,-0.001450005733204307,4735514888.8,0.0003,-1.1920928955078125e-07,2312753408.0,484
0.0,760,630000,0.2,0.00077369227,0.9868015646934509,-192383.06109526998,37.49,-16.867934514582156,1281,-0.00140160107966949,4431876249.4,0.0003,-1.1920928955078125e-07,2394228992.0,491
0.0,780,640000,0.2,0.00113539,0.9861452579498291,-164218.14501855,29.82,-16.862360091507433,1274,-0.0017094378939873423,4625545873.2,0.0003,0.0,2458001408.0,502
0.0,790,650000,0.2,0.0008376759,0.9864911437034607,-175014.17910186003,33.9,-16.861251758038996,1276,-0.0014909924733728986,4600667197.2,0.0003,2.384185791015625e-07,2449386240.0,509
0.0,800,660000,0.2,0.0005181078,0.986254870891571,-184457.68760613003,34.98,-16.86200214922428,1278,-0.0010936836753899116,4767452302.8,0.0003,0.0,2474743296.0,516
0.0,810,670000,0.2,0.00068319,0.9859645962715149,-195426.99675891,40.06,-16.858791652321816,1280,-0.0013185978507863183,4820439185.8,0.0003,0.0,2355383808.0,523
1.220703125e-05,830,680000,0.2,0.0007842245,0.9856557846069336,-181505.98231306995,35.83,-16.85449972897768,1274,-0.0014290669629190233,4592207869.6,0.0003,0.0,2315235072.0,533
0.0,840,690000,0.2,0.0006787217,0.9851090312004089,-182194.14332754005,37.11,-16.84983085244894,1275,-0.0012944825235535972,4380174479.8,0.0003,1.1920928955078125e-07,2132614016.0,540
0.0,850,700000,0.2,0.00042255237,0.9847149848937988,-184530.82166395002,36.9,-16.844116467237473,1277,-0.0009729343741128105,4371597140.2,0.0003,0.0,2250342656.0,547
0.0,860,710000,0.2,0.00092676235,0.9842645525932312,-204910.23430724003,41.83,-16.83893147110939,1279,-0.0015254858606567722,4725735084.0,0.0003,1.1920928955078125e-07,2307035136.0,554
0.0,870,720000,0.2,0.00049774203,0.9838962554931641,-176182.87647432,37.78,-16.833974082767963,1281,-0.0010759864413557806,4594994689.8,0.0003,0.0,2310788608.0,562
0.0,890,730000,0.2,0.00054355233,0.9835464954376221,-159752.7828697,28.02,-16.828119242191313,1275,-0.0010403744307041051,4610521128.6,0.0003,5.960464477539063e-08,2277065984.0,572
0.0,900,740000,0.2,0.00042646774,0.9835367798805237,-169212.07340644003,34.08,-16.82733836174011,1277,-0.0008842321183692547,4370719701.4,0.0003,0.0,2132553216.0,579
0.0,910,750000,0.2,0.000786073,0.9832960963249207,-170420.36258756998,34.02,-16.825861239433287,1279,-0.00132003502912994,4390753973.0,0.0003,-1.1920928955078125e-07,2768126976.0,586
1.220703125e-05,920,760000,0.2,0.0012943442,0.9832177758216858,-173446.68738125,34.81,-16.823924206197262,1280,-0.0018679770291782916,4335900671.2,0.0003,0.0,1946611200.0,593
0.0,930,770000,0.2,0.0002832331,0.9827332496643066,-174604.91474681,35.37,-16.820409493148325,1282,-0.000810615229056566,4404316478.6,0.0003,0.0,2273539584.0,600
0.0,950,780000,0.2,0.000518576,0.9825002551078796,-183363.01172986,37.45,-16.815024779736994,1277,-0.0010779406580695649,4362192507.4,0.0003,0.0,2304884736.0,610
0.0,960,790000,0.2,0.0003472941,0.9826549887657166,-179718.49815711004,35.02,-16.815472874045373,1279,-0.0007773951458148077,4358841059.8,0.0003,-1.1920928955078125e-07,2278338560.0,617
0.0,970,800000,0.2,0.00069514324,0.9825581908226013,-180339.23007377997,35.01,-16.815768580138684,1281,-0.0011607242271566066,4480180726.6,0.0003,1.1920928955078125e-07,2131348864.0,624
0.0,980,810000,0.2,0.00054215756,0.9823916554450989,-160396.00294231,32.65,-16.81411348581314,1283,-0.0011899970844751807,4481980209.6,0.0003,5.960464477539063e-08,2494144512.0,630
0.0,1000,820000,0.2,0.00082878926,0.9819908142089844,-192265.28724380996,40.51,-16.81030668616295,1279,-0.0014234712440156726,4217065860.0,0.0003,0.0,2036616704.0,640
2.44140625e-05,1010,830000,0.2,0.0014292782,0.9817306995391846,-164027.58825056,33.32,-16.80647441893816,1281,-0.0020063232641405193,4339902084.8,0.0003,-1.1920928955078125e-07,2331843328.0,647
0.0,1020,840000,0.2,0.0009072996,0.9815516471862793,-189796.95192869997,42.58,-16.803894755244254,1283,-0.0013438404863336472,4221146040.4,0.0003,2.384185791015625e-07,1723772544.0,654
0.0,1030,850000,0.2,0.00040764018,0.9814131855964661,-154997.32616481002,29.96,-16.801861563324927,1285,-0.0010423849207654712,4014037167.4,0.0003,0.0,1786325248.0,661
0.0,1040,860000,0.2,0.00044811738,0.9811862111091614,-172550.18412770997,35.38,-16.799641208350657,1287,-0.0009579157209373079,4362653665.6,0.0003,-1.1920928955078125e-07,2158687744.0,668
0.0,1060,870000,0.2,0.00055449666,0.980695903301239,-170773.81437054998,34.74,-16.793613508343697,1283,-0.0011327905952384753,4041092034.0,0.0003,0.0,2146246912.0,677
0.0,1070,880000,0.2,0.000919525,0.9807043075561523,-152425.52594099,28.63,-16.792218270897866,1285,-0.0014717047662998084,4091926512.0,0.0003,-2.384185791015625e-07,2152678656.0,684
1.220703125e-05,1080,890000,0.2,0.0007468122,0.9807174801826477,-166157.77445184003,35.73,-16.792220629751682,1287,-0.001327926436533744,4272528202.0,0.0003,0.0,1912794624.0,691
0.0,1090,900000,0.2,0.0010864334,0.9808177351951599,-174369.75931944003,35.37,-16.792922534048557,1289,-0.0016282597476674709,4177657669.2,0.0003,0.0,2080325632.0,698
3.662109375e-05,1110,910000,0.2,0.0011633988,0.9805107116699219,-161001.71820066,36.07,-16.790792083740236,1285,-0.0015168055955655292,3978118596.8,0.0003,0.0,2250100224.0,707
0.0,1120,920000,0.2,0.0007352708,0.9802259802818298,-166751.50634897,34.57,-16.787998747825622,1287,-0.0012776560675774816,4161649605.2,0.0003,0.0,2006478464.0,714
1.220703125e-05,1130,930000,0.2,0.0007484468,0.980058491230011,-158870.57657091002,34.59,-16.78516609966755,1289,-0.0013566988447564654,4148617821.8,0.0003,1.1920928955078125e-07,2156493312.0,721
0.0,1140,940000,0.2,0.00037008512,0.9795945286750793,-164939.90948340998,32.92,-16.781339909136296,1291,-0.0009593534248779178,3903479308.0,0.0003,0.0,1879404288.0,727
0.0,1150,950000,0.2,0.0006885066,0.9795621037483215,-176932.71426436998,36.34,-16.778178828954697,1293,-0.0011654623001959407,4106981340.4,0.0003,-1.1920928955078125e-07,2319425536.0,734
1.220703125e-05,1170,960000,0.2,0.0005389321,0.9791314601898193,-169823.91883509996,36.63,-16.773792934417724,1290,-0.0010792625547765057,4031514052.6,0.0003,0.0,2044793088.0,744
0.0,1180,970000,0.2,0.0006187076,0.9789997935295105,-163733.2592312,32.11,-16.77178466320038,1291,-0.0010516198440200242,4007141901.4,0.0003,1.1920928955078125e-07,1875094016.0,750
0.0,1190,980000,0.2,0.0007471999,0.9786748886108398,-159462.39061633,33.37,-16.76893845051527,1293,-0.0011326249948979239,4221893495.2,0.0003,0.0,2215629568.0,757
0.00010986328125,1200,990000,0.2,0.0013423708,0.9784268736839294,-152250.12406626,31.84,-16.7653212800622,1295,-0.0016733056640077849,4005601236.4,0.0003,-1.1920928955078125e-07,1769362176.0,764
0.0,1220,1000000,0.2,0.00075580576,0.9778850078582764,-168154.13197677,33.54,-16.75757592767477,1292,-0.0013399649947132275,4138816843.8,0.0003,0.0,1942411264.0,773
