train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2758,1.0,46,137,682.16,0.029613835737109184,-173634.18355301998,55388455.49648438,0.0,380000,0.8312838673591614,0.005249380599707365
0.001,2761,1.0,47,141,708.03,0.023725369945168495,-170366.34836630002,40061784.69648437,0.0,390000,0.8246183395385742,0.007251352071762085
0.001,2763,1.0,48,144,763.72,0.033760227262973785,-188599.75683592007,42627297.59375,-1.1920928955078125e-07,400000,0.8263195157051086,0.008283224888145924
0.001,2751,1.0,50,149,801.97,0.044404350221157074,-210890.87618601997,71606638.346875,1.1920928955078125e-07,410000,0.8272350430488586,0.008825455792248249
0.001,2754,1.0,51,152,806.45,0.037307076156139374,-197324.23290114998,74440043.3828125,0.0,420000,0.8247625231742859,0.009480230510234833
0.001,2758,1.0,52,155,821.98,0.027982668951153755,-182194.14366202996,72756058.96484375,-1.1920928955078125e-07,430000,0.8235413432121277,0.0053581059910357
0.001,2761,1.0,53,159,838.44,0.03213240206241608,-172453.28513837996,18638098.53378906,0.0,440000,0.8239381313323975,0.008163285441696644
0.001,2764,1.0,54,162,867.74,0.02568318322300911,-164427.78328485996,23014045.754199218,-1.1920928955078125e-07,450000,0.8214063048362732,0.006224172655493021
0.001,2753,1.0,56,167,885.07,0.042084820568561554,-172673.58066649002,215418590.46875,0.0,460000,0.8216058611869812,0.008855819702148438
0.001,2756,1.0,57,170,886.47,0.028208915144205093,-168187.69826412,27722427.4234375,0.0,470000,0.822333037853241,0.007766149938106537
0.001,2760,1.0,58,173,895.23,0.03139396756887436,-164476.02626400997,19426703.219726562,0.0,480000,0.8190842270851135,0.008094457909464836
0.001,2763,1.0,59,177,893.83,0.019523533061146736,-134233.49588489995,50130975.60273437,0.0,490000,0.8177302479743958,0.007820320315659046
0.001,2753,1.0,61,181,915.14,0.0277644582092762,-96331.90968860002,8451955.775976563,0.0,500000,0.8213679790496826,0.007810676470398903
