time/time_elapsed,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_loss,train/std,time/total_timesteps,train/n_updates,train/value_loss,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
471,0.0,0.0007,-11.331275939941406,-15519.185546875,1.6391552686691284,800000,39999,9669758.0,1698,65.88,-131051.62256657
477,0.0,0.0007,-11.354616165161133,6818.6748046875,1.6449450254440308,810000,40499,1991745.625,1697,37.65,-110417.48621297999
482,1.1920928955078125e-07,0.0007,-11.414100646972656,-71661.390625,1.662028193473816,820000,40999,157821936.0,1697,85.2,-135222.98172659
488,0.0,0.0007,-11.441779136657715,-17225.6875,1.6719247102737427,830000,41499,25387994.0,1697,69.89,-109489.10376730999
494,-1.1920928955078125e-07,0.0007,-11.483223915100098,-28791.484375,1.6841392517089844,840000,41999,24602096.0,1697,88.09,-121808.65531081999
500,2.384185791015625e-07,0.0007,-11.474114418029785,-390.8901672363281,1.682909607887268,850000,42499,1807.771240234375,1697,98.08,-123005.58920116998
506,0.0,0.0007,-11.51908016204834,-270329.21875,1.6968671083450317,860000,42999,2353056256.0,1697,173.96,-144055.99737794
512,0.0,0.0007,-11.57891845703125,-18028.08984375,1.712753415107727,870000,43499,15081811.0,1697,250.73,-207573.42020748
518,0.0,0.0007,-11.591911315917969,-464.22991943359375,1.7168363332748413,880000,43999,3058.336181640625,1697,312.99,-233865.65822739995
524,1.1920928955078125e-07,0.0007,-11.609129905700684,-24680.61328125,1.7187614440917969,890000,44499,20241678.0,1697,352.21,-269678.2635087
530,-1.1920928955078125e-07,0.0007,-11.694969177246094,-38067.1640625,1.7458882331848145,900000,44999,60088588.0,1697,395.57,-286891.96222011006
536,5.960464477539063e-08,0.0007,-11.795936584472656,-19731.8828125,1.776241421699524,910000,45499,25372536.0,1697,392.91,-274392.74574248004
541,0.0,0.0007,-11.841429710388184,-102366.203125,1.790831446647644,920000,45999,981864448.0,1697,313.64,-271040.04040377995
547,0.0,0.0007,-11.89137077331543,-305.51715087890625,1.8076988458633423,930000,46499,787.9517822265625,1697,79.83,-106143.89094971001
553,0.0,0.0007,-11.874030113220215,7632.16552734375,1.7954739332199097,940000,46999,1196915.25,1697,110.33,-147918.95090464997
559,0.0,0.0007,-11.857406616210938,-314.85235595703125,1.7881373167037964,950000,47499,758.7061157226562,1697,98.78,-135621.87906064998
565,0.0,0.0007,-11.88217830657959,-273990.625,1.7929991483688354,960000,47999,2347534336.0,1697,132.22,-135065.66724630998
571,0.0,0.0007,-11.8902006149292,-42463.59375,1.793692946434021,970000,48499,69831320.0,1697,161.46,-161667.38864681
577,-1.1920928955078125e-07,0.0007,-11.937576293945312,-134994.40625,1.814034342765808,980000,48999,714821952.0,1697,192.76,-180731.28423751998
583,1.1920928955078125e-07,0.0007,-12.047804832458496,-676.1863403320312,1.8487898111343384,990000,49499,6646.45458984375,1697,262.08,-208435.55759643004
589,-1.1920928955078125e-07,0.0007,-12.067099571228027,-410.844970703125,1.8551193475723267,1000000,49999,2077.049560546875,1697,294.61,-216054.10770402
