train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,time/time_elapsed,rollout/ep_len_mean,time/fps,train/entropy_loss,time/total_timesteps,train/policy_loss,train/std,rollout/ep_rew_mean
0.0007,30999,19913270.0,5.960464477539063e-08,314,231.65,1972,-10.494214057922363,620000,-20671.79296875,1.4188796281814575,-212053.65067995002
0.0007,31499,2134.503173828125,5.960464477539063e-08,319,204.68,1972,-10.523344039916992,630000,-363.44512939453125,1.426369309425354,-220889.21690444998
0.0007,31999,16416.337890625,0.0,324,245.03,1972,-10.50083065032959,640000,-1061.669189453125,1.4216294288635254,-238819.4652054
0.0007,32499,10185238.0,0.0,329,227.22,1972,-10.509589195251465,650000,-9740.2998046875,1.4204288721084595,-229774.37663666002
0.0007,32999,308148928.0,0.0,334,141.09,1971,-10.521401405334473,660000,-102961.1875,1.4263062477111816,-180914.50558749997
0.0007,33499,8139173.0,0.0,339,186.71,1971,-10.634513854980469,670000,1299.520751953125,1.456222653388977,-314399.00046601007
0.0007,33999,34782348.0,0.0,345,209.11,1970,-10.574506759643555,680000,-39621.9140625,1.4423837661743164,-325708.41597692
0.0007,34499,6558.5009765625,0.0,350,181.14,1970,-10.523813247680664,690000,-713.9733276367188,1.428200125694275,-225006.79736104998
0.0007,34999,24617816.0,0.0,355,278.36,1970,-10.582610130310059,700000,-30315.0,1.4414281845092773,-306658.89371004
0.0007,35499,4403927.0,5.960464477539063e-08,360,316.81,1970,-10.626555442810059,710000,8965.4765625,1.4547396898269653,-331483.70026494004
0.0007,35999,3721.64208984375,1.7881393432617188e-07,365,64.25,1970,-10.72197151184082,720000,-502.3245544433594,1.475042700767517,-142587.13000153
0.0007,36499,15084366.0,0.0,370,144.51,1970,-10.77296257019043,730000,-15511.8466796875,1.482448697090149,-168587.20090521
0.0007,36999,12095.4658203125,-1.1920928955078125e-07,375,208.46,1970,-10.806917190551758,740000,-909.5427856445312,1.4899622201919556,-182721.42257754
0.0007,37499,9914.978515625,1.1920928955078125e-07,380,296.24,1971,-10.858880043029785,750000,-828.0791015625,1.5064691305160522,-217593.57841827
0.0007,37999,25411750.0,0.0,385,327.97,1971,-10.8931884765625,760000,-23517.65234375,1.5111092329025269,-225624.55571519
0.0007,38499,17918.4765625,1.1920928955078125e-07,390,378.97,1971,-11.00842571258545,770000,-235.19540405273438,1.5412026643753052,-252806.02681095994
0.0007,38999,725228.625,0.0,395,373.0,1971,-11.011405944824219,780000,5196.5283203125,1.5465198755264282,-260233.88983645002
0.0007,39499,200112.0625,0.0,400,346.16,1971,-11.061346054077148,790000,2360.77490234375,1.5611010789871216,-259842.53983257
0.0007,39999,21001.193359375,5.960464477539063e-08,405,260.39,1971,-11.141817092895508,800000,-1036.404052734375,1.5867533683776855,-239346.59136089002
0.0007,40499,12569.4951171875,1.1920928955078125e-07,410,239.67,1971,-11.2473726272583,810000,-1026.63330078125,1.6114906072616577,-200613.71434826005
0.0007,40999,1510.3563232421875,0.0,415,291.09,1971,-11.28813362121582,820000,-321.70635986328125,1.6279746294021606,-237333.18994132002
0.0007,41499,79808376.0,1.7881393432617188e-07,420,336.16,1971,-11.222299575805664,830000,-45731.3203125,1.6116161346435547,-278390.07468660997
0.0007,41999,19879492.0,-1.1920928955078125e-07,426,132.51,1970,-11.256539344787598,840000,-22849.17578125,1.618639588356018,-198666.18845341998
0.0007,42499,141400.328125,-1.1920928955078125e-07,431,130.01,1969,-11.275314331054688,850000,1888.676025390625,1.6245875358581543,-175467.34798716
0.0007,42999,554572224.0,0.0,436,208.83,1969,-11.31751823425293,860000,-218030.15625,1.6364473104476929,-186499.08044866004
0.0007,43499,14894.599609375,0.0,441,285.83,1969,-11.451583862304688,870000,-886.01611328125,1.6712807416915894,-237793.51601702
0.0007,43999,4309.7490234375,-2.384185791015625e-07,446,378.24,1970,-11.479471206665039,880000,-123.3526611328125,1.678369402885437,-274736.81784559
0.0007,44499,192360240.0,1.1920928955078125e-07,451,288.5,1970,-11.502053260803223,890000,-80171.359375,1.6862592697143555,-237443.40828085
0.0007,44999,219815904.0,1.7881393432617188e-07,457,61.45,1967,-11.488801002502441,900000,-96551.125,1.6848621368408203,-122582.11811966001
0.0007,45499,6302.1689453125,5.960464477539063e-08,462,137.03,1967,-11.604361534118652,910000,-649.8804931640625,1.7167598009109497,-132338.07471208
0.0007,45999,14607885.0,0.0,467,211.41,1967,-11.71343994140625,920000,-12999.666015625,1.7499982118606567,-128883.46615618
0.0007,46499,2360578304.0,5.960464477539063e-08,472,250.47,1967,-11.689818382263184,930000,307231.75,1.7455705404281616,-151470.45775705
0.0007,46999,25016072.0,0.0,477,193.4,1967,-11.659100532531738,940000,-29338.353515625,1.737441062927246,-90123.26722042002
0.0007,47499,527636992.0,0.0,482,166.82,1966,-11.651182174682617,950000,-132348.265625,1.7369436025619507,-139646.57072914002
0.0007,47999,10545.9638671875,1.1920928955078125e-07,488,170.18,1966,-11.645699501037598,960000,-901.7388916015625,1.7388349771499634,-151048.80305673002
0.0007,48499,30503766.0,-1.1920928955078125e-07,493,259.94,1966,-11.662698745727539,970000,-24652.365234375,1.7443472146987915,-196535.17273037
0.0007,48999,3752.890625,0.0,498,232.37,1965,-11.627875328063965,980000,-382.51251220703125,1.738303542137146,-143577.10984664
0.0007,49499,19847310.0,-1.1920928955078125e-07,503,269.17,1965,-11.613823890686035,990000,-21360.64453125,1.73321533203125,-214113.46889335001
0.0007,49999,64529800.0,-1.1920928955078125e-07,508,270.35,1965,-11.576584815979004,1000000,-49866.3046875,1.7213608026504517,-155060.58913305
