train/approx_kl,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,time/time_elapsed
0.0048002456,932,330334848.0,-14.156426184624433,0.0,0.02183837890625,164.35,-0.0021667255723514245,729116187.925,430000,0.0017,-276830.80464284,2.6022112369537354,520,0.2,461
0.004569861,936,115892992.0,-14.260039838403463,0.0,0.02882080078125,178.98,-0.0018680580255022506,571327863.1875,440000,0.0017,-297617.47541978,2.6474390029907227,530,0.2,469
0.0041369153,940,600762304.0,-14.369599763303995,0.0,0.02183837890625,131.28,-0.0009301589347160188,729756561.675,450000,0.0017,-230566.71866794,2.6989681720733643,540,0.2,478
0.0071777976,933,278902304.0,-14.650178627669812,0.0,0.0379150390625,136.69,-0.0025351751084599526,620273230.55,460000,0.0017,-237003.81080361002,2.8396737575531006,560,0.2,492
0.006112501,932,262193616.0,-14.810002990067005,5.960464477539063e-08,0.0290283203125,134.13,-0.002495718986392603,700553562.4125,470000,0.0017,-223412.33841588002,2.917527914047241,570,0.2,504
0.004627129,930,251855760.0,-14.950627782940865,0.0,0.02259521484375,130.31,-0.0012063103369655437,655012321.225,480000,0.0017,-222448.63371639003,2.9800233840942383,580,0.2,516
0.0048928335,927,501828928.0,-15.076836348325013,-1.1920928955078125e-07,0.0196533203125,153.02,-0.0015882722709648078,679760726.3375,490000,0.0017,-253747.25748477,3.044940233230591,590,0.2,528
0.0041217115,914,265167360.0,-15.318310468643904,0.0,0.01973876953125,145.95,-0.0011088861138887295,649131929.0125,500000,0.0017,-246274.73188176003,3.1662092208862305,610,0.2,546
0.0070598596,912,323896352.0,-15.475095730274916,0.0,0.030224609375,144.08,-0.0024589816961452017,724131488.675,510000,0.0017,-250512.37947233004,3.269188642501831,620,0.2,558
0.0077830926,915,409166880.0,-15.66154619678855,-1.1920928955078125e-07,0.04716796875,126.44,-0.0036893050237267744,726252487.6625,520000,0.0017,-218468.22852441997,3.3680813312530518,630,0.2,567
0.0044788704,918,196562368.0,-15.805218860507011,0.0,0.02215576171875,118.59,-0.0015093389676621883,701828899.025,530000,0.0017,-222763.12339161002,3.4429218769073486,640,0.2,576
0.0040017595,922,386758592.0,-15.930209287256002,0.0,0.0188720703125,121.68,-0.0010256640039187914,769502848.1625,540000,0.0017,-232382.83468963002,3.514089822769165,650,0.2,585
0.0034935984,917,369310624.0,-16.18832286596298,0.0,0.0185546875,129.96,-0.00106198997800675,720350797.15,550000,0.0017,-234132.77420908,3.6672704219818115,670,0.2,599
0.005221428,921,247452896.0,-16.309751291573047,5.960464477539063e-08,0.0274169921875,144.33,-0.002498378877680807,670851860.4625,560000,0.0017,-253798.23402209004,3.7410242557525635,680,0.2,607
0.0052141976,924,328700896.0,-16.447944223880768,5.960464477539063e-08,0.02467041015625,159.17,-0.0011108126171166077,629500414.4125,570000,0.0017,-256322.19553682997,3.840752601623535,690,0.2,616
0.005237352,927,244943776.0,-16.5889552205801,0.0,0.02366943359375,136.75,-0.0013433408368655364,596258127.8875,580000,0.0017,-243700.99379107996,3.9253547191619873,700,0.2,625
0.0070983963,923,373103616.0,-16.879552258551122,0.0,0.04691162109375,135.77,-0.002705155575495155,643074101.9875,590000,0.0017,-229068.67023038003,4.128181457519531,720,0.2,639
0.0052392357,926,432158496.0,-17.031025007367134,0.0,0.020361328125,141.09,-0.0008913818246583105,634951207.6375,600000,0.0017,-245176.7417772,4.246493339538574,730,0.2,647
0.005462688,928,447288896.0,-17.19836022853851,0.0,0.02550048828125,137.2,-0.0016095832015707856,687254053.6375,610000,0.0017,-239019.76099842,4.370361804962158,740,0.2,656
0.004985014,931,213046448.0,-17.34951843172312,-1.1920928955078125e-07,0.025634765625,129.96,-0.001261078723200626,676044942.125,620000,0.0017,-236468.93208837,4.476975440979004,750,0.2,665
0.0050260588,933,445139360.0,-17.493504585325717,0.0,0.0209716796875,135.14,-0.001512451945200155,643194220.7,630000,0.0017,-245093.46837742,4.590914249420166,760,0.2,675
0.0066449405,927,237586336.0,-17.794885395467283,5.960464477539063e-08,0.03040771484375,124.29,-0.002535865327809006,713738226.9625,640000,0.0017,-235527.09404582,4.8483500480651855,780,0.2,689
0.0038100765,929,241078848.0,-17.925001232326032,0.0,0.01605224609375,129.13,-0.0009255896680770093,686578265.95,650000,0.0017,-245858.56468766,4.931594371795654,790,0.2,699
0.004666834,930,177168704.0,-18.047419905662537,0.0,0.0201904296875,131.34,-0.0009713245170132722,672692409.4625,660000,0.0017,-246165.29885793003,5.051137447357178,800,0.2,709
0.004626476,932,322527808.0,-18.184301875531673,5.960464477539063e-08,0.02135009765625,154.96,-0.0006408025119526428,645336535.7375,670000,0.0017,-265697.45488698,5.168447494506836,810,0.2,718
0.005694672,928,355788096.0,-18.516186352074147,0.0,0.0291748046875,140.72,-0.001785114690756018,760643018.55,680000,0.0017,-260267.69356122,5.468025207519531,830,0.2,732
0.004699224,930,292236704.0,-18.653138165175914,0.0,0.027392578125,135.95,-0.001978297799360007,602098132.4625,690000,0.0017,-256892.90195690998,5.583939075469971,840,0.2,741
0.003958879,931,249073760.0,-18.781729823350908,0.0,0.016064453125,158.49,-0.00036602517993742365,644858380.575,700000,0.0017,-279881.93425018,5.703128814697266,850,0.2,751
0.006417075,929,295255392.0,-18.924288702011108,0.0,0.0284423828125,160.25,-0.0016971771503449418,531827038.625,710000,0.0017,-281602.32137203997,5.862033843994141,860,0.2,763
0.004772106,928,487250912.0,-19.067033803462984,-1.1920928955078125e-07,0.0225341796875,143.0,-0.001266653630955261,624161414.625,720000,0.0017,-276854.02949085,6.002200603485107,870,0.2,775
0.0048197713,918,363016480.0,-19.35754178017378,1.7881393432617188e-07,0.019482421875,136.34,-0.0008783817454968812,642861567.85,730000,0.0017,-265679.1395412,6.317725658416748,890,0.2,794
0.0057113767,917,353458560.0,-19.52794000506401,0.0,0.02850341796875,151.63,-0.0003270711124059744,598664788.1625,740000,0.0017,-263968.49069248996,6.5084547996521,900,0.2,806
0.0057826065,915,414608608.0,-19.696057631075384,0.0,0.026611328125,159.63,-0.000691959725736524,649972840.1125,750000,0.0017,-284579.904139,6.6969218254089355,910,0.2,819
0.004943668,913,272633760.0,-19.852677138149737,0.0,0.02171630859375,169.92,-0.000713897674359032,650679068.95,760000,0.0017,-310442.76489037,6.87468147277832,920,0.2,831
0.0045281015,912,176163520.0,-20.001822946965696,0.0,0.02012939453125,154.14,-0.00018937977429231979,537764279.825,770000,0.0017,-298296.47388682,7.045621871948242,930,0.2,844
0.00480898,903,258754160.0,-20.2714716643095,0.0,0.02200927734375,135.52,-0.00036459851362451444,635503924.225,780000,0.0017,-262482.75231983996,7.369390487670898,950,0.2,863
0.0056931684,901,433451136.0,-20.439818327128886,0.0,0.02747802734375,139.35,-0.001001093578634027,672198669.1125,790000,0.0017,-266223.41777332,7.581417083740234,960,0.2,876
0.0048642503,900,370967360.0,-20.581643629074097,0.0,0.0228515625,165.64,-0.0012724979301310668,618759785.0125,800000,0.0017,-293079.9456933,7.754663467407227,970,0.2,888
0.0064423643,900,165741264.0,-20.738572297990324,0.0,0.03289794921875,151.91,-0.001491178121250414,563351417.3,810000,0.0017,-285342.50369718997,7.994410991668701,980,0.2,899
0.004257147,897,203766864.0,-21.03553138822317,0.0,0.0190185546875,155.97,4.3833728705067186e-05,588002715.8625,820000,0.0017,-299280.31081244996,8.385640144348145,1000,0.2,913
0.0040787673,899,195867872.0,-21.175644859671593,0.0,0.01995849609375,165.15,-0.0005029552747146226,623416303.825,830000,0.0017,-312890.54711478995,8.58328914642334,1010,0.2,922
