rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate
131706.9,175,4209,14484,55751752.0,-1.7475354671478271,39.74,740000,184974,53.36667251586914,-55869.203125,0.001
126670.49999268,175,4269,14738,34190372.0,-0.6437814235687256,37.52,750000,187474,57.254154205322266,-59723.75,0.001
131361.5,175,4328,15005,39642984.0,1.9618582725524902,36.82,760000,189974,52.8226432800293,-57561.5390625,0.001
125339.76277390002,175,4388,15192,26569804.0,0.6384202241897583,54.34,770000,192474,53.79817199707031,-61623.484375,0.001
18917.966804659998,175,4446,15234,24050156.0,2.0722250938415527,149.91,780000,194974,59.413291931152344,-61169.0234375,0.001
-20009.04362436,175,4504,15300,204745344.0,-0.43739092350006104,174.95,790000,197474,59.88309860229492,-60086.734375,0.001
129879.71664486,175,4562,15430,27714328.0,1.498265027999878,47.27,800000,199974,54.658477783203125,-55572.0078125,0.001
128350.33651105,175,4622,15677,57020656.0,-0.940664529800415,40.77,810000,202474,52.84972381591797,-57743.19140625,0.001
127778.60524769001,175,4681,15844,15666471.0,-1.1751315593719482,43.89,820000,204974,57.01157760620117,-58983.85546875,0.001
126840.4,175,4739,16080,22441750.0,0.7381834983825684,44.31,830000,207474,55.26167678833008,-60407.421875,0.001
130644.01716520998,175,4798,16341,54928700.0,0.9135740995407104,36.75,840000,209974,59.14814376831055,-56251.328125,0.001
127858.4,175,4856,16608,85439408.0,-2.586428165435791,36.02,850000,212474,48.7159538269043,-55050.88671875,0.001
131010.75672158,174,4915,16872,19494298.0,0.12031763792037964,37.3,860000,214974,52.481422424316406,-59765.26953125,0.001
131166.60698281,174,4974,17138,43292132.0,0.7241688966751099,36.44,870000,217474,55.792572021484375,-59638.2734375,0.001
131887.49955596,174,5033,17403,39368520.0,0.023033931851387024,37.59,880000,219974,56.146141052246094,-57623.92578125,0.001
131523.3,174,5093,17662,24735400.0,0.2160193920135498,38.25,890000,222474,52.552001953125,-63489.640625,0.001
132265.38384199998,174,5153,17935,57590600.0,-2.258697271347046,36.81,900000,224974,52.918113708496094,-62297.09375,0.001
132007.36782418,174,5212,18206,22502536.0,0.3933456540107727,38.1,910000,227474,51.36505126953125,-60652.08984375,0.001
130806.79194751,174,5272,18464,41249888.0,-1.2632203102111816,37.22,920000,229974,46.18314743041992,-64904.15234375,0.001
131941.03965299,174,5331,18711,33031436.0,1.1938447952270508,36.54,930000,232474,51.834774017333984,-64279.16015625,0.001
130897.24453579001,174,5390,18968,42813548.0,0.6680582761764526,40.63,940000,234974,51.119144439697266,-64352.46875,0.001
130662.63785243999,174,5449,19185,40648456.0,-0.5778430700302124,36.65,950000,237474,51.224674224853516,-66762.3359375,0.001
131123.25897892,174,5507,19449,37553664.0,-0.4781799614429474,38.6,960000,239974,53.083805084228516,-62914.58984375,0.001
131509.22533783,174,5566,19722,41907568.0,0.7311873435974121,35.51,970000,242474,47.382728576660156,-61834.4296875,0.001
130165.88420341,174,5625,20007,31022552.0,2.5549428462982178,35.99,980000,244974,48.13235092163086,-66983.40625,0.001
132263.90224261998,174,5685,20297,22435124.0,-0.79188072681427,34.55,990000,247474,49.18696594238281,-64846.61328125,0.001
131747.2,174,5745,20553,68482560.0,-0.540874183177948,38.71,1000000,249974,48.36655044555664,-68784.1015625,0.001
