time/total_timesteps,train/is_line_search_success,time/fps,train/kl_divergence_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/std
860000,1.0,888,0.007433166727423668,967,0.001,3.01,0.0,0.03585655987262726,-116726.58828210998,104,9660962235.2,0.7177494764328003
870000,1.0,887,0.008549070917069912,980,0.001,3.04,-1.1920928955078125e-07,0.037714291363954544,-117010.32299857,106,9662615500.8,0.7162634134292603
880000,1.0,888,0.00817529670894146,990,0.001,3.01,5.960464477539063e-08,0.03958620876073837,-116736.03911642998,107,9655927718.4,0.7145166397094727
890000,1.0,889,0.007415440399199724,1000,0.001,3.01,-1.1920928955078125e-07,0.014295030385255814,-116718.01126142,108,9627374529.6,0.7158094644546509
900000,1.0,890,0.006426904816180468,1010,0.001,3.05,1.1920928955078125e-07,0.04799681901931763,-117099.14042852,109,9724653417.6,0.7143743634223938
910000,1.0,890,0.00846945121884346,1022,0.001,3.02,0.0,0.042252931743860245,-116831.34566035,111,9694214238.4,0.7134554386138916
920000,1.0,891,0.008651218377053738,1032,0.001,3.0,1.1920928955078125e-07,0.012831602245569229,-116638.1096945,112,9630889617.6,0.7130158543586731
930000,1.0,892,0.007219463586807251,1042,0.001,3.04,0.0,0.016095172613859177,-116981.08128393999,113,9601294628.8,0.7118539810180664
940000,1.0,893,0.008338999934494495,1052,0.001,3.01,0.0,0.05462520942091942,-116765.21117101,114,9592814040.0,0.7131974101066589
950000,1.0,893,0.0094546377658844,1062,0.001,3.0,5.960464477539063e-08,0.04499472305178642,-116643.20783419999,115,9575681219.2,0.7141071557998657
960000,1.0,893,0.006543868221342564,1074,0.001,3.0,5.960464477539063e-08,0.015167287550866604,-116601.33106340001,117,9562613137.6,0.7114319205284119
970000,1.0,894,0.008313950151205063,1084,0.001,3.05,0.0,0.024568133056163788,-117089.69870796999,118,9549483003.2,0.711826741695404
980000,1.0,895,0.0068075330927968025,1094,0.001,3.01,0.0,0.030347619205713272,-116707.09845621999,119,9548660459.2,0.710381269454956
990000,1.0,896,0.006326710805296898,1104,0.001,3.0,0.0,0.019764311611652374,-116621.95335724998,120,9536058300.8,0.7089386582374573
1000000,1.0,895,0.009565754793584347,1116,0.001,3.02,0.0,0.030347591266036034,-116779.68746770998,122,9515319832.0,0.7079184055328369
