train/learning_rate,train/kl_divergence_loss,train/std,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_objective,train/n_updates,train/explained_variance,train/is_line_search_success
0.0013,0.00939017254859209,0.7216126322746277,119420.33049371,6257243838.4,710000,12.85,1398,507,0.04231368750333786,86,-2.384185791015625e-07,1.0
0.0013,0.009415595792233944,0.7189127802848816,125908.98544711001,6239289062.4,720000,12.59,1399,514,0.04681924358010292,87,-1.1920928955078125e-07,1.0
0.0013,0.009679402224719524,0.71637362241745,120266.44228634998,6275377012.0,730000,12.83,1396,522,0.04255308955907822,89,-1.1920928955078125e-07,1.0
0.0013,0.008613507263362408,0.7143802046775818,125507.02766285,6363503946.4,740000,12.65,1397,529,0.04449775815010071,90,5.960464477539063e-08,1.0
0.0013,0.0097511513158679,0.7127439975738525,124613.79997609001,6441741248.0,750000,12.18,1397,536,0.04078926146030426,91,-1.1920928955078125e-07,1.0
0.0013,0.009438701905310154,0.7106983661651611,124507.49997292999,6376587906.4,760000,12.36,1398,543,0.04425691068172455,92,0.0,1.0
0.0013,0.009186754934489727,0.7089297771453857,127440.19648310002,6377864989.6,770000,12.17,1398,550,0.03934573754668236,93,-1.1920928955078125e-07,1.0
0.0013,0.009279315359890461,0.7069025635719299,127633.69997910998,6240685698.4,780000,12.47,1396,558,0.037656452506780624,95,1.7881393432617188e-07,1.0
0.0013,0.009253516793251038,0.7048513889312744,127119.39999333,6403146870.4,790000,12.4,1396,565,0.03686366602778435,96,-1.1920928955078125e-07,1.0
0.0013,0.009759482927620411,0.7046710848808289,127642.75091070001,6264422054.4,800000,12.31,1396,572,0.05330926924943924,97,0.0,1.0
0.0013,0.009530020877718925,0.7034644484519958,125295.47937928,6504267809.6,810000,12.51,1397,579,0.04332260414958,98,2.384185791015625e-07,1.0
0.0013,0.009523441083729267,0.7000839114189148,125829.67241665,6486798886.4,820000,12.21,1394,587,0.042881786823272705,100,0.0,1.0
0.0013,0.009186476469039917,0.6982033252716064,128249.65197643,6592259555.2,830000,12.24,1395,594,0.03577130287885666,101,0.0,1.0
0.0013,0.008663134649395943,0.6974311470985413,128957.12826371,6559613435.2,840000,11.99,1395,601,0.03809460997581482,102,0.0,1.0
0.0013,0.009250794537365437,0.6962447166442871,128236.95266264999,6536358290.4,850000,12.52,1396,608,0.035612739622592926,103,1.1920928955078125e-07,1.0
0.0013,0.009562569670379162,0.6959114074707031,128650.63705946,6570576478.4,860000,12.42,1397,615,0.042365845292806625,104,0.0,1.0
0.0013,0.00978989340364933,0.6944305896759033,127025.36732521,6429851329.6,870000,12.52,1394,623,0.04297923669219017,106,5.960464477539063e-08,1.0
0.0013,0.009617573581635952,0.6931671500205994,127756.46734302997,6506560215.2,880000,11.85,1395,630,0.04293988645076752,107,1.1920928955078125e-07,1.0
0.0013,0.008613542653620243,0.6932542324066162,128563.71770957999,6546625100.0,890000,11.92,1395,637,0.033563148230314255,108,0.0,1.0
0.0013,0.00670156255364418,0.6917427182197571,129056.93178651002,6633214412.0,900000,12.2,1395,644,0.03338801860809326,109,-2.384185791015625e-07,1.0
0.0013,0.00903861690312624,0.6897556185722351,127621.71740304999,6552717786.4,910000,12.61,1393,653,0.03337934613227844,111,0.0,1.0
0.0013,0.009256649762392044,0.6893917918205261,127342.96781289,6512250400.0,920000,12.23,1393,660,0.04525243863463402,112,0.0,1.0
0.0013,0.009391740895807743,0.6869253516197205,127548.53137914,6519180043.2,930000,12.18,1392,667,0.043025724589824677,113,-1.1920928955078125e-07,1.0
0.0013,0.006349759642034769,0.6865457892417908,127142.89650059999,6526581103.2,940000,12.47,1393,674,0.03165089339017868,114,1.1920928955078125e-07,1.0
0.0013,0.009566891007125378,0.6846420168876648,128944.00129665,6472703401.6,950000,12.3,1393,681,0.033115364611148834,115,0.0,1.0
0.0013,0.0095147043466568,0.6827631592750549,124081.35638509999,6503476820.0,960000,12.72,1390,690,0.0417277067899704,117,0.0,1.0
0.0013,0.009351910091936588,0.6816172003746033,127412.80767807999,6289768772.8,970000,12.04,1391,697,0.04197847843170166,118,-1.1920928955078125e-07,1.0
0.0013,0.00654178112745285,0.6813483834266663,130071.14699401,6520112064.0,980000,12.13,1391,704,0.03684321790933609,119,0.0,1.0
0.0013,0.00962031353265047,0.6803338527679443,125855.86221027999,6584823628.8,990000,12.1,1392,711,0.040872279554605484,120,1.7881393432617188e-07,1.0
0.0013,0.009415174834430218,0.6770608425140381,127539.8210356,6585902370.4,1000000,11.77,1390,719,0.036565881222486496,122,-1.1920928955078125e-07,1.0
