time/total_timesteps,train/explained_variance,train/policy_objective,rollout/ep_rew_mean,train/n_updates,time/fps,train/kl_divergence_loss,rollout/ep_len_mean,train/std,time/time_elapsed,train/learning_rate,train/is_line_search_success,train/value_loss
670000,5.960464477539063e-08,0.0010391492396593094,-129168.5968509,81,1422,0.00842852983623743,4.13,0.7377253174781799,470,0.001,1.0,10428631931.2
680000,0.0,0.036765653640031815,-128307.77221302001,83,1419,0.00841152761131525,4.04,0.7308705449104309,479,0.001,1.0,10393929705.6
690000,-1.1920928955078125e-07,0.028042346239089966,-128389.12712293999,84,1419,0.007764550391584635,4.05,0.729497492313385,486,0.001,1.0,10433731488.0
700000,0.0,0.030616991221904755,-129707.58004376001,85,1419,0.002988874912261963,4.19,0.7292235493659973,493,0.001,1.0,10583186748.8
710000,0.0,0.029188372194767,-129549.68436556001,86,1420,0.008439331315457821,4.17,0.7293152213096619,499,0.001,1.0,10544369497.6
720000,5.960464477539063e-08,0.050572723150253296,-128424.42707419001,87,1420,0.009627267718315125,4.05,0.7271286845207214,506,0.001,1.0,10434319003.2
730000,0.0,0.01756526529788971,-128674.47415180001,89,1417,0.006360222119837999,4.08,0.7229116559028625,514,0.001,1.0,10369331228.8
740000,0.0,0.04081786051392555,-128404.02073601002,90,1416,0.007685360964387655,4.05,0.7190456390380859,522,0.001,1.0,10379396412.8
750000,0.0,0.02593299001455307,-128078.61747699,91,1416,0.007137097418308258,4.02,0.7178654074668884,529,0.001,1.0,10323179880.0
760000,0.0,0.02232731133699417,-128346.94559522999,92,1414,0.008404466323554516,4.05,0.7184478640556335,537,0.001,1.0,10382371430.4
770000,0.0,0.020846735686063766,-127922.11784752998,93,1414,0.00681677833199501,4.01,0.7115609049797058,544,0.001,1.0,10307150721.6
780000,-1.1920928955078125e-07,0.02553457021713257,-128899.91812020999,95,1410,0.0060129594057798386,4.1,0.7099528312683105,552,0.001,1.0,10292760910.4
790000,5.960464477539063e-08,0.01248426828533411,-127971.82435020001,96,1410,0.006572520826011896,4.01,0.7097613215446472,560,0.001,1.0,10269086816.0
800000,0.0,0.02008596807718277,-127982.07674007998,97,1409,0.0083549115806818,4.02,0.7089961171150208,567,0.001,1.0,10254289326.4
810000,0.0,0.010084647685289383,-127817.52581029001,98,1409,0.007642033044248819,4.0,0.7074200510978699,574,0.001,1.0,10239338691.2
820000,5.960464477539063e-08,0.011918386444449425,-128261.71367457001,100,1405,0.004761118907481432,4.05,0.7030443549156189,583,0.001,1.0,10255282062.4
830000,5.960464477539063e-08,0.005013458896428347,-128429.06972105001,101,1405,0.005145251285284758,4.07,0.7032160758972168,590,0.001,1.0,10240189222.4
840000,0.0,0.030399393290281296,-128343.01280565,102,1405,0.007973971776664257,4.06,0.7021763324737549,597,0.001,1.0,10218216892.8
850000,-1.1920928955078125e-07,0.017872033640742302,-128425.53008844,103,1405,0.005842175800353289,4.07,0.7013078331947327,604,0.001,1.0,10381502875.2
860000,5.960464477539063e-08,0.027346327900886536,-128716.92022105999,104,1404,0.0075532360933721066,4.1,0.7011828422546387,612,0.001,1.0,10325144496.0
870000,-1.1920928955078125e-07,0.027485299855470657,-129262.25577989,106,1401,0.005286310333758593,4.16,0.7000508904457092,620,0.001,1.0,10630607985.6
880000,0.0,0.025025760754942894,-130018.89566453999,107,1401,0.006572211626917124,4.24,0.7016260027885437,628,0.001,1.0,10353092854.4
890000,0.0,0.043787285685539246,-128245.51228658,108,1400,0.007900952361524105,4.05,0.6966144442558289,635,0.001,1.0,10242608036.8
900000,0.0,0.006840880494564772,-128872.57543744,109,1400,0.00739847868680954,4.12,0.696130096912384,642,0.001,1.0,10184851152.0
910000,0.0,0.008209006860852242,-128241.5901296,111,1396,0.006781409028917551,4.05,0.695615291595459,651,0.001,1.0,10163349432.0
920000,0.0,0.020251281559467316,-129318.73894754998,112,1396,0.00647040456533432,4.17,0.6938586235046387,658,0.001,1.0,10144930427.2
930000,0.0,0.013502286747097969,-128929.62747582002,113,1395,0.006173344794660807,4.13,0.693003237247467,666,0.001,1.0,10151145603.2
940000,0.0,0.024661719799041748,-128912.14195104002,114,1396,0.005785604938864708,4.13,0.6917939186096191,673,0.001,1.0,10142731462.4
950000,0.0,0.014825617894530296,-129116.14385178001,115,1396,0.006710808724164963,4.15,0.6917230486869812,680,0.001,1.0,10167388084.8
960000,1.7881393432617188e-07,0.01650603488087654,-128311.25309627,117,1393,0.005782460328191519,4.06,0.691647469997406,688,0.001,1.0,10118007718.4
970000,1.1920928955078125e-07,0.03831137716770172,-128649.14107866,118,1393,0.008697655983269215,4.1,0.6913707256317139,696,0.001,1.0,10151264030.4
980000,-1.1920928955078125e-07,0.01688659004867077,-130670.65651448997,119,1393,0.006440285127609968,4.22,0.6908323764801025,703,0.001,1.0,10074966089.6
990000,5.960464477539063e-08,0.011337674222886562,-128923.63101922,120,1393,0.00827703159302473,4.13,0.6903539299964905,710,0.001,1.0,10094075832.0
1000000,0.0,0.0306373443454504,-127862.92301636002,122,1390,0.006871752440929413,4.01,0.6904866099357605,719,0.001,1.0,10076564524.8
