train/entropy_loss,train/learning_rate,train/approx_kl,time/fps,train/n_updates,train/explained_variance,time/total_timesteps,train/clip_fraction,rollout/ep_len_mean,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/std,rollout/ep_rew_mean,time/time_elapsed
-24.708444015681742,0.0017,0.0026557036,823,630,0.0,520000,0.00238037109375,18.76,17591209175.2,10787665920.0,-0.0031350598248536697,0.2,1.2588825225830078,-309747.11554808,631
-24.765451416373253,0.0017,0.0016759238,824,640,1.7881393432617188e-07,530000,0.000732421875,25.05,18466187416.0,10489457664.0,-0.0028459954826757896,0.2,1.2640138864517212,-387810.6372642501,642
-24.825776165723802,0.0017,0.0017108431,825,650,-2.384185791015625e-07,540000,0.00047607421875,19.92,17920974613.6,8666859520.0,-0.002515578191014356,0.2,1.2690504789352417,-323364.49772882,654
-24.945168091356756,0.0017,0.0015063268,821,670,0.0,550000,0.0005126953125,19.76,18394240792.0,8068053504.0,-0.0020468419381359125,0.2,1.279288411140442,-322940.25475976,669
-25.003525027632712,0.0017,0.002015543,822,680,1.1920928955078125e-07,560000,0.00064697265625,22.49,17907528494.4,9060241408.0,-0.0027503684781549965,0.2,1.2839789390563965,-356635.92743908,681
-25.062687230110168,0.0017,0.0015015134,823,690,0.0,570000,0.00052490234375,19.19,18472956700.8,9422544896.0,-0.0027518403938302073,0.2,1.2894883155822754,-315448.82057474996,692
-25.125907200574876,0.0017,0.0020111068,824,700,0.0,580000,0.001123046875,16.29,18170001143.2,9212479488.0,-0.0030408411965254347,0.2,1.2948423624038696,-280153.42024396005,703
-25.2445312038064,0.0017,0.0025911373,820,720,1.7881393432617188e-07,590000,0.00244140625,16.88,17335492799.2,8056489984.0,-0.003138497948202712,0.2,1.304690957069397,-286879.53992464,719
-25.30007019340992,0.0017,0.0023607532,821,730,-2.384185791015625e-07,600000,0.0017822265625,17.19,17371135098.4,9001581568.0,-0.0030679281317134155,0.2,1.3098317384719849,-294606.27582112,730
-25.35794407427311,0.0017,0.0014683071,822,740,0.0,610000,0.0008056640625,17.11,17536606527.2,7643345408.0,-0.0019559399246645627,0.2,1.3149168491363525,-288822.97310059,741
-25.41867759078741,0.0017,0.0029203962,823,750,-1.1920928955078125e-07,620000,0.0030517578125,16.18,17045039091.2,9129663488.0,-0.0034899084999779006,0.2,1.3204389810562134,-272580.76099705003,753
-25.485667560994624,0.0017,0.0017213102,824,760,1.7881393432617188e-07,630000,0.00089111328125,15.26,16834493388.8,7764995584.0,-0.002399300078104716,0.2,1.3267486095428467,-263477.59833585,764
-25.617483127117158,0.0017,0.0026770732,820,780,0.0,640000,0.00386962890625,17.41,17520564237.6,8872227840.0,-0.003391783386177849,0.2,1.3379576206207275,-290331.00960866996,780
-25.678112943470477,0.0017,0.0014993094,821,790,0.0,650000,0.00057373046875,17.37,17301342611.2,8965819392.0,-0.0024097557489767495,0.2,1.3435181379318237,-288766.87115226,791
-25.739379160106182,0.0017,0.0024706104,822,800,1.7881393432617188e-07,660000,0.0027099609375,16.73,16390051264.8,8983633920.0,-0.0026836092176381497,0.2,1.3489516973495483,-282991.850333,802
-25.801183722913265,0.0017,0.0026718054,823,810,0.0,670000,0.0041748046875,13.9,17331208428.0,8467081728.0,-0.002909318851925491,0.2,1.3546414375305176,-246280.48117100997,813
-25.925591826438904,0.0017,0.0021757782,819,830,0.0,680000,0.001708984375,15.17,17000957572.8,8410142720.0,-0.002804367563112464,0.2,1.3664567470550537,-264763.88323794,829
-25.99356351643801,0.0017,0.0019918068,820,840,-2.384185791015625e-07,690000,0.00142822265625,17.46,16919586298.4,8635026432.0,-0.002911379063880304,0.2,1.3721537590026855,-291382.83247900003,841
-26.057284562289716,0.0017,0.003106501,821,850,-1.1920928955078125e-07,700000,0.00447998046875,18.05,16491273550.4,8465915904.0,-0.003970999079319882,0.2,1.3781027793884277,-297503.20427185996,852
-26.124934628605843,0.0017,0.0014755807,822,860,0.0,710000,0.00048828125,17.45,16600753175.2,8917896192.0,-0.002252690089335374,0.2,1.384705901145935,-294058.95498924004,863
-26.192983862757682,0.0017,0.0021068715,823,870,0.0,720000,0.00302734375,19.5,16539831970.4,7681431040.0,-0.0022717554502378334,0.2,1.390627145767212,-323908.20554981,874
-26.305658382177352,0.0017,0.002079347,819,890,1.1920928955078125e-07,730000,0.00113525390625,15.76,17086634998.4,7969651712.0,-0.002998467624638579,0.2,1.4010486602783203,-270300.29918534996,890
-26.367414674162866,0.0017,0.002276213,820,900,-1.1920928955078125e-07,740000,0.00284423828125,16.98,16272108289.6,8811266048.0,-0.0030011423476025813,0.2,1.4067728519439697,-287233.36725887,901
