train/policy_gradient_loss,train/learning_rate,train/clip_range,time/fps,time/total_timesteps,train/value_loss,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,train/clip_fraction,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance
-0.0036406060484296177,0.0017,0.2,857,780000,2685987845.5,0.0045188274,2.391143560409546,-34.25720847547054,-203540.64837513,0.02662353515625,43.1,909,950,1380518272.0,0.0
-0.0038869304091349475,0.0017,0.2,858,790000,2482855897.7,0.00420234,2.4160008430480957,-34.4066087603569,-213499.9790449,0.01959228515625,43.42,919,960,1037061184.0,-1.1920928955078125e-07
-0.0031040135620060026,0.0017,0.2,859,800000,2655256410.4,0.0036439467,2.43811297416687,-34.548340463638304,-195811.01135567998,0.0167724609375,43.01,930,970,1124238976.0,0.0
-0.003410209097637562,0.0017,0.2,860,810000,2427974613.6,0.0043817153,2.463432550430298,-34.69396269917488,-199938.62185118,0.019775390625,44.02,941,980,1299628544.0,1.1920928955078125e-07
-0.0036501321224932325,0.0017,0.2,856,820000,2510283156.7,0.0044255736,2.5162205696105957,-35.00531983971596,-213667.55119106,0.01943359375,46.36,956,1000,1565673984.0,0.0
-0.0036200944738084217,0.0017,0.2,857,830000,2704515363.2,0.004208668,2.5403265953063965,-35.15615024268627,-199652.89675450002,0.01903076171875,40.75,967,1010,1421116928.0,0.0
-0.00274255785789137,0.0017,0.2,858,840000,2714703946.5,0.003713398,2.565294027328491,-35.29884782135487,-195555.92191089003,0.01673583984375,41.02,978,1020,1066790720.0,0.0
-0.0030106194615655115,0.0017,0.2,859,850000,2481621827.2,0.0038924774,2.591946840286255,-35.44893589019775,-178983.48603232,0.0185546875,37.97,989,1030,1674087552.0,0.0
-0.003074214319804014,0.0017,0.2,859,860000,2315166533.3,0.0045892103,2.6233177185058594,-35.616957277059555,-177569.83549282997,0.0190673828125,37.27,1000,1040,1273125760.0,-1.1920928955078125e-07
-0.0025288441274824436,0.0017,0.2,856,870000,2558061937.7,0.004318937,2.6737682819366455,-35.917476856708525,-190561.43137745,0.01922607421875,39.6,1015,1060,1203744640.0,1.1920928955078125e-07
-0.0025951862717192853,0.0017,0.2,857,880000,2416860493.1,0.0042730346,2.7046897411346436,-36.075543475151065,-182430.95421573002,0.01776123046875,36.97,1026,1070,1369297536.0,0.0
-0.003338650503064855,0.0017,0.2,858,890000,2551095815.1,0.003985509,2.7291085720062256,-36.22933202683926,-192458.75400289,0.01810302734375,38.45,1036,1080,1279628416.0,-1.1920928955078125e-07
-0.003381775894740713,0.0017,0.2,859,900000,2461689429.3,0.004193399,2.7564480304718018,-36.36903048455715,-192472.03761919998,0.02120361328125,36.82,1047,1090,1223071872.0,0.0
-0.0033244496506085854,0.0017,0.2,856,910000,2407063534.0,0.0038901449,2.8290672302246094,-36.72954483032227,-187631.40208971,0.013623046875,39.16,1062,1110,1289965952.0,0.0
-0.002402411339608079,0.0017,0.2,856,920000,2560766230.5,0.003786212,2.855199098587036,-36.899079012870786,-183535.23792225,0.01422119140625,37.51,1073,1120,1066656896.0,-2.384185791015625e-07
-0.0030890133193679503,0.0017,0.2,857,930000,2456131473.2,0.0039755553,2.881844997406006,-37.03553611934185,-219986.28656939993,0.01741943359375,44.35,1084,1130,1580993408.0,0.0
-0.003226171131245792,0.0017,0.2,858,940000,2502524392.8,0.004120634,2.914403200149536,-37.18930231034756,-178763.36233498005,0.01683349609375,37.3,1094,1140,1306349952.0,0.0
-0.0019371873990166933,0.0017,0.2,859,950000,2349548150.3,0.003661815,2.9455108642578125,-37.35014106333256,-186593.56934595,0.01190185546875,38.55,1105,1150,915358976.0,0.0
-0.0028344473841571015,0.0017,0.2,856,960000,2479896786.4,0.003453163,3.0083401203155518,-37.680455142259596,-196118.56200041005,0.0140625,41.06,1120,1170,1176780416.0,0.0
-0.002998254281556001,0.0017,0.2,857,970000,2440542292.3,0.004082592,3.041943073272705,-37.831140065193175,-199261.63140344003,0.0138427734375,41.04,1131,1180,1213424768.0,0.0
-0.0026495446079934483,0.0017,0.2,858,980000,2550344383.0,0.0039743055,3.074394464492798,-37.99374395310879,-185330.94575651002,0.01646728515625,37.87,1142,1190,1225976320.0,0.0
-0.004036488894962531,0.0017,0.2,858,990000,2467659168.6,0.0046027736,3.1132287979125977,-38.16842674016952,-184392.72057663,0.01951904296875,35.68,1152,1200,1210740096.0,0.0
-0.002410720278203371,0.0017,0.2,855,1000000,2498950613.2,0.0038129422,3.184514045715332,-38.50812026560307,-216528.58889415997,0.01514892578125,47.11,1168,1220,1166745088.0,0.0
