train/loss,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,train/learning_rate,train/clip_range,train/std,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,time/fps
702830848.0,0.005363866,-0.004329288545341115,481,0.0017,0.2,1.993923544883728,0.0208251953125,-214563.2434059,-25.204993411898613,580,1647862741.3,0.0,480000,67.99,997
806657280.0,0.0053298166,-0.004671678580780281,490,0.0017,0.2,2.0240771770477295,0.02191162109375,-218101.50245168005,-25.390958204865456,590,1618954256.55,0.0,490000,69.43,999
729563392.0,0.0055499803,-0.003967712946177926,504,0.0017,0.2,2.082834005355835,0.0259033203125,-247720.05933489,-25.737725946307183,610,1526257815.4,0.0,500000,80.78,991
854588864.0,0.004695218,-0.003416795401244599,513,0.0017,0.2,2.109520196914673,0.01739501953125,-210400.16849528998,-25.895025567710398,620,1717768588.95,-1.1920928955078125e-07,510000,63.94,993
716414848.0,0.005981424,-0.004714094742303132,522,0.0017,0.2,2.1423003673553467,0.0263427734375,-226873.54192752004,-26.064852987229823,630,1534333492.35,0.0,520000,71.72,995
693744448.0,0.005059624,-0.004430800687623559,531,0.0017,0.2,2.17523455619812,0.02332763671875,-228170.68670249998,-26.246535317599772,640,1644285965.7,-1.1920928955078125e-07,530000,72.11,996
711028544.0,0.0056377063,-0.004053546012073639,541,0.0017,0.2,2.2098770141601562,0.027392578125,-232250.46702521,-26.433065094053745,650,1445900495.25,5.960464477539063e-08,540000,72.73,997
725055232.0,0.004918144,-0.0036264598897105317,554,0.0017,0.2,2.274038791656494,0.0183349609375,-215906.50615432003,-26.78954072892666,670,1543263922.8,-1.1920928955078125e-07,550000,67.5,991
714743360.0,0.0045928764,-0.003412137274062843,564,0.0017,0.2,2.304783821105957,0.01741943359375,-207947.32854439,-26.94990754723549,680,1689565783.4,-1.1920928955078125e-07,560000,59.46,992
837864768.0,0.0041510575,-0.00296133378851664,573,0.0017,0.2,2.3384618759155273,0.0130126953125,-202538.32348967,-27.117275629937648,690,1805139879.3,0.0,570000,55.21,993
890462784.0,0.0046643927,-0.0035705509966646788,582,0.0017,0.2,2.3688554763793945,0.023876953125,-220321.34302133002,-27.28080906420946,700,1670698234.3,0.0,580000,72.66,995
715948864.0,0.005246631,-0.004033358672677423,596,0.0017,0.2,2.438586950302124,0.0247314453125,-212714.13199017002,-27.610614177584647,720,1456073588.1,-1.1920928955078125e-07,590000,68.11,988
714502016.0,0.004426608,-0.003234569771666429,605,0.0017,0.2,2.471816301345825,0.0159912109375,-240248.16615896003,-27.786543919146062,730,1475890838.3,1.1920928955078125e-07,600000,73.69,990
766331648.0,0.0047777253,-0.0038329810742652624,615,0.0017,0.2,2.5088138580322266,0.01881103515625,-215920.2168925,-27.95588774830103,740,1618716496.65,-1.1920928955078125e-07,610000,67.02,991
622954176.0,0.0052564596,-0.0044191987984959265,624,0.0017,0.2,2.546532154083252,0.02420654296875,-219288.65177882998,-28.135140493512154,750,1535550602.9,0.0,620000,66.55,992
626456000.0,0.006168999,-0.004268836359369743,633,0.0017,0.2,2.5876076221466064,0.0263671875,-232487.10079782,-28.322493468225,760,1414563960.05,-1.1920928955078125e-07,630000,73.94,993
877760832.0,0.004616867,-0.002871733307256363,647,0.0017,0.2,2.6629159450531006,0.01826171875,-222122.11245058995,-28.670519253611566,780,1569611877.3,-2.384185791015625e-07,640000,67.0,988
918439808.0,0.0049370965,-0.0035580585294155754,657,0.0017,0.2,2.7042598724365234,0.0167724609375,-209852.83954173003,-28.846844385564328,790,1609347221.5,0.0,650000,64.07,989
711087040.0,0.004260918,-0.0028500569536845433,666,0.0017,0.2,2.7419633865356445,0.01571044921875,-228068.53450462,-29.02151533961296,800,1388272179.1,0.0,660000,71.28,990
447793728.0,0.005089677,-0.0042306217445002405,675,0.0017,0.2,2.7812039852142334,0.0224365234375,-258012.10312652,-29.190521086752415,810,1435529476.35,0.0,670000,79.85,991
715479680.0,0.0057055955,-0.004509105837405514,689,0.0017,0.2,2.8605997562408447,0.027685546875,-234471.18199075997,-29.52590710222721,830,1526562126.95,2.384185791015625e-07,680000,71.6,986
700661056.0,0.003883655,-0.0027934908705901764,698,0.0017,0.2,2.8962128162384033,0.01387939453125,-234154.54659135998,-29.687867011129857,840,1506895462.7,-1.1920928955078125e-07,690000,71.02,987
725257536.0,0.004319811,-0.0023959814629051835,708,0.0017,0.2,2.932117223739624,0.01873779296875,-227646.15183286005,-29.834410214424132,850,1503486120.8,0.0,700000,67.98,988
855331776.0,0.0041556666,-0.0026985845093804527,717,0.0017,0.2,2.9697062969207764,0.0137451171875,-241585.79765584998,-29.986302477121352,860,1521134662.35,-1.1920928955078125e-07,710000,72.3,989
644248000.0,0.004011417,-0.002767094024238759,726,0.0017,0.2,3.0110206604003906,0.01563720703125,-242414.36386346002,-30.1479816198349,870,1549966146.05,0.0,720000,72.6,990
686538688.0,0.004384282,-0.0023419164263032144,740,0.0017,0.2,3.0941078662872314,0.0144775390625,-244839.21021514,-30.469310197234154,890,1421455730.85,0.0,730000,75.56,985
692853696.0,0.0045843655,-0.003337604828266194,749,0.0017,0.2,3.1408684253692627,0.01796875,-226815.39494740998,-30.644186007976533,900,1512106784.05,0.0,740000,69.68,987
687964416.0,0.0049589807,-0.003320427792641567,758,0.0017,0.2,3.1933438777923584,0.020751953125,-248944.1633048,-30.83401495963335,910,1333789211.6,0.0,750000,76.85,988
618921280.0,0.004875953,-0.0036758692023795446,768,0.0017,0.2,3.243363618850708,0.01661376953125,-257474.20117996,-31.028068028390408,920,1413946570.2,0.0,760000,76.74,989
988073472.0,0.0044775214,-0.0031164671458100202,777,0.0017,0.2,3.291001558303833,0.0169677734375,-251323.88655508,-31.209697979688645,930,1503739917.0,1.1920928955078125e-07,770000,75.8,990
762907136.0,0.0049768174,-0.003266795593299321,791,0.0017,0.2,3.404120683670044,0.0202392578125,-250678.11752056,-31.60646210759878,950,1379786655.5,0.0,780000,75.9,985
715772096.0,0.0048857243,-0.002386394519271562,800,0.0017,0.2,3.462291955947876,0.01593017578125,-247379.34815809998,-31.801917979121207,960,1385579742.1,0.0,790000,77.38,986
885482048.0,0.004780424,-0.003483621752093313,809,0.0017,0.2,3.507209062576294,0.02008056640625,-250217.86484571997,-31.979957221448423,970,1487115288.45,0.0,800000,73.15,987
756813056.0,0.005448426,-0.003804398490319727,819,0.0017,0.2,3.5705411434173584,0.02021484375,-253971.99145768,-32.166898164153096,980,1314984073.85,-1.1920928955078125e-07,810000,80.27,988
