train/n_updates,train/clip_range,rollout/ep_len_mean,train/loss,train/approx_kl,time/time_elapsed,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_rew_mean
590,0.2,10.44,7756606976.0,0.0023667817,564,-24.789396511018275,0.0017,867,0.0,490000,-0.002435730014076398,0.00225830078125,16526264560.0,1.266859531402588,-203701.42781845998
610,0.2,11.7,8139076608.0,0.004069658,579,-24.927800518274307,0.0017,863,0.0,500000,-0.003422264575783629,0.01331787109375,15896107912.8,1.2783688306808472,-222492.48363199
620,0.2,12.31,8862443520.0,0.0030190288,589,-24.990740904211997,0.0017,865,1.7881393432617188e-07,510000,-0.002733991790410073,0.00377197265625,15683459712.8,1.2832520008087158,-230796.57307991997
630,0.2,11.59,7569247744.0,0.0037074992,599,-25.05284098237753,0.0017,867,-1.1920928955078125e-07,520000,-0.0033278561240877025,0.00648193359375,15453949821.6,1.288940668106079,-216486.22237538005
640,0.2,12.17,7940665856.0,0.0028338162,609,-25.116223326325418,0.0017,869,0.0,530000,-0.0027290643358355736,0.00750732421875,15381650632.8,1.2942613363265991,-225926.56819006996
650,0.2,11.3,8033746944.0,0.0034297504,619,-25.182346577942372,0.0017,871,0.0,540000,-0.002842687496740837,0.00517578125,14682239383.2,1.3004019260406494,-214955.55026981997
670,0.2,11.22,7706761216.0,0.0043476187,633,-25.319587671756743,0.0017,867,-1.1920928955078125e-07,550000,-0.0045346802240601395,0.012109375,14911523422.4,1.3122633695602417,-205743.88398467
680,0.2,9.23,8280606720.0,0.0024593887,644,-25.387393042445183,0.0017,869,0.0,560000,-0.002853657572359225,0.0043701171875,14989641944.0,1.3182555437088013,-184216.24681105
690,0.2,12.9,7756345344.0,0.0024708495,654,-25.455284659564494,0.0017,871,0.0,570000,-0.0020387860018672654,0.0022705078125,15073426481.6,1.3243190050125122,-228030.95838353
700,0.2,13.3,8244221440.0,0.0034383093,664,-25.524155662953852,0.0017,872,1.7881393432617188e-07,580000,-0.0033041195060377502,0.0047119140625,14903411423.2,1.3303718566894531,-242237.19867369
720,0.2,11.13,8959355904.0,0.0031253467,678,-25.650453160703183,0.0017,869,0.0,590000,-0.0024096063494653207,0.0039794921875,15571561125.6,1.341128945350647,-209406.51805048
730,0.2,10.95,7908871680.0,0.0023984907,688,-25.71294737756252,0.0017,870,0.0,600000,-0.0027838500449433924,0.00269775390625,15234392733.6,1.347347617149353,-207907.61762655005
740,0.2,9.49,7828886528.0,0.003100096,699,-25.784683574736118,0.0017,872,1.1920928955078125e-07,610000,-0.0035721899246709656,0.006982421875,15021857098.4,1.3540396690368652,-188642.14103161998
750,0.2,11.19,7140809728.0,0.004128338,709,-25.85360709875822,0.0017,874,-1.1920928955078125e-07,620000,-0.0045332778625379435,0.00985107421875,14953845473.6,1.359779715538025,-209036.42115105002
760,0.2,10.45,7381457408.0,0.0021086095,719,-25.918768531084062,0.0017,875,0.0,630000,-0.001878935181775887,0.0021240234375,14674956760.0,1.3660194873809814,-199027.00780756
780,0.2,10.34,6290590208.0,0.0030900715,733,-26.057042399048804,0.0017,872,1.7881393432617188e-07,640000,-0.002587102275356301,0.00438232421875,13762908740.0,1.3784490823745728,-194404.78550526995
790,0.2,12.33,7009667072.0,0.002511505,744,-26.126895339787005,0.0017,873,-1.1920928955078125e-07,650000,-0.002228945399838267,0.002685546875,14031421708.8,1.3854560852050781,-227723.40717191
800,0.2,10.77,7583318528.0,0.0024236366,754,-26.196405704319478,0.0017,874,0.0,660000,-0.002319793931746972,0.00206298828125,13858369758.4,1.391353964805603,-210416.87620364
810,0.2,9.51,7422116864.0,0.0030461005,764,-26.262024310231208,0.0017,876,0.0,670000,-0.0025288534257924765,0.0052978515625,14219839592.0,1.397539496421814,-184967.58537743997
830,0.2,10.2,8984210432.0,0.0030869702,779,-26.394563913345337,0.0017,872,-1.1920928955078125e-07,680000,-0.0031889155668977766,0.00638427734375,14695580640.0,1.4098759889602661,-198078.57097076
840,0.2,10.41,6088262656.0,0.003252557,789,-26.45951970666647,0.0017,874,0.0,690000,-0.0029697328587644733,0.00421142578125,13802379064.8,1.4161256551742554,-197020.43513768003
850,0.2,9.39,6363247104.0,0.0022214733,799,-26.528499183058738,0.0017,875,0.0,700000,-0.001994027762702899,0.00157470703125,13358712711.2,1.4229202270507812,-186669.97939666003
860,0.2,10.06,6431569408.0,0.0035757362,809,-26.597364534437656,0.0017,876,1.7881393432617188e-07,710000,-0.0035512960712367203,0.01248779296875,13572986500.0,1.4292908906936646,-188765.84546055004
870,0.2,10.51,7366162944.0,0.002718904,820,-26.671547849476337,0.0017,877,-1.1920928955078125e-07,720000,-0.003159445332676114,0.00587158203125,13487330243.2,1.4371827840805054,-195950.66488598997
890,0.2,9.58,7479628800.0,0.002378033,834,-26.821095012128353,0.0017,874,0.0,730000,-0.002064220253669191,0.00194091796875,14414468352.8,1.451061487197876,-182662.19948468998
900,0.2,12.3,5286513152.0,0.0028318327,844,-26.892970506846904,0.0017,875,1.7881393432617188e-07,740000,-0.0028239583916729316,0.00533447265625,12728647952.8,1.458027958869934,-216493.86257220004
910,0.2,11.53,6403830272.0,0.0027972045,855,-26.96215253919363,0.0017,877,-1.1920928955078125e-07,750000,-0.0029399980428934215,0.01143798828125,12899192765.6,1.4644440412521362,-216251.20356182006
920,0.2,11.99,6682555392.0,0.0031019012,865,-27.029807433485985,0.0017,878,0.0,760000,-0.0027141706148540836,0.0099365234375,13685686982.4,1.4713451862335205,-213196.99068556997
930,0.2,10.82,6500806656.0,0.0029370221,875,-27.100899124145506,0.0017,879,0.0,770000,-0.002434067370086268,0.008203125,13390801442.4,1.4785079956054688,-193193.78224351004
950,0.2,10.88,6368271872.0,0.0029910575,890,-27.259844318032265,0.0017,876,-1.1920928955078125e-07,780000,-0.0028680614401309867,0.00906982421875,13618335169.6,1.4943767786026,-203505.71140557996
960,0.2,12.3,6744523264.0,0.0017387845,900,-27.334903594851493,0.0017,877,0.0,790000,-0.0022130534820462345,0.001904296875,13515465272.8,1.5019572973251343,-211731.18562398994
970,0.2,9.66,5771440128.0,0.0019732313,910,-27.407006946206092,0.0017,878,0.0,800000,-0.0025334624191600597,0.0021240234375,13074569655.2,1.5088635683059692,-190268.91238258
980,0.2,10.52,6511855104.0,0.0028442475,921,-27.477764163911342,0.0017,879,5.960464477539063e-08,810000,-0.002550906693977595,0.00958251953125,13188344556.0,1.5162256956100464,-202793.65096633
1000,0.2,11.29,6256133120.0,0.0016368525,935,-27.610729295015336,0.0017,876,0.0,820000,-0.0015730498073025956,0.000927734375,13630283336.8,1.5287460088729858,-202792.46954068
1010,0.2,9.96,6956336640.0,0.0023470465,946,-27.672861838340758,0.0017,876,0.0,830000,-0.002201306705865136,0.00281982421875,12416747583.2,1.5360019207000732,-187055.1646401
1020,0.2,12.04,6904424448.0,0.0024991583,956,-27.746846963465213,0.0017,877,5.960464477539063e-08,840000,-0.0033136667907456285,0.00406494140625,13145456578.4,1.5438644886016846,-224543.42677117005
1030,0.2,12.46,6448027136.0,0.002900564,967,-27.82328858375549,0.0017,878,-1.1920928955078125e-07,850000,-0.0029866499789932277,0.00555419921875,13091996501.6,1.551801323890686,-219788.33581776003
1040,0.2,10.93,6984334336.0,0.0022922414,977,-27.894910261034966,0.0017,879,0.0,860000,-0.0028975051076486126,0.0041748046875,13225292784.8,1.5586916208267212,-200507.19476844
1060,0.2,10.37,6025423360.0,0.0022944496,992,-28.042430019378664,0.0017,876,1.1920928955078125e-07,870000,-0.0021652057102983235,0.0053466796875,12639072037.6,1.5748082399368286,-190370.02013968
