train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/clip_range,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/clip_fraction
-0.0005110081907332642,0.00010894713,37361778688.0,0.0,525,0.2,430000,83075484416.0,-21.278643251955508,0.0003,520,-599278.06442885,818,21.52,0.9996622204780579,0.0
-0.00029157384797144913,5.3830947e-05,56437596160.0,0.0,535,0.2,440000,91536182374.4,-21.27883926182985,0.0003,530,-642793.5150111801,820,23.59,0.9996379613876343,0.0
-0.00036327853249531474,6.669946e-05,40860397568.0,-1.1920928955078125e-07,546,0.2,450000,85325128147.2,-21.278658343851568,0.0003,540,-504745.50252408994,822,17.97,0.9996407628059387,0.0
-0.00043232398838881635,8.653585e-05,34672775168.0,0.0,562,0.2,460000,83681838806.4,-21.27831271737814,0.0003,560,-513113.57167931995,818,18.43,0.9995915293693542,0.0
-0.0001861044556790148,3.107592e-05,53843099648.0,5.960464477539063e-08,573,0.2,470000,94513228160.0,-21.277861523628236,0.0003,570,-448386.50286227005,820,15.91,0.9995821118354797,0.0
-0.00044803249911637975,9.2921066e-05,42145996800.0,-1.1920928955078125e-07,584,0.2,480000,79374985155.2,-21.277503803372383,0.0003,580,-594372.35699509,821,21.27,0.999541163444519,0.0
-0.00033095973758463516,6.2930754e-05,39855960064.0,0.0,595,0.2,490000,81586537737.6,-21.277054777741434,0.0003,590,-536372.0456329,823,19.42,0.9995251893997192,0.0
-0.00019965448755101533,3.4241086e-05,39602561024.0,0.0,611,0.2,500000,82621042422.4,-21.277566263079642,0.0003,610,-590505.1767039,818,21.6,0.9995834827423096,0.0
-0.0006063991560949944,0.00013767372,42701840384.0,-1.1920928955078125e-07,622,0.2,510000,84738221996.8,-21.277948185801506,0.0003,620,-497395.8393797001,819,17.93,0.9996035099029541,0.0
-0.00047047559382917825,0.00011592144,37701124096.0,1.7881393432617188e-07,633,0.2,520000,69643404188.8,-21.278139075636865,0.0003,630,-562441.45149086,821,20.61,0.9996060729026794,0.0
-0.0002456438985973364,5.2386742e-05,44006428672.0,0.0,644,0.2,530000,79649256844.8,-21.27850397527218,0.0003,640,-567896.9827912999,822,20.62,0.9996535181999207,0.0
-0.0003636070396169089,7.683196e-05,34895319040.0,0.0,655,0.2,540000,84108303190.4,-21.278967475891115,0.0003,650,-473148.2213221101,824,16.81,0.9996663331985474,0.0
-0.0002961068428703584,5.2462332e-05,42402848768.0,0.0,670,0.2,550000,89637548217.6,-21.279873457551002,0.0003,670,-461502.47077652,820,16.11,0.999713659286499,0.0
-0.0003499292113701813,6.928833e-05,40630362112.0,0.0,681,0.2,560000,80676566064.0,-21.27927597910166,0.0003,680,-522543.94814258,821,18.79,0.999646782875061,0.0
-0.00039031927426549375,8.8795714e-05,38076628992.0,0.0,692,0.2,570000,84121111740.8,-21.27909970879555,0.0003,690,-586444.2289377,823,21.02,0.9996935129165649,0.0
-0.0004192454300209647,8.300701e-05,43909885952.0,1.7881393432617188e-07,703,0.2,580000,86015378460.8,-21.27975424826145,0.0003,700,-498849.7966849,824,17.8,0.9997320771217346,0.0
-0.00029882838443882063,6.203756e-05,37465735168.0,0.0,719,0.2,590000,87255251430.4,-21.27950073629618,0.0003,720,-532848.50068232,820,19.1,0.9996560215950012,0.0
-0.00036641017359215764,6.949522e-05,41087143936.0,-1.1920928955078125e-07,730,0.2,600000,88942074025.6,-21.279001630842686,0.0003,730,-526619.8730514799,821,18.48,0.9996687769889832,0.0
-0.0003242399947339436,6.347016e-05,40123543552.0,5.960464477539063e-08,741,0.2,610000,87574176118.4,-21.2789262548089,0.0003,740,-534413.9207009398,822,19.3,0.9996457695960999,0.0
-0.0004142296813370194,8.868286e-05,36451491840.0,0.0,752,0.2,620000,79035192342.4,-21.278849124908447,0.0003,750,-450995.14527228015,824,15.8,0.999658465385437,0.0
-0.00041159996635542484,8.9865396e-05,41693360128.0,0.0,762,0.2,630000,79635782092.8,-21.278961220383643,0.0003,760,-634985.28759811,825,22.63,0.9996597170829773,0.0
-0.00019099494911642979,3.3507218e-05,45502410752.0,1.1920928955078125e-07,778,0.2,640000,87604703536.0,-21.27853644788265,0.0003,780,-519645.57608618995,822,18.45,0.9996301531791687,0.0
-0.0003403014552532113,7.128524e-05,39773126656.0,0.0,789,0.2,650000,84380114064.0,-21.278499440848826,0.0003,790,-591768.1600068399,823,21.31,0.9996293783187866,0.0
-0.0004229386460792739,7.809644e-05,45636251648.0,-1.1920928955078125e-07,799,0.2,660000,85673624736.0,-21.27856391966343,0.0003,800,-424740.66423462995,825,14.71,0.9996354579925537,0.0
-0.0003534330835464061,7.474992e-05,36407107584.0,1.7881393432617188e-07,810,0.2,670000,75379261692.8,-21.278374193608762,0.0003,810,-544475.20124856,826,19.41,0.9996044039726257,0.0
-0.00039792417810531334,8.306846e-05,41658372096.0,0.0,825,0.2,680000,78035637052.8,-21.278104923665524,0.0003,830,-422924.06879022,823,15.05,0.999595046043396,0.0
-0.00043426830306998455,8.5364794e-05,40381530112.0,5.960464477539063e-08,836,0.2,690000,88461517670.4,-21.27834521830082,0.0003,840,-534026.22718659,824,19.21,0.9996410608291626,0.0
-0.00024313772810273803,4.239395e-05,43919958016.0,0.0,847,0.2,700000,89031697164.8,-21.279001012444496,0.0003,850,-535213.08012448,826,19.09,0.9996817111968994,0.0
-0.000256175874346809,4.208579e-05,38383464448.0,1.1920928955078125e-07,858,0.2,710000,84013702912.0,-21.279295870661734,0.0003,860,-435479.16003657,827,15.06,0.9996812343597412,0.0
-0.0003190196466675843,5.951724e-05,48532267008.0,0.0,869,0.2,720000,81692067955.2,-21.27958598434925,0.0003,870,-444490.2435695401,828,15.77,0.99972003698349,0.0
-0.00025740900073287774,4.7607464e-05,41647673344.0,1.1920928955078125e-07,885,0.2,730000,84543980396.8,-21.279691770672798,0.0003,890,-510671.28639456,823,18.28,0.9996970891952515,0.0
-0.00040739332180237395,7.96836e-05,43252916224.0,0.0,897,0.2,740000,88331928038.4,-21.279931773245334,0.0003,900,-526468.70211581,824,18.82,0.9997522830963135,0.0
-0.00044994171548751183,8.795932e-05,45478211584.0,0.0,909,0.2,750000,90431614726.4,-21.28036349117756,0.0003,910,-472344.1378862301,825,16.48,0.9997537732124329,0.0
-0.00044245015506021445,0.000100081845,42594258944.0,5.960464477539063e-08,920,0.2,760000,77960796499.2,-21.279818220436574,0.0003,920,-418811.15554346005,825,14.65,0.9996789693832397,0.0
-0.0004136140872105898,7.992231e-05,38568779776.0,0.0,932,0.2,770000,82605717740.8,-21.279566344618797,0.0003,930,-505844.65714075,825,17.99,0.9997251033782959,0.0
-0.0004266463944077259,8.9217414e-05,45648609280.0,1.1920928955078125e-07,948,0.2,780000,84614670032.0,-21.280104964971542,0.0003,950,-522403.01295246003,822,18.7,0.9997266530990601,0.0
