train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/loss,train/clip_range,time/fps,train/std,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/value_loss
0.0,500,-181152.90066197998,2799711232.0,0.2,1553,0.9926174879074097,263,-12.703330694139003,0.0,0.00093990925,-0.0014327274855531868,410000,32.27,0.0003,5385506061.2
0.0,510,-187377.38943279997,2701692928.0,0.2,1557,0.9922433495521545,269,-12.701609538495541,0.0,0.00045147684,-0.0007944019708702399,420000,31.61,0.0003,5205685308.2
0.0,520,-194668.34580611,2849434112.0,0.2,1560,0.9920283555984497,275,-12.698853254318237,0.0,0.000549844,-0.0010004211537307129,430000,33.7,0.0003,5379901666.4
0.0,530,-190257.9117282,2782410240.0,0.2,1562,0.9917471408843994,281,-12.696627542376518,0.0,0.00031997115,-0.00067436254266795,440000,35.16,0.0003,5299840839.6
0.0,540,-178490.94456493005,2357561344.0,0.2,1565,0.9916716814041138,287,-12.695016288012265,0.0,0.0003980011,-0.0007721882058831398,450000,31.51,0.0003,5035194747.8
0.0,560,-162766.66801837,2622045952.0,0.2,1553,0.9920704960823059,296,-12.697035529464483,-1.1920928955078125e-07,0.0004473952,-0.0007421079000778264,460000,27.32,0.0003,5067005023.0
0.0,570,-199555.26341095005,2722411008.0,0.2,1556,0.9918195009231567,301,-12.697140347212553,-1.1920928955078125e-07,0.00016350069,-0.0005092742452688981,470000,36.91,0.0003,5368235315.0
0.0,580,-191579.20913150004,2797731328.0,0.2,1559,0.9917383193969727,307,-12.695564603060484,-1.1920928955078125e-07,0.0005580162,-0.0008923693994802306,480000,37.29,0.0003,5160770348.2
0.0,590,-181656.76232734002,2503276032.0,0.2,1561,0.9916730523109436,313,-12.694838663935661,5.960464477539063e-08,0.0006486908,-0.0010058237272460246,490000,34.45,0.0003,5056757568.0
0.0,610,-197142.83289603,2708601088.0,0.2,1551,0.9912905097007751,322,-12.69232481122017,5.960464477539063e-08,0.0005885589,-0.0010749215976829873,500000,37.6,0.0003,5244314933.2
0.0,620,-172643.98662880997,2431430400.0,0.2,1553,0.9911826252937317,328,-12.690496454387903,0.0,0.00036672337,-0.0007545298449258553,510000,31.32,0.0003,5093337148.4
0.0,630,-175018.04692291998,2368899584.0,0.2,1556,0.9911290407180786,334,-12.68978492245078,0.0,0.00045894252,-0.0007567123273020115,520000,31.72,0.0003,5266933577.2
0.0,640,-169501.77568994998,2593633280.0,0.2,1558,0.9909301400184631,340,-12.688624088466167,0.0,0.00071402674,-0.0011291180879197781,530000,32.34,0.0003,5186597601.2
