time/fps,train/std,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_range,train/loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss
939,0.982933759689331,0.0,-8.409369955956937,790,0.0010742148,1.220703125e-05,2480951280.0,-219431.92094129004,86.02,0.2,1163477248.0,0.0003,691,650000,-0.0008308803161526157
941,0.982431173324585,-1.1920928955078125e-07,-8.407023231685162,800,0.001371047,0.0,2329299005.8,-222760.67700137995,83.12,0.2,1374615168.0,0.0003,701,660000,-0.0011600968693528558
942,0.9820575714111328,5.960464477539063e-08,-8.40427012592554,810,0.000636901,0.0,2395915622.5,-217962.06938623008,83.01,0.2,1239274624.0,0.0003,710,670000,-0.000524475688507664
936,0.9819920063018799,5.960464477539063e-08,-8.403114218264818,830,0.0009232444,0.0,2446931586.7,-230142.10439437,81.35,0.2,1212426368.0,0.0003,725,680000,-0.0008605682769484702
938,0.9822837710380554,5.960464477539063e-08,-8.4036426641047,840,0.0013587469,3.662109375e-05,2535298248.8,-236422.30239712997,84.25,0.2,1262478208.0,0.0003,735,690000,-0.0011762926833398524
939,0.9818289279937744,0.0,-8.403058194369077,850,0.0027881041,0.00191650390625,2340801922.6,-199008.15591096,78.17,0.2,1159705856.0,0.0003,745,700000,-0.0019058368692640216
940,0.9808647632598877,0.0,-8.39875824302435,860,0.0012605471,4.8828125e-05,2302625109.1,-193626.34582261997,83.65,0.2,999293824.0,0.0003,754,710000,-0.0008800658348263824
941,0.9807873368263245,0.0,-8.395519664883613,870,0.0022282687,0.0005615234375,2180212148.9,-205077.85299467001,84.26,0.2,1136646784.0,0.0003,764,720000,-0.0014179877969581866
936,0.9793436527252197,0.0,-8.389314245432615,890,0.002286065,0.00089111328125,2339683064.0,-191580.94328440004,78.16,0.2,1166959360.0,0.0003,779,730000,-0.001407088549240143
938,0.9785780906677246,0.0,-8.383670373260975,900,0.0019845155,0.000537109375,2139428432.4,-188159.25122381002,78.74,0.2,1058431232.0,0.0003,788,740000,-0.0010449271972902351
939,0.9780675768852234,-1.1920928955078125e-07,-8.379700936377048,910,0.0017933301,0.00018310546875,2203069101.4,-228861.14165791008,93.63,0.2,870481408.0,0.0003,798,750000,-0.0011473142034446938
940,0.9778776168823242,0.0,-8.377568107098341,920,0.0017260106,0.00010986328125,2280449334.3,-206534.39192819002,74.31,0.2,1320125184.0,0.0003,808,760000,-0.0008902470302928122
941,0.9776642918586731,-1.1920928955078125e-07,-8.37636327892542,930,0.00074750726,0.0,2545536390.1,-224762.39120167002,84.06,0.2,1295300352.0,0.0003,817,770000,-0.0006747520494172932
936,0.9766018986701965,0.0,-8.371122090518474,950,0.0012821713,0.0002685546875,2191409121.7,-190720.88682854,75.59,0.2,1272444672.0,0.0003,832,780000,-0.0006812637320763315
938,0.9763615727424622,1.1920928955078125e-07,-8.368391520529986,960,0.0026535243,0.00238037109375,2363036934.1,-188263.49201152005,70.75,0.2,1380943872.0,0.0003,842,790000,-0.001490562462277012
939,0.9768078923225403,0.0,-8.368922940641642,970,0.00054337445,0.0,2323365251.1,-208825.60929612,83.71,0.2,1055952960.0,0.0003,851,800000,-0.0005779034728220722
940,0.9757532477378845,5.960464477539063e-08,-8.367098069190979,980,0.00043334445,0.0,2382635106.8,-192611.54351911,73.12,0.2,1500208256.0,0.0003,861,810000,-0.0004885788514002343
935,0.9742491841316223,0.0,-8.35756750702858,1000,0.001526255,0.0001953125,2420344786.3,-225138.19703801,83.39,0.2,953396096.0,0.0003,876,820000,-0.0009734748777191271
936,0.9735434651374817,0.0,-8.352419420331717,1010,0.0014303139,0.0001953125,2181292812.8,-190553.96225222002,82.31,0.2,1039123520.0,0.0003,886,830000,-0.0009243659291314543
937,0.9727663993835449,0.0,-8.347827313840389,1020,0.0015496239,0.0001953125,2167340065.9,-184219.20511341005,71.02,0.2,1355943168.0,0.0003,895,840000,-0.0007932303595225676
938,0.9719488024711609,0.0,-8.342897599935531,1030,0.0018574903,0.00042724609375,2241977263.2,-180684.91549741002,74.54,0.2,906991680.0,0.0003,905,850000,-0.0011746870430215494
939,0.9717709422111511,1.1920928955078125e-07,-8.339979520440101,1040,0.0042118034,0.0133056640625,2208902835.7,-191983.41027693998,73.77,0.2,1074205056.0,0.0003,915,860000,-0.002962194346582692
935,0.9706980586051941,-1.1920928955078125e-07,-8.333068796992302,1060,0.0014659243,0.00010986328125,2196435854.4,-193862.5492895,75.16,0.2,1061707008.0,0.0003,929,870000,-0.0009553408714964462
936,0.9701852202415466,0.0,-8.330913998931646,1070,0.0033801002,0.00406494140625,2355872122.1,-199818.66830823,78.53,0.2,1255432320.0,0.0003,939,880000,-0.0018456270527167362
937,0.9695329070091248,0.0,-8.327030722796916,1080,0.003322734,0.00390625,2214606053.9,-169152.81236415997,69.91,0.2,1036463808.0,0.0003,949,890000,-0.0021170738624277873
938,0.9690587520599365,-1.1920928955078125e-07,-8.323579698055983,1090,0.0022791375,0.0006103515625,2220055590.2,-180140.80282881,80.27,0.2,1118851072.0,0.0003,959,900000,-0.001225490649449057
934,0.9681811332702637,0.0,-8.31743920519948,1110,0.0025893357,0.00179443359375,2315856778.8,-172840.61919757002,68.79,0.2,1203254272.0,0.0003,974,910000,-0.0012691897813965625
935,0.9670827388763428,0.0,-8.313180761784315,1120,0.0028335555,0.00198974609375,2104340203.6,-176654.92884557,85.13,0.2,972472576.0,0.0003,983,920000,-0.001987494380409771
936,0.9669647812843323,0.0,-8.309303734451532,1130,0.0041380674,0.00885009765625,2120549787.0,-181470.78738075998,81.46,0.2,736076672.0,0.0003,993,930000,-0.0024317022140166954
937,0.9666405320167542,0.0,-8.307799316942692,1140,0.0027575945,0.00347900390625,2193303857.2,-185320.11726585004,81.6,0.2,1012764544.0,0.0003,1002,940000,-0.0015223031219647964
938,0.9664754271507263,5.960464477539063e-08,-8.306073770672082,1150,0.002853203,0.00235595703125,1982160497.15,-194934.04178936995,85.59,0.2,977639488.0,0.0003,1012,950000,-0.0016087003838947567
934,0.9647154211997986,0.0,-8.297740704566241,1170,0.0047267014,0.017138671875,2235561648.5,-191324.61501747,78.69,0.2,1091469568.0,0.0003,1027,960000,-0.003331787257047836
935,0.9639621376991272,-1.1920928955078125e-07,-8.29221814572811,1180,0.0023052394,0.0031982421875,2197309257.2,-183673.97817646002,72.75,0.2,937666368.0,0.0003,1036,970000,-0.0012619736879059928
936,0.9641072154045105,-1.1920928955078125e-07,-8.290207938104867,1190,0.00081058324,1.220703125e-05,2226358725.9,-162240.08519496,63.91,0.2,975708288.0,0.0003,1046,980000,-0.000577061088552
937,0.9636510014533997,0.0,-8.289356471598149,1200,0.0029919408,0.005126953125,2248518465.9,-181737.24975417004,72.44,0.2,1075300352.0,0.0003,1055,990000,-0.0016203620421947561
934,0.9627885222434998,0.0,-8.283161679655313,1220,0.0023139515,0.0011962890625,2163749790.5,-182310.91239399996,77.99,0.2,1159981696.0,0.0003,1070,1000000,-0.001141976619601337
