train/actor_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/ent_coef
-81299.09375,490000,11.13,184,0.0055,122474,-2.5887255668640137,32175,133666.07173639,2971686.5,2659,45.048675537109375
-86950.953125,500000,16.09,183,0.0055,124974,-160.161376953125,32877,103510.24301478,80719424.0,2719,154.72506713867188
-62856.875,510000,12.27,183,0.0055,127474,4.23996639251709,33136,133528.06277716,14939662.0,2778,81.0043716430664
-56896.4765625,520000,13.43,183,0.0055,129974,-26.217575073242188,33913,108862.91393151,51734484.0,2838,186.31227111816406
-20441.65234375,530000,15.22,182,0.0055,132474,-262.0497741699219,34486,94608.15210241998,191629632.0,2897,247.7703094482422
395565.3125,540000,37.94,182,0.0055,134974,90.942138671875,34720,-228730.74637321,11017203712.0,2957,20561.216796875
146183.46875,550000,20.51,182,0.0055,137474,74.55039978027344,35130,-90312.5352922,646929664.0,3016,1536.111328125
38384.1171875,560000,11.62,181,0.0055,139974,7.950700759887695,35817,132529.5475172,132156256.0,3077,143.42930603027344
-30187.169921875,570000,12.18,181,0.0055,142474,-0.3604458272457123,36652,133634.48868788,34230632.0,3137,91.1308822631836
-18950.78515625,580000,52.46,181,0.0055,144974,5.252350807189941,37088,-87926.42963248998,109933024.0,3197,428.0823974609375
-55640.6796875,590000,12.88,181,0.0055,147474,7.778966426849365,37541,133601.45621379002,54687088.0,3256,81.58929443359375
-68506.578125,600000,11.3,180,0.0055,149974,0.7638630867004395,38348,133659.82314245,8134316.5,3316,54.04280090332031
-75191.171875,610000,12.75,180,0.0055,152474,-0.25907737016677856,39198,133506.58131943998,8685048.0,3376,49.97214126586914
48629.4140625,620000,44.82,180,0.0055,154974,-72.87247467041016,39415,-28163.23572883,2449504512.0,3436,464.6333923339844
-49415.9453125,630000,12.27,180,0.0055,157474,7.320104122161865,39892,133623.60269207,53646152.0,3495,156.38552856445312
-61655.734375,640000,12.84,179,0.0055,159974,2.8755807876586914,40694,133495.51973134003,90492200.0,3556,83.77998352050781
-62841.734375,650000,13.89,179,0.0055,162474,0.2417675107717514,41492,133507.66139632,76753312.0,3616,69.34762573242188
-45193.80078125,660000,75.19,179,0.0055,164974,24.28014373779297,41733,-627512.6558594899,17139502.0,3675,174.12448120117188
-66155.5859375,670000,11.66,179,0.0055,167474,1.9446611404418945,42536,133646.15022132,7476614.0,3735,58.724632263183594
-65994.84375,680000,11.51,179,0.0055,169974,-0.09594619274139404,43371,133647.26803939,14265393.0,3796,56.45276641845703
-79157.125,690000,11.56,178,0.0055,172474,1.1445493698120117,44218,133652.20551067998,11300236.0,3856,48.22571563720703
-71225.203125,700000,12.36,178,0.0055,174974,9.644569396972656,44820,133611.77549986,6043062.0,3916,92.68646240234375
-79890.65625,710000,11.46,178,0.0055,177474,-0.7747231125831604,45662,133653.2459475,6233421.0,3975,51.969383239746094
-47612.328125,720000,34.13,178,0.0055,179974,-0.623645544052124,46063,120150.47897965001,42827808.0,4035,267.21490478515625
-42752.48046875,730000,13.44,178,0.0055,182474,1.3814547061920166,46676,133381.24163477,45296896.0,4094,266.0398864746094
-51092.1015625,740000,14.49,178,0.0055,184974,10.813252449035645,47328,133133.4912046,25334878.0,4154,208.99879455566406
-67860.3046875,750000,11.27,177,0.0055,187474,-1.019032597541809,48198,133653.79971623997,10195319.0,4214,53.378150939941406
-84384.375,760000,11.24,177,0.0055,189974,0.05791330337524414,49077,133655.59963696002,7874642.5,4274,42.779876708984375
-57953.453125,770000,46.18,177,0.0055,192474,85.90231323242188,49560,-446396.68955089,302283264.0,4333,1490.6182861328125
-59813.9375,780000,15.64,177,0.0055,194974,11.865640640258789,50069,133407.63300717,20064478.0,4393,119.218017578125
-67302.171875,790000,12.26,177,0.0055,197474,3.889774799346924,50913,133423.81114104,39976720.0,4452,65.49769592285156
-74161.828125,800000,11.3,177,0.0055,199974,-0.4951601028442383,51792,133654.65472332,15998622.0,4513,54.846900939941406
28232.08984375,810000,35.34,177,0.0055,202474,-103.30408477783203,52244,-5860.62281986,1322739968.0,4573,1132.5257568359375
-37598.734375,820000,18.18,176,0.0055,204974,9.31344985961914,52586,127974.83569365999,64757560.0,4633,345.66741943359375
-68313.953125,830000,11.41,176,0.0055,207474,2.8233726024627686,53368,133648.6996509,16236830.0,4693,64.8878173828125
-72661.2109375,840000,11.35,176,0.0055,209974,1.7061623334884644,54107,133653.80103926,9757694.0,4752,55.18571090698242
-84978.65625,850000,14.54,176,0.0055,212474,-341.67401123046875,54944,76922.07673018,2638429440.0,4812,171.72036743164062
-54985.82421875,860000,22.25,176,0.0055,214974,47.761512756347656,55172,88888.86867162999,42282760.0,4872,495.6507568359375
-62334.140625,870000,44.56,176,0.0055,217474,14.075967788696289,55669,104299.33642880998,31633524.0,4931,146.8754425048828
-69617.34375,880000,11.15,176,0.0055,219974,-1.0206197500228882,56520,133457.99750203,8425748.0,4991,58.96375274658203
-77443.6484375,890000,11.08,176,0.0055,222474,4.756064414978027,57346,133665.45751389,6533366.0,5050,66.14193725585938
-51830.03515625,900000,29.53,176,0.0055,224974,39.048458099365234,57961,-88940.52749915002,26639988.0,5110,284.702392578125
-75571.96875,910000,11.4,176,0.0055,227474,5.434427738189697,58635,133651.31793125,14599044.0,5170,78.62598419189453
-62849.640625,920000,13.73,175,0.0055,229974,-11.478690147399902,59291,121247.43162891001,14217188.0,5229,110.4392318725586
-53237.96875,930000,24.7,175,0.0055,232474,0.8895866870880127,59910,-97224.2784316,28479204.0,5289,250.2743682861328
-17590.107421875,940000,12.81,175,0.0055,234974,-209.10220336914062,60597,117014.61981638,233266544.0,5348,477.23577880859375
-49187.6171875,950000,13.64,175,0.0055,237474,34.53236389160156,60875,133069.84522738,18072792.0,5407,190.11083984375
-52877.2109375,960000,11.1,175,0.0055,239974,5.111961841583252,61547,133565.75739528,10898164.0,5467,65.47852325439453
-63373.921875,970000,11.15,175,0.0055,242474,2.1827659606933594,62417,133665.28812704,7761932.5,5527,63.76970291137695
-77381.53125,980000,11.27,175,0.0055,244974,9.305435180664062,63277,133560.76518847,6830030.0,5587,62.48456954956055
-26545.240234375,990000,50.04,175,0.0055,247474,45.31244659423828,63617,-471786.28257633006,104356032.0,5646,659.2354736328125
72220.9609375,1000000,23.92,175,0.0055,249974,21.686016082763672,63906,-91127.97675124003,407357600.0,5705,1336.4703369140625
