train/learning_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,time/episodes,train/n_updates
0.0064,5597,-1112.7574462890625,93605.22837116002,-0.2284695953130722,1.103142261505127,127.22,880000,157,101.71553039550781,2423,219974
0.0064,5665,-965.9376831054688,80915.50569471001,0.07367241382598877,1.2112184762954712,167.33,890000,157,475.8599853515625,2473,222474
0.0064,5732,-1212.2015380859375,89286.08727809001,-0.1103706881403923,1.21550714969635,201.13,900000,157,777.6119384765625,2515,224974
0.0064,5802,-1675.1815185546875,115090.51894515,-0.44020500779151917,1.0628528594970703,140.49,910000,156,284.33935546875,2598,227474
0.0064,5869,-1277.9127197265625,113253.55068842001,1.4374195337295532,3.1831984519958496,150.76,920000,156,620.7567749023438,2643,229974
0.0064,5935,-876.1785888671875,99637.62536895002,0.486428827047348,1.4562314748764038,224.02,930000,156,289.43072509765625,2662,232474
0.0064,6002,-847.83203125,78930.36215899,-0.9129341244697571,1.6244646310806274,296.16,940000,156,630.974609375,2704,234974
0.0064,6070,-52.68585205078125,82852.86012811,-0.0362827405333519,0.9782112836837769,248.54,950000,156,462.00457763671875,2759,237474
0.0064,6137,-599.2990112304688,88248.99465768,0.31334343552589417,1.5272603034973145,168.88,960000,156,147.3424835205078,2834,239974
0.0064,6206,-763.1262817382812,112795.28173241999,0.01350399013608694,0.7843747138977051,117.03,970000,156,472.35418701171875,2893,242474
0.0064,6272,-371.0958557128906,109230.73337048,0.09866946935653687,1.652221918106079,179.38,980000,156,72.85142517089844,2942,244974
0.0064,6340,-325.85992431640625,97159.02576807,-0.55133455991745,0.7826314568519592,191.4,990000,156,309.6747741699219,2993,247474
0.0064,6406,-344.05615234375,99808.87306312998,-0.7117656469345093,0.7061048150062561,192.99,1000000,156,467.4957580566406,3045,249974
