train/policy_gradient_loss,time/fps,train/learning_rate,train/value_loss,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,time/time_elapsed,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range
-0.00028704739270324353,979,0.0003,2854479202.0,1367706112.0,-171622.23089038997,670000,57.72,0.0,-8.422708395123482,683,0.0,810,0.9849412441253662,0.00023348001,0.2
-0.0004895301326541812,974,0.0003,2987243452.8,1495355648.0,-198549.47248968,680000,63.43,0.0,-8.417885944247246,697,0.0,830,0.9842446446418762,0.0005152726,0.2
-0.0004674509083997691,975,0.0003,2983146445.7,1692130432.0,-207193.57089505997,690000,62.76,0.0,-8.416511090099812,707,0.0,840,0.9839989542961121,0.00048719457,0.2
-0.0007108246076313662,976,0.0003,2967078555.3,1458942336.0,-206005.02825498,700000,64.91,8.544921875e-05,-8.416107600182295,716,0.0,850,0.9841124415397644,0.0009825523,0.2
-0.0018045695069304202,978,0.0003,3014949594.2,1543201024.0,-194076.58283918994,710000,64.72,0.001123046875,-8.418251930177211,725,0.0,860,0.9846480488777161,0.0023202607,0.2
-0.0006101455752286711,979,0.0003,2842916715.0,1399457920.0,-196680.34088695,720000,64.0,0.0,-8.418129083514213,735,0.0,870,0.9841318726539612,0.0008365074,0.2
-0.0008223660626754282,974,0.0003,2817645918.4,1390879104.0,-195980.59667564,730000,66.41,9.765625e-05,-8.408864100277423,749,-1.1920928955078125e-07,890,0.9825593829154968,0.0013516173,0.2
-0.0012998686221180832,975,0.0003,3016688590.7,1469955712.0,-181597.42388202998,740000,55.84,0.0001220703125,-8.405481813848018,758,0.0,900,0.9820874333381653,0.0018302755,0.2
-0.001190561303155846,976,0.0003,3026380816.7,1405127680.0,-187839.87938702997,750000,58.06,2.44140625e-05,-8.402146153151989,768,0.0,910,0.9814784526824951,0.0015381074,0.2
-0.0009396713739988627,977,0.0003,2996644526.0,1481217536.0,-192184.85444687004,760000,57.73,0.000439453125,-8.40169355198741,777,0.0,920,0.9819479584693909,0.0018513326,0.2
-0.0005067743883046205,978,0.0003,2998786436.2,1338221952.0,-196827.33588666,770000,63.26,0.0,-8.402040319144726,786,0.0,930,0.981595516204834,0.00066749274,0.2
-0.0010917362509644591,974,0.0003,2607152286.1,1378954752.0,-189783.46032058,780000,69.68,0.000390625,-8.3989936709404,800,0.0,950,0.9813981056213379,0.002034055,0.2
-0.0008611015529822908,975,0.0003,2751105001.7,1439113984.0,-204904.84850725,790000,64.53,0.00023193359375,-8.40035612359643,810,0.0,960,0.9816024899482727,0.0015853462,0.2
