train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,time/fps,train/ent_coef
0.0055,211233536.0,200.59,252334.28125,-1785363.4660267103,222474,3267,24230,890000,71.21380615234375,272,1851.711669921875
0.0055,2872747520.0,249.08,289247.125,-2038251.73817487,224974,3305,24253,900000,-193.42950439453125,272,1043.394287109375
0.0055,241252608.0,268.58,193409.5625,-2242858.3196049305,227474,3343,24296,910000,-127.7723159790039,272,935.5299072265625
0.0055,2206932224.0,261.47,417667.15625,-2801654.1918205796,229974,3380,24344,920000,31.381519317626953,272,4483.82470703125
0.0055,307111104.0,215.04,327151.875,-1867507.1485107401,232474,3419,24389,930000,30.69107437133789,272,1155.5728759765625
0.0055,308662501376.0,225.97,1115574.0,-1816472.72491169,234974,3456,24429,940000,-58.84239196777344,271,62370.68359375
0.0055,4283239424.0,240.37,982924.125,-1554217.1797084198,237474,3494,24468,950000,46.49602508544922,271,13249.6689453125
0.0055,1071751296.0,199.9,528467.625,-640287.99072086,239974,3532,24532,960000,31.43027687072754,271,1100.9415283203125
0.0055,478894496.0,180.88,334837.625,-578892.68962007,242474,3570,24578,970000,16.334003448486328,271,61.577850341796875
0.0055,16529301504.0,203.66,680754.25,-1285503.37671019,244974,3608,24621,980000,-66.39700317382812,271,10180.9287109375
0.0055,222797922304.0,275.15,2245199.25,-2362285.60827545,247474,3646,24645,990000,-95.53071594238281,271,49233.703125
0.0055,122631995392.0,287.11,1365334.75,-2691525.8249248695,249974,3684,24692,1000000,105.46910095214844,271,82494.1171875
