time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/std,train/entropy_loss,time/fps,train/n_updates,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/value_loss,time/time_elapsed
620000,-1331180.75,-978082.3251430002,1.3523149490356445,-20.58226203918457,1331,30999,-2.384185791015625e-07,40.45,0.0007,4890072064.0,465
630000,-960691.1875,-882957.4714404,1.34710693359375,-20.535860061645508,1323,31499,0.0,37.63,0.0007,3026705920.0,476
640000,-1686296.0,-758643.17711404,1.370695948600769,-20.749170303344727,1325,31999,0.0,29.98,0.0007,8823009280.0,482
650000,-1293521.375,-559630.42657843,1.3822537660598755,-20.851560592651367,1327,32499,-1.1920928955078125e-07,25.64,0.0007,4904148480.0,489
660000,-1974766.75,-1259700.5406456098,1.398651123046875,-20.9974422454834,1328,32999,0.0,49.78,0.0007,12571640832.0,496
670000,-1407463.0,-760491.4852488,1.3994331359863281,-21.01170539855957,1323,33499,0.0,32.5,0.0007,6057840640.0,506
680000,-965878.0,-480259.5085412,1.4002084732055664,-21.019153594970703,1324,33999,0.0,20.95,0.0007,3384552192.0,513
690000,-1986249.375,-1197462.9895539798,1.4131312370300293,-21.122343063354492,1325,34499,5.960464477539063e-08,43.14,0.0007,10960091136.0,520
700000,-1308898.5,-631570.9198967299,1.4214133024215698,-21.18937873840332,1326,34999,0.0,25.55,0.0007,5535602688.0,527
710000,-1668782.625,-393864.15818724997,1.4262968301773071,-21.229101181030273,1328,35499,0.0,16.74,0.0007,7882283520.0,534
720000,-1558994.75,-691362.4840112899,1.4307993650436401,-21.2663631439209,1330,35999,-1.1920928955078125e-07,30.81,0.0007,7145394176.0,541
730000,-1416977.25,-551064.3359447,1.4389419555664062,-21.334375381469727,1331,36499,-2.384185791015625e-07,20.32,0.0007,6152272384.0,548
740000,-1531203.0,-1010597.5988629301,1.4580141305923462,-21.491926193237305,1334,36999,0.0,40.39,0.0007,6949554688.0,554
750000,-1454488.5,-1158947.32280484,1.4693049192428589,-21.582565307617188,1335,37499,1.7881393432617188e-07,49.52,0.0007,9654179840.0,561
760000,-660021.625,-930280.3139087,1.4758433103561401,-21.6418399810791,1337,37999,0.0,41.23,0.0007,3102197760.0,568
770000,-1317885.5,-647030.35387121,1.485318660736084,-21.705598831176758,1338,38499,0.0,30.52,0.0007,5300697600.0,575
780000,-1336100.375,-767480.1903843598,1.487412929534912,-21.719743728637695,1339,38999,5.960464477539063e-08,34.45,0.0007,5604408832.0,582
790000,-1434087.75,-634127.88005208,1.4979413747787476,-21.790557861328125,1339,39499,-1.1920928955078125e-07,30.25,0.0007,5780940288.0,589
800000,-1402422.25,-529104.31103107,1.4995027780532837,-21.80950927734375,1340,39999,0.0,23.11,0.0007,5530517504.0,596
810000,-1615320.0,-721430.0629650899,1.5061273574829102,-21.881017684936523,1341,40499,1.1920928955078125e-07,33.6,0.0007,6614210560.0,603
820000,-1469833.5,-493084.27286935004,1.5268793106079102,-22.041080474853516,1342,40999,-2.384185791015625e-07,22.41,0.0007,5867229696.0,610
830000,-1127306.75,-705968.70987028,1.539052128791809,-22.132030487060547,1343,41499,0.0,31.76,0.0007,6214236160.0,617
840000,-1668481.75,-857484.40416887,1.541185736656189,-22.1453857421875,1345,41999,0.0,38.96,0.0007,7358111744.0,624
850000,-878233.1875,-788821.8642055799,1.556259274482727,-22.251420974731445,1346,42499,0.0,34.17,0.0007,3933900800.0,631
860000,-1315297.0,-1125786.16533836,1.568230152130127,-22.34406089782715,1347,42999,-1.1920928955078125e-07,44.41,0.0007,4862500352.0,638
870000,-1205297.375,-1183201.05988739,1.5815362930297852,-22.435367584228516,1348,43499,0.0,45.59,0.0007,4176576512.0,645
880000,-1459476.125,-527602.57312721,1.5811823606491089,-22.41974449157715,1349,43999,0.0,22.66,0.0007,5887835136.0,652
890000,-1414602.625,-608203.85205806,1.5920203924179077,-22.511476516723633,1349,44499,2.384185791015625e-07,27.91,0.0007,5152801792.0,659
900000,-1306448.25,-653017.93151976,1.5912866592407227,-22.497819900512695,1350,44999,0.0,26.37,0.0007,4411735552.0,666
910000,-2236951.5,-698300.5516033499,1.603709101676941,-22.603029251098633,1351,45499,0.0,29.79,0.0007,11407669248.0,673
920000,-1786459.25,-1365679.34981022,1.6022257804870605,-22.589265823364258,1352,45999,-2.384185791015625e-07,51.77,0.0007,8547390464.0,680
930000,-1227854.5,-535345.13584203,1.606824517250061,-22.62006187438965,1353,46499,0.0,24.05,0.0007,4458423296.0,687
940000,-2161794.5,-435860.79048916994,1.607992172241211,-22.639453887939453,1353,46999,-1.1920928955078125e-07,18.98,0.0007,11251210240.0,694
950000,-1816267.375,-877781.0803856499,1.6202588081359863,-22.736101150512695,1354,47499,5.960464477539063e-08,33.12,0.0007,7297637376.0,701
960000,-1372428.375,-473487.7603359501,1.627401351928711,-22.779632568359375,1355,47999,5.960464477539063e-08,18.83,0.0007,5461071360.0,708
970000,-1549234.25,-396563.62265453005,1.6380683183670044,-22.868261337280273,1355,48499,-1.1920928955078125e-07,15.72,0.0007,6065850880.0,715
980000,-2036203.25,-513366.2189779,1.6395654678344727,-22.884471893310547,1356,48999,0.0,19.65,0.0007,9930467328.0,722
990000,-1892116.625,-1367708.3346084997,1.6395841836929321,-22.88214683532715,1357,49499,0.0,45.11,0.0007,8305579520.0,729
1000000,-1697333.0,-434460.63328833005,1.659582495689392,-23.00727653503418,1358,49999,-2.384185791015625e-07,16.04,0.0007,7972564992.0,736
