rollout/ep_len_mean,train/n_updates,train/std,train/policy_objective,train/kl_divergence_loss,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/is_line_search_success,train/explained_variance,train/learning_rate,train/value_loss
196.37,46,0.9054874777793884,0.03583895415067673,0.008581943809986115,1524,249,380000,-34425.812441,1.0,1.1920928955078125e-07,0.001,634192174.35
181.62,47,0.8946658968925476,0.032544177025556564,0.00832876842468977,1525,255,390000,-24504.85961597,1.0,1.1920928955078125e-07,0.001,673192022.4
163.97,48,0.8929566740989685,0.026525139808654785,0.00640881946310401,1525,262,400000,6830.031991979997,1.0,1.7881393432617188e-07,0.001,703507157.4
184.22,50,0.8828817009925842,0.03854246437549591,0.008089348673820496,1516,270,410000,7075.207757549998,1.0,0.0162733793258667,0.001,553391169.5
212.73,51,0.8832260966300964,0.03667103871703148,0.007490237709134817,1517,276,420000,-16312.610663709998,1.0,0.03333401679992676,0.001,509005331.475
247.63,52,0.885593831539154,0.034680984914302826,0.006063276436179876,1519,283,430000,-55188.06237948999,1.0,0.06171762943267822,0.001,536417689.6
206.13,53,0.8833044171333313,0.032907914370298386,0.008624049834907055,1519,289,440000,-6658.392931500002,1.0,0.05117076635360718,0.001,464383852.275
159.56,54,0.8697359561920166,0.033037684857845306,0.00908230897039175,1520,295,450000,42829.2069092,1.0,0.05964928865432739,0.001,608701843.35
166.99,56,0.8648605942726135,0.04180005192756653,0.007164429873228073,1513,303,460000,11284.855181500003,1.0,0.043410420417785645,0.001,711711497.1
180.58,57,0.8621111512184143,0.03382176533341408,0.008042916655540466,1514,310,470000,-3262.162082089996,1.0,0.057954251766204834,0.001,518261109.6
190.95,58,0.8505823016166687,0.03066255711019039,0.009561620652675629,1516,316,480000,18644.1024754,1.0,0.05648070573806763,0.001,531531490.725
163.34,59,0.8472294211387634,0.02478552609682083,0.006471816450357437,1518,322,490000,32874.19396247,1.0,0.07598203420639038,0.001,626785563.3
145.27,61,0.8456434607505798,0.03465152159333229,0.008779741823673248,1512,330,500000,54089.275391970004,1.0,0.07744598388671875,0.001,670421758.35
139.28,62,0.8453240394592285,0.036866504698991776,0.00861150398850441,1514,336,510000,50146.12828741,1.0,0.06949090957641602,0.001,672576800.6
109.59,63,0.8448517918586731,0.03819333761930466,0.006820337846875191,1514,343,520000,61108.08235525,1.0,0.02690678834915161,0.001,831839916.05
102.07,64,0.8453846573829651,0.026644812896847725,0.006951678544282913,1515,349,530000,71878.96180628,1.0,0.06324607133865356,0.001,802469536.35
