train/ent_coef_loss,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward
0.13470947742462158,-941.3048095703125,130931,0.001,1948.4584198700002,5985.1357421875,17.41,3118,49012,335,1047552,0.6099284291267395,,
0.06848423928022385,-903.2808837890625,130939,0.001,1949.42076997,9306.1494140625,17.33,3119,49016,335,1047616,0.6103383898735046,,
-0.10278034210205078,-929.5477294921875,130951,0.001,1975.46058798,10164.1923828125,17.2,3119,49020,335,1047712,0.6107543110847473,,
-0.0234832800924778,-961.5106201171875,130961,0.001,1975.3082576900001,10839.939453125,17.2,3119,49024,335,1047792,0.6108407974243164,,
0.12871402502059937,-896.49462890625,130970,0.001,1967.43481313,7452.302734375,17.61,3119,49028,335,1047864,0.6109317541122437,,
0.2644955813884735,-946.029052734375,130976,0.001,1969.91977976,4379.97607421875,17.55,3120,49032,335,1047912,0.6111966371536255,,
0.1262260377407074,-882.1944580078125,130985,0.001,1973.6534037699996,8841.029296875,17.44,3120,49036,335,1047984,0.6114998459815979,,
0.12836849689483643,-847.43310546875,130991,0.001,1997.3359067800002,5887.279296875,17.11,3120,49040,335,1048032,0.6117298007011414,,
0.0012908726930618286,-825.3431396484375,131003,0.001,1997.00009411,10311.3271484375,17.19,3120,49044,335,1048128,0.6120893359184265,,
-0.0997546911239624,-834.918701171875,131016,0.001,1975.8163026599996,6661.8466796875,17.43,3121,49048,335,1048232,0.6123849749565125,,
0.09387819468975067,-918.2154541015625,131021,0.001,1973.0041772800002,13142.380859375,17.73,3121,49052,335,1048272,0.6124794483184814,,
0.15559357404708862,-899.2847290039062,131031,0.001,1973.4699878800002,8287.1875,17.71,3121,49056,335,1048352,0.6126865744590759,,
0.18945088982582092,-935.785888671875,131038,0.001,2002.0445193600003,8559.158203125,17.7,3121,49060,335,1048408,0.6131072044372559,,
0.2154187262058258,-944.3766479492188,131049,0.001,1971.2751056199997,4753.0224609375,17.81,3122,49064,335,1048496,0.6136492490768433,,
0.15085311233997345,-949.38818359375,131054,0.001,1971.0737650400001,6515.40185546875,17.77,3122,49068,335,1048536,0.6141085028648376,,
0.2290092557668686,-858.752197265625,131063,0.001,1976.97853605,10143.7431640625,17.38,3122,49072,335,1048608,0.6149991154670715,,
0.43061956763267517,-919.750732421875,131068,0.001,1978.58484368,12421.6015625,17.29,3122,49076,335,1048648,0.6157371997833252,,
0.24295908212661743,-846.7227172851562,131078,0.001,1984.53464782,10125.8115234375,17.08,3122,49080,335,1048728,0.6171197891235352,,
0.31379571557044983,-901.3184814453125,131086,0.001,1955.43897209,37562.5390625,17.18,3123,49084,335,1048792,0.6188467741012573,,
0.2977731227874756,-922.2798461914062,131095,0.001,1954.8758958899998,11240.62890625,17.27,3123,49088,335,1048864,0.6209039688110352,,
0.5012133717536926,-910.965576171875,131102,0.001,1955.96684859,15804.111328125,17.22,3123,49092,335,1048920,0.6224709749221802,,
0.46317803859710693,-862.9744262695312,131109,0.001,1954.9981104600001,10452.580078125,17.34,3123,49096,335,1048976,0.6242234110832214,,
0.5249230265617371,-909.4476318359375,131118,0.001,1958.86914017,7042.251953125,17.04,3123,49100,335,1049048,0.6270881295204163,,
0.5944273471832275,-871.402587890625,131125,0.001,1958.7588746600002,6816.84033203125,17.05,3124,49104,335,1049104,0.6303588151931763,,
0.5651631355285645,-850.2763671875,131132,0.001,1964.2509471899998,8312.7119140625,16.7,3124,49108,335,1049160,0.632811427116394,,
0.35510751605033875,-858.1298828125,131141,0.001,1965.73257445,8046.48046875,16.61,3124,49112,335,1049232,0.6366101503372192,,
0.25808024406433105,-938.3743286132812,131148,0.001,1966.03812724,7313.39306640625,16.67,3124,49116,335,1049288,0.6389498710632324,,
0.09832757711410522,-829.5430297851562,131162,0.001,1965.98798655,7282.587890625,16.69,3125,49120,335,1049400,0.6442936658859253,,
0.43573054671287537,-906.2840576171875,131165,0.001,1965.46820673,28941.3828125,16.78,3125,49124,335,1049424,0.6453030705451965,,
0.08336837589740753,-850.2982177734375,131178,0.001,1942.0085016799997,8335.037109375,16.3,3125,49128,335,1049528,0.6492853760719299,,
,,131180,0.001,1934.8091640699995,7875.5634765625,16.54,3125,49132,335,1049544,0.6501988172531128,,
0.2923901081085205,-888.8514404296875,131194,0.001,1933.6050678200002,6995.7353515625,16.62,3125,49136,335,1049656,0.6543545722961426,,
0.3455072343349457,-891.1241455078125,131198,0.001,1933.22984284,23894.671875,16.68,3125,49140,335,1049688,0.655144453048706,,
0.0412493571639061,-950.006591796875,131211,0.001,1932.4329555400002,3932.22314453125,16.72,3126,49144,335,1049792,0.6573684215545654,,
-0.033406812697649,-903.790283203125,131218,0.001,1925.9321665300001,14871.7333984375,16.69,3126,49148,335,1049848,0.6584857106208801,,
-0.0817759707570076,-872.9549560546875,131228,0.001,1928.3646644799999,10641.515625,16.45,3126,49152,335,1049928,0.6592572927474976,,
-0.10102778673171997,-914.2838134765625,131237,0.001,1928.36160428,5961.5791015625,16.46,3126,49154,335,1050000,0.6596002578735352,,
,,,,,,,,,,1050000,,16.0,2038.6931914000002
-0.059911955147981644,-892.2573852539062,131241,0.001,1927.62627778,6821.5341796875,16.54,3127,49156,335,1050032,0.6596477627754211,,
-0.118870809674263,-886.3560791015625,131254,0.001,1927.38749144,14819.208984375,16.56,3127,49160,335,1050136,0.6595771312713623,,
-0.01077253371477127,-909.7589111328125,131259,0.001,1957.2736302000005,12713.6455078125,16.59,3127,49164,335,1050176,0.6594817042350769,,
0.09161202609539032,-847.272216796875,131271,0.001,1877.0172192300001,5228.88916015625,17.23,3127,49168,335,1050272,0.6590986251831055,,
-0.12243420630693436,-856.3679809570312,131275,0.001,1876.88215941,4137.8125,17.23,3128,49172,335,1050304,0.6589734554290771,,
-0.0595560297369957,-833.1282958984375,131286,0.001,1875.60820332,14924.224609375,17.27,3128,49176,335,1050392,0.658747673034668,,
-0.00568092055618763,-889.35791015625,131291,0.001,1874.75585334,5727.6708984375,17.33,3128,49180,335,1050432,0.658596932888031,,
0.1190241128206253,-894.4776000976562,131301,0.001,1903.37860131,8931.5859375,17.29,3128,49184,335,1050512,0.6583126187324524,,
