rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_objective,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/learning_rate,train/n_updates,train/value_loss,time/total_timesteps,time/fps
-137284.9960144,515.97,0.021427985280752182,0.0,0.007549246307462454,1.0,268,0.7983587384223938,0.0013,53,170634072.1,440000,1641
-155573.46621615,565.38,0.04436805471777916,0.0,0.006210257764905691,1.0,273,0.7971696853637695,0.0013,54,234438955.7,450000,1643
-154977.23260285,609.46,0.03531399369239807,0.0,0.006371355149894953,1.0,280,0.7785677909851074,0.0013,56,33924569.19765625,460000,1637
-159215.40958541995,658.73,0.039579641073942184,0.0,0.004855819512158632,1.0,286,0.7772200703620911,0.0013,57,49343740.234375,470000,1639
-152650.15011932002,707.6,0.0482197143137455,0.0,0.00853445753455162,1.0,292,0.7687305808067322,0.0013,58,27431163.24140625,480000,1641
-478365.74450333,740.57,0.03225965425372124,5.960464477539063e-08,0.006817907094955444,1.0,298,0.7684966921806335,0.0013,59,8194413123.2,490000,1643
-477692.98709449003,779.79,0.05167042464017868,0.0,0.007961622439324856,1.0,305,0.7707573771476746,0.0013,61,123209785.6515625,500000,1637
-463101.09687042,827.55,0.07079801708459854,0.0,0.006674023810774088,1.0,311,0.7709200978279114,0.0013,62,43507874.246875,510000,1639
-471544.25727181,908.36,0.03245312720537186,0.0,0.006748884916305542,1.0,316,0.7677381634712219,0.0013,63,9524684.91484375,520000,1641
-468535.67626005004,917.11,0.039620280265808105,0.0,0.008928985334932804,1.0,322,0.7658908367156982,0.0013,64,84727418.3703125,530000,1642
-462283.61282432993,920.87,0.03378525748848915,-1.1920928955078125e-07,0.006969273556023836,1.0,328,0.762596607208252,0.0013,65,27230376.639453124,540000,1644
-457902.18872397987,920.07,0.027099382132291794,1.1920928955078125e-07,0.009516888298094273,1.0,335,0.751902163028717,0.0013,67,6114384.585351562,550000,1639
-70938.67686372,665.52,0.03563471883535385,0.0,0.009566512890160084,1.0,341,0.7523386478424072,0.0013,68,522985412.75,560000,1640
-59553.02200398,659.8,0.033632759004831314,0.0,0.007240170147269964,1.0,347,0.7509642243385315,0.0013,69,84915796.0171875,570000,1641
-56601.958475219995,652.0,0.042029011994600296,0.0,0.008607477881014347,1.0,352,0.7457411289215088,0.0013,70,62310461.80390625,580000,1643
-18995.89191789,564.36,0.03626145049929619,0.0,0.006867125164717436,1.0,360,0.7407479286193848,0.0013,72,244708584.45,590000,1637
8839.73332757,541.95,0.03519219532608986,0.0,0.008946438319981098,1.0,366,0.7382330894470215,0.0013,73,57046145.09296875,600000,1638
14776.104389650001,541.68,0.04050179198384285,0.0,0.008616277948021889,1.0,371,0.7372556328773499,0.0013,74,140907865.071875,610000,1640
-9007.6667972,634.59,0.0315447598695755,0.0,0.006589323282241821,1.0,377,0.7334797978401184,0.0013,75,111519233.753125,620000,1641
-20733.554165089998,667.58,0.05154416710138321,-1.1920928955078125e-07,0.00822359323501587,1.0,383,0.7381680607795715,0.0013,76,57812530.50390625,630000,1643
-15407.57780945,653.21,0.04054412618279457,1.7881393432617188e-07,0.009250291623175144,1.0,390,0.7431084513664246,0.0013,78,73128698.72382812,640000,1638
-4437.1641093900025,609.75,0.023662785068154335,0.0,0.008250582031905651,1.0,396,0.7453193664550781,0.0013,79,121638165.6890625,650000,1639
-12934.406441229996,643.02,0.03575030714273453,0.0,0.008455906063318253,1.0,402,0.745269238948822,0.0013,80,65045750.82734375,660000,1640
-9810.412975789997,625.22,0.03451085090637207,0.0,0.009555798023939133,1.0,408,0.7453122138977051,0.0013,81,221406578.05625,670000,1642
-17951.58327765,648.81,0.02823341079056263,-1.1920928955078125e-07,0.005171316210180521,1.0,415,0.7458422183990479,0.0013,83,100875341.14375,680000,1637
-31831.216181070005,658.39,0.035324495285749435,0.0,0.00883738324046135,1.0,420,0.7457013726234436,0.0013,84,57654027.0078125,690000,1639
-15990.571823060003,660.35,0.03261888772249222,-1.1920928955078125e-07,0.008679180406033993,1.0,426,0.7491461634635925,0.0013,85,18239281.110058594,700000,1640
-49183.96432166,691.21,0.035084132105112076,0.0,0.00936987902969122,1.0,432,0.7500224709510803,0.0013,86,38267891.05507813,710000,1641
-44668.33547303,672.31,0.033668581396341324,0.0,0.008897199295461178,1.0,438,0.7464776635169983,0.0013,87,323347207.0375,720000,1642
-45858.30310438001,694.49,0.029684830456972122,0.0,0.008287888020277023,1.0,445,0.7546717524528503,0.0013,89,80993290.48046875,730000,1638
-57286.72532683,746.21,0.023428112268447876,5.960464477539063e-08,0.009176604449748993,1.0,451,0.7518982291221619,0.0013,90,55006870.428125,740000,1639
