train/kl_divergence_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/n_updates,train/policy_objective,train/value_loss,rollout/ep_len_mean
0.008126390166580677,-110447.72867806001,1160,0.0,1.0,0.001,551,0.801756739616394,640000,78,0.08874115347862244,1304040610.4,77.93
0.008197363466024399,-125632.95614187999,1160,0.0,1.0,0.001,559,0.799373984336853,650000,79,0.09462613612413406,1276989368.1,86.45
0.0077937995083630085,-116631.54248399999,1161,0.0,1.0,0.001,568,0.7955936193466187,660000,80,0.0887814611196518,1285725828.0,86.8
0.008091972209513187,-135115.01609508,1162,1.1920928955078125e-07,1.0,0.001,576,0.7934929132461548,670000,81,0.07378020882606506,1228141703.8,91.64
0.008364713750779629,-151263.77900231,1159,0.0,1.0,0.001,586,0.7949777245521545,680000,83,0.09147798269987106,1136765393.7,108.13
0.008284919895231724,-129166.12948551001,1159,0.0,1.0,0.001,594,0.7985954880714417,690000,84,0.08376648277044296,1291478591.6,91.69
0.00824903603643179,-133297.01274528002,1159,1.1920928955078125e-07,1.0,0.001,603,0.7942271828651428,700000,85,0.07873716205358505,1182826814.8,103.16
0.008182627148926258,-143241.40698936,1160,0.0,1.0,0.001,611,0.7911973595619202,710000,86,0.09119437634944916,1152978759.4,107.71
0.008444393053650856,-136715.4179356,1160,0.0,1.0,0.001,620,0.7889424562454224,720000,87,0.08616907894611359,1178530621.1,114.29
0.008054173551499844,-119508.31058913999,1157,0.0,1.0,0.001,630,0.7884566783905029,730000,89,0.08809982240200043,1184353303.1,96.56
0.008268498815596104,-105749.80477174,1157,0.0,1.0,0.001,639,0.7865890860557556,740000,90,0.09149585664272308,1140264060.0,90.25
0.008163605816662312,-109947.53746131001,1156,-1.1920928955078125e-07,1.0,0.001,648,0.7835140228271484,750000,91,0.09103850275278091,1158780509.8,94.74
0.00790763646364212,-96250.29761474,1156,0.0,1.0,0.001,657,0.7830484509468079,760000,92,0.08383561670780182,1161367069.7,97.89
0.008468758314847946,-110762.30468888,1155,0.0,1.0,0.001,666,0.7812126874923706,770000,93,0.0890369713306427,1098122142.1,94.2
0.008055725134909153,-113347.91468271,1152,0.0,1.0,0.001,676,0.7782851457595825,780000,95,0.08339472115039825,1140478031.6,109.09
0.00809161551296711,-94606.41520909999,1152,5.960464477539063e-08,1.0,0.001,685,0.7762210369110107,790000,96,0.08626280725002289,1124252257.4,95.39
0.008196847513318062,-118193.63174428,1152,0.0,1.0,0.001,694,0.7743095755577087,800000,97,0.09003082662820816,1110320235.1,101.31
0.008207883685827255,-112513.89880570998,1152,-1.1920928955078125e-07,1.0,0.001,702,0.7711105346679688,810000,98,0.08214784413576126,1067829975.6,108.21
0.008419046178460121,-97893.47243170999,1150,5.960464477539063e-08,1.0,0.001,712,0.7702319622039795,820000,100,0.08338741958141327,927242616.8,114.19
0.008511099964380264,-118857.22702829001,1150,0.0,1.0,0.001,721,0.7698913812637329,830000,101,0.09383747726678848,1141715999.2,103.65
0.008335934951901436,-100050.19995125002,1150,5.960464477539063e-08,1.0,0.001,729,0.7685611844062805,840000,102,0.09015010297298431,999931420.9,109.1
0.008131378330290318,-64800.203786030004,1150,0.0,1.0,0.001,738,0.7708842158317566,850000,103,0.08727371692657471,1085359268.3,105.77
0.008531088009476662,-76203.78631502,1151,-1.1920928955078125e-07,1.0,0.001,747,0.7719109058380127,860000,104,0.09251328557729721,964356677.95,107.94
0.008335532620549202,-79218.41573468999,1149,0.0,1.0,0.001,756,0.7676271796226501,870000,106,0.0851316899061203,916899573.2,118.24
0.008348150178790092,-60950.95644438999,1149,0.0,1.0,0.001,765,0.7665077447891235,880000,107,0.08979482203722,941916986.3,114.2
0.007829233072698116,-56433.77817577001,1149,0.0,1.0,0.001,774,0.7637118101119995,890000,108,0.0873342901468277,940298859.05,108.44
0.008577105589210987,-78537.32905179,1149,0.0,1.0,0.001,782,0.7619407176971436,900000,109,0.09025562554597855,975889081.6,106.93
0.008212843909859657,-62019.80724981001,1147,0.0,1.0,0.001,792,0.7601712346076965,910000,111,0.08330535888671875,1002771272.3,107.09
0.007513517513871193,-66370.20838494001,1148,0.0,1.0,0.001,801,0.7608777284622192,920000,112,0.07630468904972076,951241625.3,114.98
0.00862610898911953,-49724.2295322,1148,0.0,1.0,0.001,810,0.760924220085144,930000,113,0.07644081115722656,1033111498.75,115.13
0.008488564752042294,-60021.994510779994,1148,0.0,1.0,0.001,818,0.760828971862793,940000,114,0.0858229398727417,952906321.2,118.16
0.008366961032152176,-84345.70568770001,1148,0.0,1.0,0.001,827,0.7604220509529114,950000,115,0.08820916712284088,1023609028.8,119.5
0.008476709946990013,-40333.69336518001,1146,0.0,1.0,0.001,837,0.7615004181861877,960000,117,0.09843770414590836,881592877.0,109.07
0.008293373510241508,-39695.93423645,1146,0.0,1.0,0.001,845,0.7591219544410706,970000,118,0.08823678642511368,941839214.2,110.09
0.008863459341228008,-37506.345643450004,1146,0.0,1.0,0.001,854,0.7585436701774597,980000,119,0.0771908238530159,894544856.4,121.34
0.008525531738996506,-18551.12214708,1146,5.960464477539063e-08,1.0,0.001,863,0.7582231163978577,990000,120,0.09033478796482086,787910599.85,114.91
0.008537848480045795,-9996.877939909999,1144,0.0,1.0,0.001,873,0.7559124231338501,1000000,122,0.07923433184623718,901275534.4,116.68
