time/episodes,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef
126245,1491076.75,2.3636322021484375,-86116.29263283,126,174974,700000,5537,3.93,0.0003,47929.94921875,136.77671813964844
128786,1447499.0,-1.5971534252166748,-86144.18688921999,126,177474,710000,5619,3.95,0.0003,80380.765625,134.3843994140625
131339,1148686.0,3.3139281272888184,-86519.41169049,126,179974,720000,5702,3.92,0.0003,60128.6953125,138.00625610351562
133888,1460676.75,-0.024267137050628662,-86848.20404730999,126,182474,730000,5783,3.87,0.0003,49535.80078125,132.1086883544922
136440,1271802.125,0.6245869398117065,-86248.24884525998,126,184974,740000,5865,3.99,0.0003,52272.40625,131.81993103027344
138965,1478786.125,-3.371917724609375,-86314.58687392,126,187474,750000,5951,3.97,0.0003,51885.41796875,132.7549591064453
141230,1382750.0,-1.0121265649795532,-86329.29413001,125,189974,760000,6036,3.97,0.0003,57638.1015625,125.4361801147461
143674,1336121.25,0.5996784567832947,-86194.48789191998,125,192474,770000,6118,3.97,0.0003,50109.37890625,125.06458282470703
145586,1219332.75,-1.6425222158432007,-88264.06033807999,125,194974,780000,6201,3.3,0.0003,50537.38671875,131.176025390625
147370,1305882.0,-0.4671730399131775,-88392.69396050001,125,197474,790000,6284,3.31,0.0003,65791.171875,135.3773193359375
150030,1250515.625,1.9171702861785889,-88008.20164434999,125,199974,800000,6367,3.38,0.0003,42670.90625,127.5105209350586
152153,1393519.375,1.5347429513931274,-86388.75987451,125,202474,810000,6450,3.99,0.0003,37815.5,121.52561950683594
154473,1213981.875,1.234732747077942,-86051.07701027,125,204974,820000,6534,4.0,0.0003,36982.28125,118.28308868408203
156909,1260564.125,1.3956364393234253,-85386.35160232,125,207474,830000,6618,3.99,0.0003,40487.91796875,115.25428771972656
159415,1180794.625,2.211207866668701,-85279.80252569,125,209974,840000,6702,4.0,0.0003,40647.109375,113.95135498046875
161990,1017099.75,0.6032986044883728,-85675.14640335999,125,212474,850000,6786,3.74,0.0003,35631.82421875,113.93462371826172
164567,1237571.875,1.6283972263336182,-85516.75150918,125,214974,860000,6870,3.96,0.0003,44534.046875,118.75385284423828
167088,1054276.875,-1.017991304397583,-85489.9728429,125,217474,870000,6954,3.99,0.0003,30978.09375,119.55719757080078
169593,1173053.875,-2.1838207244873047,-85594.53411392002,125,219974,880000,7038,3.98,0.0003,44394.671875,120.59720611572266
172067,1114752.0,-0.13599106669425964,-85506.75931835,124,222474,890000,7122,4.0,0.0003,35658.5546875,119.42790985107422
174572,1198125.75,-3.6706154346466064,-85797.61442408999,124,224974,900000,7207,3.98,0.0003,37667.75390625,118.60128784179688
177077,1079644.375,-1.3498711585998535,-85412.22775682001,124,227474,910000,7290,4.01,0.0003,29696.80078125,118.21791076660156
179405,1013983.25,-0.6040115356445312,-85534.61324838002,124,229974,920000,7374,3.98,0.0003,30411.4609375,111.56732177734375
181828,878787.875,4.040594100952148,-85613.70989345999,124,232474,930000,7457,4.01,0.0003,24368.521484375,103.21996307373047
183954,1172356.25,-3.704267740249634,-85477.58295074999,124,234974,940000,7542,4.35,0.0003,32485.095703125,105.00664520263672
185882,1147612.125,1.4915708303451538,-85964.95773265,124,237474,950000,7624,4.25,0.0003,21003.68359375,102.77117919921875
187756,1000156.1875,1.9747514724731445,-382977.32938378997,124,239974,960000,7707,14.29,0.0003,31422.05859375,94.4885025024414
189858,1035077.9375,-1.5783439874649048,-85463.88695355,124,242474,970000,7790,4.3,0.0003,31588.21875,95.52428436279297
191591,1071868.625,-0.9297041893005371,-86033.94321122,124,244974,980000,7872,4.15,0.0003,22795.5859375,95.73541259765625
193565,1104119.625,-1.897426962852478,-373144.9629200199,124,247474,990000,7951,14.14,0.0003,29128.494140625,90.94612121582031
195097,974516.0625,1.7757303714752197,-86265.84691583,124,249974,1000000,8030,4.06,0.0003,21501.025390625,89.48064422607422
