time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss
4585,1006.883056640625,0.0003,770000,-454751.70701794996,324.38,136,0.8533824682235718,5633,18.488821029663086,192474,21645.62109375
4596,1825.89306640625,0.0003,780000,-464943.31165354,419.81,136,-1.0151938199996948,5710,17.20675277709961,194974,18035.63671875
4605,1392.5517578125,0.0003,790000,-466490.33219924994,474.45,136,1.8225204944610596,5788,16.030363082885742,197474,18486.89453125
4616,1617.10302734375,0.0003,800000,-446019.74617354997,557.15,136,-0.8108078241348267,5865,15.712154388427734,199974,18025.90625
4625,1295.0252685546875,0.0003,810000,-445716.45971884,642.98,136,3.0568392276763916,5942,14.579914093017578,202474,15775.58203125
4637,1535.5035400390625,0.0003,820000,-443907.75433013,735.53,136,0.8918229341506958,6019,13.865425109863281,204974,18443.509765625
4648,1759.3934326171875,0.0003,830000,-201891.34287503996,791.26,136,1.3418601751327515,6096,13.440327644348145,207474,17990.287109375
4659,1474.286376953125,0.0003,840000,-199639.19768098995,886.06,136,-1.0007743835449219,6174,12.809536933898926,209974,21152.306640625
4670,1236.7862548828125,0.0003,850000,-106300.56882890999,953.89,135,-0.3521096408367157,6252,11.436723709106445,212474,21692.353515625
4681,1230.2154541015625,0.0003,860000,-99545.57099529,943.2,135,0.9195356369018555,6329,11.471135139465332,214974,21160.58203125
4694,1655.5299072265625,0.0003,870000,-85472.79765692001,914.59,135,-1.9091925621032715,6406,10.866039276123047,217474,22797.8046875
4705,1387.182373046875,0.0003,880000,-96135.04168583,906.56,135,0.19847089052200317,6484,11.131414413452148,219974,20313.66796875
4718,1390.456787109375,0.0003,890000,-120283.02564617,882.57,135,1.8073928356170654,6561,10.397811889648438,222474,22216.0859375
4735,1236.5401611328125,0.0003,900000,-132485.32697146002,824.19,135,1.263664960861206,6638,11.763814926147461,224974,22774.2421875
4744,1158.514892578125,0.0003,910000,-134858.12417164998,839.77,135,-1.3119703531265259,6715,11.856707572937012,227474,21951.955078125
4755,1288.049560546875,0.0003,920000,-137401.13980437,847.69,135,2.435530185699463,6791,11.800760269165039,229974,20039.68359375
4766,1311.48095703125,0.0003,930000,-134472.52304431002,836.99,135,-2.3317809104919434,6868,12.01456069946289,232474,20585.60546875
4780,1240.8905029296875,0.0003,940000,-129022.03569015,816.02,135,0.552666425704956,6945,12.765326499938965,234974,19004.78125
4791,1260.0284423828125,0.0003,950000,-129892.06481011,828.11,135,0.658066987991333,7023,12.20854377746582,237474,16618.69140625
4838,1315.982666015625,0.0003,960000,-79150.03297862,582.65,135,-1.6515394449234009,7100,11.685667037963867,239974,18215.009765625
4949,1255.8907470703125,0.0003,970000,-85232.74136614002,75.37,135,-1.1837327480316162,7177,12.113102912902832,242474,15616.591796875
5011,1077.518798828125,0.0003,980000,-90549.68078103002,123.21,135,2.8460140228271484,7252,12.698348999023438,244974,14352.62890625
5057,1579.69091796875,0.0003,990000,-94313.76341743,173.17,135,1.9123398065567017,7328,12.0668306350708,247474,13289.80859375
5120,1189.74609375,0.0003,1000000,-95671.87656234,190.89,135,1.2247520685195923,7404,12.185869216918945,249974,10446.583984375
