time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,time/total_timesteps,time/fps,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss
403,0.0,78.45,0.0017,-12.69786432981491,440000,1089,0.2,0.02540283203125,-194223.92610578,2.0258970260620117,0.0047752485,-0.002139188068213116,1470750624.6,530,465202304.0
412,0.0,69.95,0.0017,-12.798113003373146,450000,1091,0.2,0.01868896484375,-183793.45518025,2.060106039047241,0.004574309,-0.0012770820556397666,1451897972.0,540,860341440.0
424,0.0,80.08,0.0017,-12.984420302510262,460000,1082,0.2,0.03121337890625,-184474.96136765997,2.126314401626587,0.005480985,-0.002341540772613371,1326667718.7,560,572108608.0
433,0.0,72.03,0.0017,-13.090646366775037,470000,1084,0.2,0.0339599609375,-191672.31215884,2.1661341190338135,0.0060817655,-0.0026700687727498006,1458859597.35,570,810122752.0
441,0.0,65.56,0.0017,-13.180837675184012,480000,1086,0.2,0.01246337890625,-174496.22780032002,2.19600772857666,0.0030028797,-0.00101767418673262,1587817329.8,580,676863296.0
449,-1.1920928955078125e-07,71.8,0.0017,-13.274572710692883,490000,1088,0.2,0.010791015625,-172046.05744461998,2.235078811645508,0.003024713,-0.000692938450629299,1481688308.0,590,863878656.0
462,0.0,69.65,0.0017,-13.463829907029867,500000,1080,0.2,0.02535400390625,-155140.79379563,2.3067424297332764,0.005173276,-0.0019236757318140008,1447120827.85,610,608207104.0
471,0.0,81.55,0.0017,-13.575650817900897,510000,1082,0.2,0.026220703125,-195113.32229191,2.353604555130005,0.005330799,-0.0021385365771493525,1427152968.75,620,655324352.0
479,0.0,70.46,0.0017,-13.68804458156228,520000,1084,0.2,0.0232421875,-170967.83180336998,2.398641347885132,0.0045776716,-0.0019313621831315686,1510945998.9,630,593267456.0
487,0.0,76.16,0.0017,-13.78634320050478,530000,1086,0.2,0.01651611328125,-177217.95229121,2.435368299484253,0.0033659507,-0.001255492967175087,1438827378.6,640,768646336.0
496,0.0,79.01,0.0017,-13.870344614237547,540000,1088,0.2,0.03538818359375,-162819.65642441998,2.468726396560669,0.005137109,-0.0031328877706982895,1422893620.9,650,905897344.0
508,0.0,80.54,0.0017,-14.11023388877511,550000,1080,0.2,0.023779296875,-192559.45793524003,2.5678598880767822,0.0030959249,-0.0013914161752836662,1361946774.65,670,552684224.0
517,0.0,86.4,0.0017,-14.213249076157808,560000,1082,0.2,0.0475830078125,-195971.51605936003,2.620912790298462,0.0060276636,-0.0037211743980151367,1363072123.9,680,579816192.0
525,0.0,74.27,0.0017,-14.334325005114078,570000,1084,0.2,0.03115234375,-179260.58238886998,2.6761474609375,0.0053698737,-0.0025516716636047932,1364025065.85,690,604638336.0
534,-1.1920928955078125e-07,81.89,0.0017,-14.438108789175748,580000,1085,0.2,0.0168212890625,-187931.5889734,2.7186224460601807,0.0035710144,-0.0015974204645317514,1500395311.7,700,581292928.0
547,0.0,85.31,0.0017,-14.651108621805907,590000,1078,0.2,0.02120361328125,-204135.94223950998,2.8177125453948975,0.0044069905,-0.0016698176136742404,1341934158.8,720,574790208.0
555,0.0,83.19,0.0017,-14.756405183672905,600000,1080,0.2,0.0343505859375,-185278.37643839003,2.8727080821990967,0.005326259,-0.002440898311760975,1276152193.5,730,750203520.0
563,0.0,86.08,0.0017,-14.8606546074152,610000,1081,0.2,0.03377685546875,-202662.27945693,2.921807289123535,0.004868882,-0.0029805136588038294,1297762398.5,740,605262592.0
572,0.0,80.27,0.0017,-14.995802868902683,620000,1083,0.2,0.03253173828125,-187501.15133239006,2.9961001873016357,0.0055693155,-0.0009224435980286216,1290533734.65,750,487763424.0
580,5.960464477539063e-08,70.17,0.0017,-15.113048728555441,630000,1085,0.2,0.02362060546875,-185926.37323804,3.0525500774383545,0.0045066057,-0.0017791564994695363,1381001771.15,760,475195168.0
593,0.0,86.34,0.0017,-15.320393404364586,640000,1078,0.2,0.0260986328125,-202376.08249899003,3.1642303466796875,0.004619279,-0.0017399015905539272,1303411600.05,780,537883072.0
601,5.960464477539063e-08,75.48,0.0017,-15.447956688702106,650000,1080,0.2,0.0233154296875,-182492.33877549,3.237259864807129,0.0048335483,-0.002060790173163696,1353339427.55,790,752923520.0
609,0.0,74.7,0.0017,-15.574933003634214,660000,1082,0.2,0.02132568359375,-179841.82619915996,3.3084323406219482,0.0045150025,-0.000583556822493847,1375504877.9,800,439391840.0
618,0.0,78.58,0.0017,-15.700831539183856,670000,1083,0.2,0.03038330078125,-185725.02703928997,3.3739821910858154,0.004877523,-0.0017211943264555884,1379640847.0,810,814745280.0
631,0.0,92.78,0.0017,-15.932014574110507,680000,1077,0.2,0.01400146484375,-232723.98534886003,3.5063486099243164,0.0034677368,-0.001135331062505429,1206492771.7,830,604118144.0
639,0.0,81.23,0.0017,-16.045601243525745,690000,1079,0.2,0.026318359375,-209806.96074678004,3.578779935836792,0.0050306865,-0.002605916944594355,1434072525.1,840,744045184.0
648,0.0,93.58,0.0017,-16.156577998399733,700000,1079,0.2,0.01829833984375,-239493.47919889004,3.64756178855896,0.003965684,-0.001080115046534047,1234587354.85,850,832523904.0
656,0.0,86.37,0.0017,-16.26457539498806,710000,1080,0.2,0.025146484375,-212143.55683358002,3.7141616344451904,0.0043554814,-0.0021248458624540945,1346909682.15,860,666709056.0
665,0.0,82.24,0.0017,-16.39193076789379,720000,1081,0.2,0.02357177734375,-191964.02201569,3.808976411819458,0.0048963036,-0.0018286387141415617,1288456299.1,870,576818624.0
679,0.0,81.43,0.0017,-16.644523791968822,730000,1074,0.2,0.0237060546875,-209136.98235782,3.9686119556427,0.004974803,-0.0018529596167354613,1316933835.15,890,774994688.0
688,0.0,86.75,0.0017,-16.76576148569584,740000,1075,0.2,0.0218505859375,-208411.77069561998,4.047236919403076,0.0042284923,-0.0013053258871877915,1263390394.25,900,653073472.0
696,0.0,83.99,0.0017,-16.902147780358792,750000,1076,0.2,0.03287353515625,-200674.94631448996,4.148008823394775,0.005374767,-0.002090882803167915,1174096956.925,910,527761152.0
705,0.0,78.48,0.0017,-17.01769440025091,760000,1076,0.2,0.0138916015625,-211098.75734544004,4.216221809387207,0.0030197115,-0.000599223663994053,1282913006.0,920,608348096.0
714,-1.1920928955078125e-07,83.16,0.0017,-17.14252164810896,770000,1077,0.2,0.02962646484375,-188129.66672393,4.322447299957275,0.004865593,-0.0018916691254162287,1303428705.05,930,629910336.0
727,0.0,84.73,0.0017,-17.420511785149575,780000,1071,0.2,0.0270263671875,-204635.64812738,4.52468204498291,0.005487718,-0.001737959429010516,1203734269.8,950,555411840.0
736,0.0,72.0,0.0017,-17.546385571360588,790000,1073,0.2,0.07188720703125,-202145.89250065002,4.609373092651367,0.005841493,0.002854065702922526,1399045795.3,960,541345728.0
744,0.0,77.3,0.0017,-17.64016684740782,800000,1074,0.2,0.01689453125,-199648.74248503998,4.682310581207275,0.0038489236,-0.0021203829235673767,1438125359.25,970,617973056.0
753,0.0,85.27,0.0017,-17.732810890674592,810000,1075,0.2,0.025927734375,-196446.74159237999,4.754170894622803,0.004325793,-0.0021223716552412953,1307377542.55,980,924876928.0
765,0.0,88.31,0.0017,-17.98606013506651,820000,1070,0.2,0.02371826171875,-239956.63722686,4.971554279327393,0.004958221,-0.0019291747914394364,1320309545.2,1000,499647968.0
774,-1.1920928955078125e-07,95.0,0.0017,-18.105377911031248,830000,1072,0.2,0.01328125,-238118.18081511,5.069715976715088,0.0036170883,-0.0004512011688348139,1351769298.65,1010,546394816.0
782,0.0,87.62,0.0017,-18.222383466362952,840000,1073,0.2,0.02071533203125,-204046.97535505,5.172780513763428,0.0042928923,-0.0020388344939419765,1248171097.8,1020,695663168.0
790,0.0,73.93,0.0017,-18.358956469595434,850000,1074,0.2,0.03070068359375,-205990.38547104,5.301019668579102,0.0054241368,-0.001432370746260858,1212824423.4,1030,653275008.0
799,0.0,86.26,0.0017,-18.481831412017346,860000,1076,0.2,0.01231689453125,-228110.70137072,5.40460729598999,0.0031666732,-0.0003168247782923572,1258353343.9,1040,770563328.0
811,0.0,75.78,0.0017,-18.65657172501087,870000,1071,0.2,0.01806640625,-211397.49692068,5.5600457191467285,0.0037944755,-0.0008948910130129661,1243851222.9,1060,592285120.0
820,0.0,75.58,0.0017,-18.758008727431296,880000,1073,0.2,0.02015380859375,-216357.55676526,5.66212272644043,0.003636934,-0.0014920032162990537,1345493852.35,1070,675241920.0
828,0.0,81.22,0.0017,-18.878643859922885,890000,1074,0.2,0.11195068359375,-207691.14280017998,5.7777180671691895,0.0041657966,0.008069975135185814,1320618714.35,1080,822360064.0
836,0.0,79.33,0.0017,-19.004755018651487,900000,1075,0.2,0.0191650390625,-221827.98365460002,5.910419464111328,0.0044416618,-0.0017294262879659072,1284862239.5,1090,960796800.0
849,5.960464477539063e-08,81.86,0.0017,-19.252823308110237,910000,1071,0.2,0.02933349609375,-207671.68025745,6.150905132293701,0.0052964417,-0.0017050247983206646,1388965907.8,1110,647215936.0
857,0.0,78.14,0.0017,-19.360635234415533,920000,1072,0.2,0.02774658203125,-228796.52789308998,6.270482540130615,0.0050073657,-0.0020941027962180668,1391564282.6,1120,762819584.0
865,0.0,81.8,0.0017,-19.47980318516493,930000,1073,0.2,0.014599609375,-227252.23556796997,6.406285762786865,0.0036543477,-0.0005675443260770407,1282845548.95,1130,420658592.0
874,-1.1920928955078125e-07,77.42,0.0017,-19.595189101994038,940000,1075,0.2,0.00867919921875,-231650.05939890002,6.520802974700928,0.0030087235,-0.00012432283292582725,1256674138.85,1140,695767296.0
882,0.0,73.61,0.0017,-19.712169148027897,950000,1076,0.2,0.0224609375,-220789.99969259,6.659939289093018,0.0046024555,-0.0015584700919134774,1300670491.3,1150,384665376.0
895,0.0,75.97,0.0017,-19.939345140755176,960000,1071,0.2,0.019384765625,-220721.68607188002,6.923254489898682,0.004299351,-0.0013637232908877196,1264218770.6,1170,576858432.0
903,-1.1920928955078125e-07,78.84,0.0017,-20.075693763792515,970000,1073,0.2,0.0163818359375,-219166.92709328997,7.088621139526367,0.0041237,-0.000695743544929428,1334841506.1,1180,602052672.0
912,0.0,70.14,0.0017,-20.200033193826677,980000,1074,0.2,0.00904541015625,-210805.38702552003,7.225983142852783,0.0028061173,-0.00023998181613933413,1332297094.05,1190,828442944.0
920,0.0,69.4,0.0017,-20.312557011842728,990000,1075,0.2,0.00679931640625,-220421.80457904,7.366558074951172,0.0026597823,-0.00017780014568415936,1212674441.95,1200,711397504.0
933,0.0,74.82,0.0017,-20.573873676359653,1000000,1071,0.2,0.0174072265625,-230916.77715638,7.7089457511901855,0.0046550203,-0.0013576420468780271,1380578680.3,1220,702568576.0
