train/std,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/explained_variance
1.1875122785568237,-104516.31971368,29499,-14.246477127075195,0.0007,1942696192.0,-304480.5,1708,25.97,345,590000,5.960464477539063e-08
1.1940237283706665,-86491.80066010001,29999,-14.288530349731445,0.0007,1941067776.0,-210032.0,1709,34.14,350,600000,0.0
1.1986585855484009,-83717.15997905,30499,-14.324247360229492,0.0007,22360518.0,-19877.80078125,1710,23.92,356,610000,0.0
1.2064383029937744,-70266.05791756998,30999,-14.388029098510742,0.0007,16950908.0,-3336.68701171875,1710,27.62,362,620000,0.0
1.209065556526184,-48863.57196739001,31499,-14.40068244934082,0.0007,504288576.0,-177660.78125,1711,72.32,368,630000,5.960464477539063e-08
1.220665454864502,-126045.63931866003,31999,-14.49189281463623,0.0007,155752320.0,-114674.2265625,1712,98.33,373,640000,-1.1920928955078125e-07
1.2367929220199585,-365245.27419965,32499,-14.609518051147461,0.0007,10302598.0,-17034.099609375,1713,98.77,379,650000,0.0
1.247757911682129,-104796.13509740001,32999,-14.688008308410645,0.0007,554213.875,3721.284423828125,1714,59.11,385,660000,0.0
1.2507567405700684,-135944.29784871,33499,-14.715055465698242,0.0007,80180.625,1057.2822265625,1714,91.98,390,670000,0.0
1.2455211877822876,-34011.04727437,33999,-14.661779403686523,0.0007,52005328.0,-39704.16015625,1714,74.58,396,680000,0.0
1.2372984886169434,-88530.11580362002,34499,-14.602575302124023,0.0007,2374904320.0,-338086.21875,1714,72.46,402,690000,0.0
1.2246832847595215,-71332.4244006,34999,-14.516931533813477,0.0007,50504144.0,-46081.78125,1714,69.74,408,700000,0.0
1.2400901317596436,-83663.89971732999,35499,-14.630783081054688,0.0007,1395145344.0,-173409.390625,1713,14.95,414,710000,0.0
1.2368634939193726,-95940.53887763001,35999,-14.599313735961914,0.0007,1469910272.0,-167747.421875,1713,24.93,420,720000,0.0
1.2382129430770874,-101228.05855833,36499,-14.604780197143555,0.0007,34065200.0,-43527.0703125,1713,28.67,426,730000,0.0
1.234489917755127,-129903.50382564997,36999,-14.57426643371582,0.0007,97434592.0,-58338.48828125,1713,87.86,431,740000,0.0
1.225428819656372,-83551.28358981,37499,-14.515588760375977,0.0007,1446212736.0,-238454.53125,1713,25.62,437,750000,0.0
1.2271486520767212,-111186.34717554001,37999,-14.532684326171875,0.0007,34299.0390625,-1906.4580078125,1713,31.39,443,760000,0.0
1.2272709608078003,-86446.53752435,38499,-14.535615921020508,0.0007,985485504.0,-108724.015625,1713,34.97,449,770000,0.0
1.228289008140564,-81334.91581964001,38999,-14.54729175567627,0.0007,246573.703125,2952.472900390625,1713,75.1,455,780000,0.0
1.2467036247253418,-63260.30400450001,39499,-14.68079948425293,0.0007,70024400.0,-55070.3359375,1713,110.63,460,790000,0.0
1.237438440322876,-6311.802653000001,39999,-14.621362686157227,0.0007,319327.875,172.18801879882812,1714,100.52,466,800000,-1.1920928955078125e-07
1.2324436902999878,-110110.60421251002,40499,-14.577839851379395,0.0007,1097533568.0,-167512.203125,1714,60.49,472,810000,0.0
1.233957052230835,-81074.80960941,40999,-14.594221115112305,0.0007,20239334.0,55023.4921875,1714,58.18,478,820000,0.0
1.2383701801300049,-35076.802542649995,41499,-14.632181167602539,0.0007,10021.296875,-1249.2545166015625,1715,92.63,483,830000,0.0
1.2270455360412598,-42374.49945772,41999,-14.552129745483398,0.0007,21361.125,-1789.3343505859375,1713,71.2,490,840000,0.0
1.2353487014770508,-76534.38591634,42499,-14.603449821472168,0.0007,6985.16259765625,-776.7677612304688,1713,75.58,496,850000,1.1920928955078125e-07
1.2246360778808594,6437.769181009997,42999,-14.525335311889648,0.0007,6312281.0,19268.39453125,1711,101.51,502,860000,0.0
1.2224851846694946,-61011.595320370005,43499,-14.497529983520508,0.0007,147453840.0,-56065.1953125,1711,71.06,508,870000,-1.1920928955078125e-07
1.2062764167785645,59018.25252604,43999,-14.379613876342773,0.0007,2615357696.0,386077.65625,1711,55.27,514,880000,0.0
1.2074064016342163,-22439.000366339995,44499,-14.380125045776367,0.0007,256113024.0,-133898.875,1711,97.09,519,890000,0.0
1.2179665565490723,-7529.075290759999,44999,-14.45088005065918,0.0007,2866427136.0,-453476.40625,1711,52.16,525,900000,-1.1920928955078125e-07
1.2293099164962769,-25218.40714407,45499,-14.526342391967773,0.0007,1197003.75,5614.494140625,1711,67.96,531,910000,2.384185791015625e-07
1.2382092475891113,-100376.74522148,45999,-14.606039047241211,0.0007,30427142.0,-34122.9609375,1711,43.67,537,920000,5.960464477539063e-08
1.240103840827942,-120653.92533131997,46499,-14.620100021362305,0.0007,20085340.0,-29778.353515625,1711,96.97,543,930000,-1.1920928955078125e-07
1.2427805662155151,-131298.14958955,46999,-14.651530265808105,0.0007,9042.486328125,-1244.2293701171875,1711,131.15,549,940000,0.0
1.2423405647277832,-93120.02541588999,47499,-14.644327163696289,0.0007,12358042.0,-5041.97265625,1711,105.99,555,950000,2.384185791015625e-07
1.2645331621170044,-93537.23123243998,47999,-14.80549430847168,0.0007,3972996.5,11018.935546875,1711,52.88,560,960000,1.1920928955078125e-07
1.2719407081604004,-86455.92810913999,48499,-14.850967407226562,0.0007,160310400.0,-146927.703125,1711,52.71,566,970000,1.1920928955078125e-07
1.2702956199645996,-78832.56249584,48999,-14.84862232208252,0.0007,11436.255859375,-1276.048583984375,1711,37.05,572,980000,-1.1920928955078125e-07
1.2843308448791504,-95525.27630565001,49499,-14.941568374633789,0.0007,12657900.0,1757.3375244140625,1711,128.21,578,990000,0.0
1.2758424282073975,-93331.41274921,49999,-14.88026237487793,0.0007,22880.412109375,-1667.9888916015625,1711,132.18,584,1000000,0.0
