train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,train/loss,time/total_timesteps,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean
-0.00028883391105409827,0.2,0.0,0.0003,-17.02161081880331,38228298867.2,0.9995148777961731,58.76,18647115776.0,260000,292,5.7441335e-05,889,0.0,310,-851112.5442609498
-0.0002946938178865821,0.2,0.0,0.0003,-17.021475940942764,39089989851.2,0.999521017074585,50.68,19471738880.0,270000,302,7.3558804e-05,892,0.0,320,-743434.08620826
-0.0003300672738987487,0.2,0.0,0.0003,-17.021836252510546,36895845360.0,0.9995589256286621,48.9,17882085376.0,280000,317,8.421411e-05,881,0.0,340,-714950.0109831801
-0.00036891559484502067,0.2,0.0,0.0003,-17.021764855086804,37802627424.0,0.9995265603065491,48.69,19220707328.0,290000,327,8.7822336e-05,884,0.0,350,-719466.4370166201
-0.00037318638824217486,0.2,0.0,0.0003,-17.021810793876647,38319495161.6,0.9995694160461426,54.09,19012534272.0,300000,338,8.638033e-05,886,0.0,360,-782821.7213784801
-0.0005373309080823674,0.2,0.0,0.0003,-17.02230870574713,37572150832.0,0.9996063113212585,48.22,19680706560.0,310000,348,0.00014304527,888,0.0,370,-707076.3071257201
-0.00019282318680780008,0.2,0.0,0.0003,-17.022804164886473,35429680833.6,0.9996719360351562,48.12,15368722432.0,320000,363,3.3173666e-05,879,0.0,390,-696467.4872392401
-0.0003358389725690358,0.2,0.0,0.0003,-17.023294430971145,36755141824.0,0.9996693730354309,43.75,17954867200.0,330000,374,7.801797e-05,881,0.0,400,-641607.89380059
-0.0003668678657049895,0.2,0.0,0.0003,-17.02347673326731,38070216492.8,0.9996957778930664,50.45,18637187072.0,340000,384,9.446185e-05,884,0.0,410,-740311.5706037901
-0.0004532082703917695,0.2,0.0,0.0003,-17.023367407917977,37511917152.0,0.9996557235717773,40.5,18513821696.0,350000,394,0.00011289537,886,0.0,420,-599512.68883571
-0.0003808146549090452,0.2,0.0,0.0003,-17.022211962938307,35377458292.8,0.9995036721229553,40.38,17361170432.0,360000,405,0.000102140286,887,0.0,430,-594789.10595655
-0.0006684931215204415,0.2,0.0,0.0003,-17.02101326286793,38004861230.4,0.9994997978210449,56.61,18024093696.0,370000,420,0.00018303003,880,0.0,450,-815081.24875461
-0.0006692641956760781,0.2,0.0,0.0003,-17.021206243336202,36648294728.0,0.9994927048683167,45.99,17279846400.0,380000,430,0.00019724865,882,0.0,460,-670865.6416118401
-0.0005275445661936829,0.2,0.0,0.0003,-17.0213386669755,35805949470.4,0.9995222091674805,51.43,19053416448.0,390000,441,0.00013316437,883,0.0,470,-746835.12203339
-0.00022586318464163925,0.2,0.0,0.0003,-17.02126591950655,38580204531.2,0.9994805455207825,53.18,18908911616.0,400000,451,3.637276e-05,885,-1.1920928955078125e-07,480,-775112.8784957698
-0.00044235426557861504,0.2,0.0,0.0003,-17.019835190474986,37362093168.0,0.999391496181488,55.6,18069520384.0,410000,466,0.00010526041,878,0.0,500,-803780.80568286
-0.0001890453340820386,0.2,0.0,0.0003,-17.019927111268043,36606708728.0,0.9993910789489746,47.71,18231025664.0,420000,476,2.4808585e-05,880,-1.1920928955078125e-07,510,-705198.83488408
-0.00046478337335429385,0.2,0.0,0.0003,-17.019735361635686,37011889595.2,0.9993544220924377,50.15,19753764864.0,430000,487,0.00010928729,882,1.1920928955078125e-07,520,-730442.7490045499
-0.0005701618123566732,0.2,0.0,0.0003,-17.020120784640312,37064302766.4,0.9994565844535828,43.73,17756807168.0,440000,497,0.00015813304,883,0.0,530,-646007.3665290598
-0.000292719963908894,0.2,0.0,0.0003,-17.020438750088214,35887693377.6,0.9994054436683655,44.0,18284527616.0,450000,508,5.7180347e-05,885,0.0,540,-649056.1589407899
-0.0005188537184949382,0.2,0.0,0.0003,-17.02088490575552,35085520787.2,0.9994935989379883,46.31,20360933376.0,460000,523,0.00014185041,879,0.0,560,-669232.56519109
-0.0005001936517146533,0.2,0.0,0.0003,-17.021764796972274,38302374590.4,0.9995932579040527,46.61,20276146176.0,470000,533,0.00013444925,880,1.1920928955078125e-07,570,-680991.4444692901
-0.00037045968219899804,0.2,0.0,0.0003,-17.022503466904162,37291282364.8,0.9996157288551331,53.62,17979357184.0,480000,544,9.089738e-05,882,0.0,580,-774805.28569358
-0.00031114709290704925,0.2,0.0,0.0003,-17.02250770032406,39127762721.6,0.9995892643928528,50.69,17340798976.0,490000,554,6.706233e-05,883,1.1920928955078125e-07,590,-728468.1835417501
-0.0002831715060892748,0.2,0.0,0.0003,-17.021519799530505,38488319896.0,0.9995138645172119,46.7,18922881024.0,500000,569,5.4798475e-05,877,0.0,610,-691089.65136023
-0.00040198821097874314,0.2,0.0,0.0003,-17.02091289460659,36435371422.4,0.9994285106658936,47.58,19848794112.0,510000,579,9.40468e-05,879,-2.384185791015625e-07,620,-696644.1973889099
-0.00034419875491948916,0.2,0.0,0.0003,-17.020398369431497,38194395907.2,0.9994271397590637,39.61,20622835712.0,520000,590,8.1954575e-05,880,-1.1920928955078125e-07,630,-590455.3370559398
-0.0003933721245630295,0.2,0.0,0.0003,-17.02006628513336,34880154699.2,0.9993789196014404,44.1,15735699456.0,530000,600,9.3411225e-05,882,0.0,640,-645107.72474236
-0.0003238858506847464,0.2,0.0,0.0003,-17.02039527744055,36500600998.4,0.999478816986084,47.4,18922823680.0,540000,611,7.2427334e-05,883,0.0,650,-702588.5327501
-0.0002422074408059416,0.2,0.0,0.0003,-17.020157226920126,35340736732.8,0.9993771910667419,40.12,20749873152.0,550000,626,5.213273e-05,878,0.0,670,-591252.7949673901
-0.0004063992507326475,0.2,0.0,0.0003,-17.02033938616514,35125254376.0,0.999474048614502,42.32,17918959616.0,560000,636,0.000100790814,879,1.1920928955078125e-07,680,-627896.2541633901
-0.00040916309917520265,0.2,0.0,0.0003,-17.0205062314868,36722570036.8,0.9994016289710999,46.91,18112774144.0,570000,647,0.000102144586,880,0.0,690,-685347.78117512
-0.00024791317891867946,0.2,0.0,0.0003,-17.01960423141718,36274210446.4,0.9993229508399963,49.93,17034989568.0,580000,657,5.854007e-05,882,0.0,700,-732715.8419876401
-0.0003207147094144602,0.2,0.0,0.0003,-17.02025113403797,35373898910.4,0.9994059205055237,44.44,18211643392.0,590000,672,7.301937e-05,877,1.1920928955078125e-07,720,-649641.9283530001
-0.0005392728075094055,0.2,0.0,0.0003,-17.02014501839876,34430076939.2,0.999413788318634,46.31,16819619840.0,600000,682,0.00016063545,878,0.0,730,-667785.2686458898
-0.00035946901480201634,0.2,0.0,0.0003,-17.020315228402616,36804488044.8,0.999431312084198,54.7,17727721472.0,610000,693,8.6000015e-05,879,1.1920928955078125e-07,740,-787501.70431153
-0.0004220844599331031,0.2,0.0,0.0003,-17.01997333019972,36496496441.6,0.999354898929596,55.72,17891534848.0,620000,703,9.6679534e-05,880,0.0,750,-798295.97976776
-0.0006491046292467217,0.2,0.0,0.0003,-17.01889821588993,37851482526.4,0.9992563724517822,45.14,20434970624.0,630000,714,0.00018187183,881,0.0,760,-651619.46496926
-0.0003203442738595186,0.2,0.0,0.0003,-17.018750758469103,36696262321.6,0.9993219971656799,46.34,19744970752.0,640000,729,6.964124e-05,877,0.0,780,-679370.078784
-0.000323456410842482,0.2,0.0,0.0003,-17.019351550936697,35870448441.6,0.9993631839752197,39.63,18431891456.0,650000,739,7.140097e-05,878,0.0,790,-589891.7052061801
-0.0006926145371835446,0.2,0.0,0.0003,-17.019547240436076,35462200792.0,0.9993534088134766,59.69,16837319680.0,660000,750,0.00018804177,879,0.0,800,-853157.5863981501
-0.00037594980603898874,0.2,0.0,0.0003,-17.019307224452497,38192646473.6,0.9993236660957336,52.03,19854508032.0,670000,760,7.3910734e-05,880,-1.1920928955078125e-07,810,-752678.6320515302
