train/value_loss,train/std,time/time_elapsed,train/policy_objective,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/is_line_search_success,rollout/ep_rew_mean,train/kl_divergence_loss
5333006048.8,0.7664738893508911,503,0.06243089959025383,80,0.0013,16.03,1311,660000,5.960464477539063e-08,1.0,126310.3,0.00862944032996893
5765327298.4,0.7614266872406006,511,0.07242254912853241,81,0.0013,15.57,1310,670000,5.960464477539063e-08,1.0,125425.94232552999,0.00815592147409916
6196826164.0,0.7539548277854919,520,0.064509816467762,83,0.0013,15.25,1306,680000,-1.1920928955078125e-07,1.0,126953.46703007999,0.008511298336088657
6293476908.0,0.7496609091758728,528,0.06436712294816971,84,0.0013,13.99,1306,690000,1.7881393432617188e-07,1.0,126250.29817846998,0.008922504261136055
6608375724.8,0.744924783706665,536,0.060865528881549835,85,0.0013,14.16,1305,700000,-1.1920928955078125e-07,1.0,127431.64849798,0.009365244768559933
6632615779.2,0.7437043786048889,544,0.04804724454879761,86,0.0013,13.44,1304,710000,-1.1920928955078125e-07,1.0,127263.86018036999,0.009097862057387829
6628939257.6,0.7402184009552002,552,0.06442734599113464,87,0.0013,13.16,1303,720000,0.0,1.0,129876.12291014001,0.008772080764174461
7124197474.4,0.7347323298454285,561,0.06082237511873245,89,0.0013,13.17,1300,730000,0.0,1.0,129788.13111761,0.009525842033326626
6979279030.4,0.7325535416603088,569,0.047856807708740234,90,0.0013,12.96,1299,740000,1.1920928955078125e-07,1.0,131408.8,0.008511915802955627
7132512494.4,0.7300148606300354,577,0.0634879320859909,91,0.0013,12.28,1299,750000,0.0,1.0,130538.93870433,0.009206896647810936
7206637559.2,0.727297842502594,585,0.061192236840724945,92,0.0013,12.34,1298,760000,0.0,1.0,130440.23447415,0.009352783672511578
7302585477.6,0.7247306108474731,593,0.050751544535160065,93,0.0013,12.62,1298,770000,0.0,1.0,130128.0811062,0.009230554103851318
7364721603.2,0.7204339504241943,602,0.06255602836608887,95,0.0013,12.24,1294,780000,-1.1920928955078125e-07,1.0,132061.53696046,0.00925233494490385
7399350121.6,0.7193406224250793,610,0.050101086497306824,96,0.0013,12.21,1294,790000,0.0,1.0,131653.65585178998,0.006342774722725153
7401078250.4,0.7168321013450623,618,0.05014102905988693,97,0.0013,11.99,1293,800000,0.0,1.0,132472.6,0.009881531819701195
7229808782.4,0.7156693339347839,626,0.05644834041595459,98,0.0013,11.96,1293,810000,0.0,1.0,132373.85506745998,0.00921241007745266
7623905752.8,0.707845151424408,635,0.06310750544071198,100,0.0013,11.9,1290,820000,0.0,1.0,132282.07315568,0.008347632363438606
7484488830.4,0.7064579725265503,643,0.06227494403719902,101,0.0013,11.61,1289,830000,-1.1920928955078125e-07,1.0,132286.58760122,0.009310654364526272
7685027743.2,0.7048338651657104,651,0.04745861142873764,102,0.0013,11.76,1289,840000,0.0,1.0,132374.01630975,0.009897219948470592
7615648712.0,0.7033727169036865,659,0.04892236739397049,103,0.0013,11.85,1288,850000,-1.1920928955078125e-07,1.0,132376.9,0.008953705430030823
7167032328.8,0.702634871006012,667,0.05885124206542969,104,0.0013,12.0,1288,860000,0.0,1.0,132275.6790353,0.009259195998311043
7205783896.0,0.7003869414329529,676,0.06408189982175827,106,0.0013,12.13,1285,870000,-1.1920928955078125e-07,1.0,131058.4,0.009492814540863037
7302535576.8,0.6992437243461609,684,0.05848640203475952,107,0.0013,11.89,1285,880000,5.960464477539063e-08,1.0,132174.0,0.009014738723635674
7559297468.8,0.6982699036598206,692,0.055000342428684235,108,0.0013,11.63,1285,890000,-1.1920928955078125e-07,1.0,131477.82210809,0.008872443810105324
7377304587.2,0.6967422366142273,700,0.06313037872314453,109,0.0013,11.51,1284,900000,0.0,1.0,132795.7,0.008989300578832626
7552012192.0,0.6940333247184753,709,0.02993718534708023,111,0.0013,11.65,1282,910000,0.0,1.0,132489.26625749,0.006370926275849342
7625952003.2,0.6928717494010925,717,0.052573736757040024,112,0.0013,11.66,1281,920000,0.0,1.0,132796.90283918998,0.008812187239527702
7656183474.4,0.691455602645874,725,0.04399631544947624,113,0.0013,11.45,1281,930000,5.960464477539063e-08,1.0,132812.88471575,0.009168397635221481
7655789952.8,0.6891489028930664,733,0.04896765202283859,114,0.0013,11.62,1281,940000,-1.1920928955078125e-07,1.0,131992.0,0.009229729883372784
7661207260.8,0.6864677667617798,741,0.056319620460271835,115,0.0013,11.67,1281,950000,0.0,1.0,133092.2,0.009381948038935661
7678201383.2,0.6839322447776794,750,0.05893036723136902,117,0.0013,11.54,1278,960000,0.0,1.0,133305.9,0.009044834412634373
7675984874.4,0.6821160912513733,758,0.05181361734867096,118,0.0013,11.37,1278,970000,0.0,1.0,133108.96267642,0.009091148152947426
7737825062.4,0.6806895732879639,766,0.05138270929455757,119,0.0013,11.59,1277,980000,0.0,1.0,133197.80650269,0.009126783348619938
7739372888.0,0.6798920035362244,774,0.055587418377399445,120,0.0013,11.4,1277,990000,0.0,1.0,132802.1,0.009086012840270996
7566276556.0,0.677223265171051,784,0.047803401947021484,122,0.0013,11.59,1275,1000000,0.0,1.0,132899.51095094,0.009669914841651917
