time/total_timesteps,time/fps,train/explained_variance,train/policy_loss,train/value_loss,train/entropy_loss,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/std,rollout/ep_rew_mean
560000,1793,1.7881393432617188e-07,-146876.921875,1002155520.0,-10.93906307220459,27999,312,67.11,0.0007,1.5138188600540161,-148183.44504109
570000,1795,5.960464477539063e-08,582.1652221679688,27413.369140625,-10.996062278747559,28499,317,127.9,0.0007,1.5291281938552856,-217927.69222491005
580000,1797,0.0,-456.8358459472656,1894.4033203125,-11.084189414978027,28999,322,206.25,0.0007,1.552451729774475,-387584.59082469
590000,1793,0.0,-14841.0810546875,12086659.0,-11.117171287536621,29499,328,290.67,0.0007,1.560613989830017,-440237.29786760005
600000,1788,0.0,-23413.439453125,19962532.0,-11.202486038208008,29999,335,328.9,0.0007,1.5830036401748657,-418529.1767230399
610000,1784,0.0,-13185.220703125,13458237.0,-11.332986831665039,30499,341,129.6,0.0007,1.6218973398208618,-155968.21237738998
620000,1780,0.0,-103466.328125,976477568.0,-11.385168075561523,30999,348,88.56,0.0007,1.6358585357666016,-126438.04287818001
630000,1776,0.0,5419.83447265625,623199.0,-11.386700630187988,31499,354,122.1,0.0007,1.6354371309280396,-134020.24581191997
640000,1772,1.7881393432617188e-07,6953.0576171875,1930073.375,-11.421914100646973,31999,361,201.63,0.0007,1.6449419260025024,-743830.5918858402
650000,1768,0.0,-210369.59375,1913032704.0,-11.51118278503418,32499,367,221.31,0.0007,1.671448826789856,-761316.1906750799
660000,1765,0.0,3396.76318359375,807604.125,-11.585899353027344,32999,373,118.01,0.0007,1.693832278251648,-141113.48030808996
670000,1762,-1.1920928955078125e-07,2188.048583984375,433077.1875,-11.59736442565918,33499,380,120.58,0.0007,1.6961573362350464,-150271.94876961
680000,1758,-1.1920928955078125e-07,-425.089111328125,1601.530029296875,-11.593003273010254,33999,386,185.69,0.0007,1.6974520683288574,-221071.25276753004
690000,1755,1.1920928955078125e-07,-207.71188354492188,2162.259765625,-11.51806640625,34499,392,136.73,0.0007,1.6775280237197876,-155862.0693872
700000,1752,-1.1920928955078125e-07,-65513.23046875,55566520.0,-11.551644325256348,34999,399,95.63,0.0007,1.6895755529403687,-172239.33034724998
710000,1749,2.980232238769531e-07,-27915.859375,45416520.0,-11.567954063415527,35499,405,61.45,0.0007,1.6984480619430542,-163585.07114627
720000,1746,0.0,-15676.46875,20973554.0,-11.598520278930664,35999,412,103.3,0.0007,1.7088805437088013,-130567.14114264
730000,1743,1.1920928955078125e-07,5710.77685546875,817301.1875,-11.69503116607666,36499,418,131.81,0.0007,1.740482211112976,-157401.13402604003
740000,1741,0.0,-18282.16015625,13686678.0,-11.801058769226074,36999,425,115.6,0.0007,1.7761549949645996,-202486.94386200004
750000,1738,5.960464477539063e-08,-400.8458557128906,1409.270263671875,-11.848501205444336,37499,431,149.03,0.0007,1.7875596284866333,-204830.19299954
760000,1736,-1.1920928955078125e-07,-67653.296875,134234144.0,-11.856871604919434,37999,437,94.53,0.0007,1.7906304597854614,-162486.69850498
770000,1733,0.0,-699.9539794921875,6259937.0,-11.940401077270508,38499,444,166.38,0.0007,1.8160244226455688,-189168.36771261002
780000,1731,-1.1920928955078125e-07,71.96299743652344,37177.8359375,-11.943587303161621,38999,450,135.57,0.0007,1.8132883310317993,-155192.47491352
790000,1729,0.0,-8215.0390625,21040334.0,-12.009506225585938,39499,456,49.34,0.0007,1.8353468179702759,-114488.89240540001
800000,1727,1.1920928955078125e-07,-57977.3125,85538544.0,-12.126639366149902,39999,463,85.66,0.0007,1.871439814567566,-127551.07451107
810000,1729,0.0,-140246.65625,1085672704.0,-12.246849060058594,40499,468,129.25,0.0007,1.9133095741271973,-287024.56299535005
820000,1732,0.0,15027.2529296875,6115862.5,-12.362078666687012,40999,473,173.69,0.0007,1.9506301879882812,-227967.57426187998
830000,1734,-1.1920928955078125e-07,-52176.78125,85538160.0,-12.36197566986084,41499,478,195.5,0.0007,1.9536484479904175,-186376.21662633997
840000,1737,-1.1920928955078125e-07,1483.0079345703125,222883.15625,-12.351311683654785,41999,483,122.28,0.0007,1.9477108716964722,-99364.15760863
850000,1739,-1.1920928955078125e-07,11245.66015625,1597017.625,-12.2929048538208,42499,488,119.71,0.0007,1.9265261888504028,-113005.15503241998
860000,1741,0.0,-369.86260986328125,1183.4842529296875,-12.279898643493652,42999,493,137.11,0.0007,1.9207466840744019,-120153.6097272
870000,1743,0.0,-13556.1533203125,10175914.0,-12.333037376403809,43499,498,162.74,0.0007,1.9412360191345215,-166620.7045102
880000,1745,-1.1920928955078125e-07,-58808.44921875,49568660.0,-12.26507568359375,43999,504,205.0,0.0007,1.9200019836425781,-196716.90910396003
890000,1748,-1.1920928955078125e-07,21656.87890625,7491280.0,-12.328391075134277,44499,509,200.8,0.0007,1.93705415725708,-166617.28778568
900000,1750,5.960464477539063e-08,1227.21728515625,60596.8515625,-12.22373104095459,44999,514,159.29,0.0007,1.9052585363388062,-144321.56572497002
910000,1752,0.0,1256.381591796875,61019.1875,-12.219329833984375,45499,519,167.67,0.0007,1.905786395072937,-141712.84415606002
920000,1754,0.0,-29288.505859375,24605004.0,-12.265501976013184,45999,524,170.94,0.0007,1.9221514463424683,-192156.84255284
930000,1756,1.1920928955078125e-07,-484.72674560546875,2635.064208984375,-12.290319442749023,46499,529,152.07,0.0007,1.9263006448745728,-192861.89466982003
940000,1758,5.960464477539063e-08,-43481.53125,35201040.0,-12.393224716186523,46999,534,40.48,0.0007,1.9628866910934448,-121742.09343387999
950000,1760,0.0,-444.9456481933594,1832.790771484375,-12.403398513793945,47499,539,97.07,0.0007,1.9626811742782593,-142238.87250839
960000,1762,0.0,-53527.51953125,84464880.0,-12.49125862121582,47999,544,171.51,0.0007,1.9961462020874023,-179724.42125011
970000,1764,0.0,-21012.9375,25833698.0,-12.536711692810059,48499,549,260.31,0.0007,2.0126113891601562,-213279.81127398997
980000,1766,-2.384185791015625e-07,-34754.8671875,45201448.0,-12.542015075683594,48999,554,352.77,0.0007,2.0158605575561523,-220725.90732365998
990000,1765,0.0,5862.4052734375,642231.4375,-12.645657539367676,49499,560,435.5,0.0007,2.055967330932617,-301528.72868202
1000000,1763,0.0,-429413.90625,1972854528.0,-12.702543258666992,49999,566,312.91,0.0007,2.077470064163208,-336626.22620476
