rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
3.0,0.0055,1345,159.87911987304688,720000,54780424.0,179974,201235,535,119804.1796875,-116984.09424927998,4.885317802429199
3.0,0.0055,1364,81.8403091430664,730000,20290538.0,182474,204318,534,111536.09375,-116920.96903561,5.872070789337158
3.0,0.0055,1383,99.7009506225586,740000,14053643.0,184974,207486,534,110042.765625,-116911.75937217001,10.266311645507812
3.0,0.0055,1403,49.422447204589844,750000,3226060.0,187474,210727,534,113552.828125,-116706.42695357,-0.7767402529716492
3.36,0.0055,1422,95.1305923461914,760000,26734812.0,189974,213723,534,113611.5390625,-120372.16894572,-24.130413055419922
3.0,0.0055,1441,312.2061767578125,770000,556773312.0,192474,216719,534,128969.71875,-117046.59044352002,-22.4531192779541
3.19,0.0055,1461,35.883056640625,780000,50670384.0,194974,219454,533,116299.828125,-119835.00526146998,0.2002425193786621
6.19,0.0055,1480,116.44722747802734,790000,180094240.0,197474,222584,533,143419.59375,-204648.11484137,-228.94921875
8.85,0.0055,1499,182.9435272216797,800000,382234304.0,199974,224735,533,165410.0625,-321855.38171244,-124.8822021484375
3.0,0.0055,1518,21.58341407775879,810000,22218546.0,202474,227772,533,117475.1640625,-116758.76133243002,4.48976469039917
3.0,0.0055,1538,21.203454971313477,820000,11099566.0,204974,230914,533,117479.0625,-116718.21609918,-1.6672972440719604
9.8,0.0055,1557,202.11029052734375,830000,71828760.0,207474,233622,532,152913.265625,-322351.62673775,-41.75938034057617
3.03,0.0055,1576,374.09814453125,840000,27525578.0,209974,236559,532,127256.453125,-117634.15080312999,18.969295501708984
3.15,0.0055,1596,386.1056213378906,850000,66343200.0,212474,239761,532,123463.9375,-118932.20279201001,14.476707458496094
3.0,0.0055,1615,35.888851165771484,860000,10240266.0,214974,242852,532,111649.9375,-116752.14898563002,7.243505477905273
3.0,0.0055,1634,28.97176742553711,870000,2398893.75,217474,246068,532,107356.203125,-116633.62067631997,-0.9644558429718018
3.03,0.0055,1653,24.490251541137695,880000,1537227.125,219974,249381,532,104286.765625,-117065.67089179001,3.5550451278686523
3.0,0.0055,1673,46.619686126708984,890000,18997090.0,222474,252169,531,114233.96875,-116907.00374306999,13.959612846374512
3.28,0.0055,1692,65.62542724609375,900000,21498048.0,224974,254561,531,140674.4375,-119373.27434294,0.7210515737533569
3.04,0.0055,1711,178.92254638671875,910000,30719264.0,227474,257489,531,131077.28125,-117166.46186080002,-3.3021674156188965
3.11,0.0055,1731,119.02114868164062,920000,20901584.0,229974,260493,531,120597.828125,-118030.32978029002,5.597994804382324
3.08,0.0055,1750,104.31773376464844,930000,16765375.0,232474,263526,531,114896.5078125,-117531.02668474,6.35513973236084
6.07,0.0055,1769,2495.97802734375,940000,750762112.0,234974,265383,531,178113.578125,-165200.18023810998,117.9279556274414
3.25,0.0055,1788,199.5957794189453,950000,81139152.0,237474,267793,531,131980.75,-119608.54373616999,64.74891662597656
3.01,0.0055,1808,26.90163803100586,960000,16308184.0,239974,271105,530,120218.578125,-116784.57703367001,7.037264823913574
4.57,0.0055,1827,63.5704460144043,970000,11216986.0,242474,273796,530,121585.734375,-132099.6840737,23.14222526550293
3.0,0.0055,1846,46.8193359375,980000,8408174.0,244974,276600,530,116252.2421875,-116764.12099052001,16.468795776367188
3.28,0.0055,1866,185.7119598388672,990000,182665504.0,247474,278695,530,135424.84375,-120200.73913843,37.69981384277344
3.0,0.0055,1885,53.27825164794922,1000000,37765240.0,249974,281928,530,114805.1796875,-116792.78040966,5.55352783203125
