train/kl_divergence_loss,train/is_line_search_success,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/n_updates,time/time_elapsed,time/total_timesteps,train/policy_objective,time/fps,train/explained_variance,train/value_loss,train/learning_rate
0.008503995835781097,1.0,126082.96876747001,28.12,0.7326733469963074,69,431,570000,0.0599040724337101,1322,0.0,2835791008.4,0.001
0.00895650777965784,1.0,129816.24871193,27.65,0.7279775738716125,70,438,580000,0.06939361244440079,1321,0.0,3066424824.0,0.001
0.008593291975557804,1.0,130909.84181422001,25.76,0.7236253619194031,72,447,590000,0.05937108024954796,1317,0.0,2970569222.0,0.001
0.008847582153975964,1.0,131932.79143262,25.44,0.7239047884941101,73,455,600000,0.06284728646278381,1317,-1.1920928955078125e-07,3502174708.4,0.001
0.008818023838102818,1.0,132078.80964911,24.3,0.7200533747673035,74,463,610000,0.0642697885632515,1317,-1.1920928955078125e-07,3771010468.8,0.001
0.008534540422260761,1.0,124114.99844293,24.95,0.7189179062843323,75,470,620000,0.059048157185316086,1317,1.7881393432617188e-07,3321668973.6,0.001
0.008615542203187943,1.0,131629.86253029,25.29,0.7181575298309326,76,478,630000,0.058335769921541214,1317,-1.1920928955078125e-07,3383613815.6,0.001
0.009083942510187626,1.0,130456.53080893001,24.27,0.7131733298301697,78,487,640000,0.06164861097931862,1312,-1.1920928955078125e-07,4208802851.6,0.001
0.008807793259620667,1.0,127252.93857771,32.62,0.7110784649848938,79,495,650000,0.05569081008434296,1312,0.0,3767264049.2,0.001
0.009174395352602005,1.0,129993.25871052999,33.06,0.7143104672431946,80,502,660000,0.07188533246517181,1312,1.1920928955078125e-07,2928963976.8,0.001
0.009002543985843658,1.0,132433.98435857,22.88,0.712507963180542,81,510,670000,0.059407688677310944,1312,5.960464477539063e-08,3706048104.8,0.001
0.009439033456146717,1.0,131605.04960288,21.45,0.7091709971427917,83,519,680000,0.05202428624033928,1308,1.1920928955078125e-07,4283897328.4,0.001
0.009407967329025269,1.0,130168.0156182,21.4,0.706019401550293,84,527,690000,0.05313756689429283,1308,0.0,4502271420.4,0.001
0.008279338479042053,1.0,131146.86640224,28.22,0.7049572467803955,85,534,700000,0.06471436470746994,1308,5.960464477539063e-08,4262831858.8,0.001
0.008896954357624054,1.0,131982.93506918,21.87,0.7010395526885986,86,542,710000,0.05568457394838333,1308,-1.1920928955078125e-07,3967798206.8,0.001
0.009236701764166355,1.0,132505.8,21.14,0.6982417106628418,87,550,720000,0.059019651263952255,1308,-1.1920928955078125e-07,4521809858.0,0.001
0.009214633144438267,1.0,132708.42766353,21.14,0.6962061524391174,89,559,730000,0.0596502460539341,1304,1.1920928955078125e-07,4767822060.4,0.001
0.009069048799574375,1.0,132855.3,20.24,0.6932530403137207,90,567,740000,0.049985118210315704,1304,0.0,4521719602.4,0.001
0.009684302844107151,1.0,132658.40557824,20.0,0.6912834048271179,91,575,750000,0.05225730687379837,1304,-1.1920928955078125e-07,4979588758.4,0.001
0.008812328800559044,1.0,132790.3,21.28,0.6885712742805481,92,582,760000,0.05695829540491104,1304,0.0,4780052368.0,0.001
0.009413113817572594,1.0,132520.74931662,20.76,0.6877992153167725,93,590,770000,0.061758652329444885,1303,0.0,4877709455.6,0.001
0.009636093862354755,1.0,133049.44871321,20.29,0.6847409605979919,95,599,780000,0.05926498398184776,1300,0.0,4860028676.4,0.001
0.0063922107219696045,1.0,132749.99991139,20.16,0.685305118560791,96,607,790000,0.045262660831213,1300,0.0,4619633694.8,0.001
0.009797726757824421,1.0,132569.84027865,19.61,0.6834738254547119,97,615,800000,0.05836203321814537,1300,0.0,5020533772.0,0.001
0.009173150174319744,1.0,130437.14192409,20.03,0.6817262768745422,98,622,810000,0.04762871563434601,1300,5.960464477539063e-08,4987736307.2,0.001
0.008905732072889805,1.0,132686.19379709,19.13,0.6794195175170898,100,632,820000,0.051699452102184296,1297,0.0,4915928303.2,0.001
0.00950527098029852,1.0,132951.67795493,20.08,0.6760607361793518,101,639,830000,0.055040474981069565,1297,0.0,5027861888.0,0.001
0.008895662613213062,1.0,133014.36176964,18.78,0.6752541065216064,102,647,840000,0.055060192942619324,1296,-2.384185791015625e-07,5037309628.8,0.001
0.009060968644917011,1.0,133105.89929337,19.02,0.6723057627677917,103,655,850000,0.06507279723882675,1296,0.0,4987198510.4,0.001
0.00975767057389021,1.0,131940.80724606,20.43,0.6703541278839111,104,663,860000,0.056102145463228226,1296,0.0,5100007144.0,0.001
0.008633320219814777,1.0,132898.24218371,19.07,0.6704997420310974,106,672,870000,0.059394706040620804,1293,-1.1920928955078125e-07,5052745608.8,0.001
0.0092170350253582,1.0,132756.52636196,19.84,0.6693937182426453,107,680,880000,0.05968558043241501,1293,0.0,4735766412.8,0.001
0.009372986853122711,1.0,132715.63802655,18.77,0.6680262684822083,108,687,890000,0.06307505071163177,1294,5.960464477539063e-08,5112811268.0,0.001
0.008883554488420486,1.0,133005.87385233,19.02,0.6669132709503174,109,695,900000,0.060585394501686096,1294,0.0,4755628738.8,0.001
0.009715642780065536,1.0,132515.55056391002,18.73,0.6650601625442505,111,704,910000,0.05303887277841568,1291,0.0,5325620255.2,0.001
0.009029902517795563,1.0,132525.5,18.62,0.6651259660720825,112,711,920000,0.053034111857414246,1292,-1.1920928955078125e-07,5049562478.4,0.001
0.00933509785681963,1.0,129545.89508177999,26.28,0.6640759110450745,113,719,930000,0.0536748431622982,1292,-2.384185791015625e-07,5252750984.8,0.001
0.009594539180397987,1.0,132469.47578424998,19.68,0.6632742285728455,114,727,940000,0.05884426087141037,1292,0.0,4782288164.4,0.001
0.00838544499129057,1.0,132509.21068087,20.73,0.6615431904792786,115,734,950000,0.05973108857870102,1293,-2.384185791015625e-07,5189619741.6,0.001
0.009570468217134476,1.0,132908.59429921999,19.06,0.6586349606513977,117,743,960000,0.05412556231021881,1290,-1.1920928955078125e-07,5299554016.8,0.001
0.00947945099323988,1.0,133019.56167393,18.72,0.6566676497459412,118,751,970000,0.05066222324967384,1291,-1.1920928955078125e-07,5275125328.8,0.001
0.009300143457949162,1.0,133055.3,17.92,0.6555821299552917,119,758,980000,0.05427240952849388,1291,0.0,5312038275.2,0.001
0.009912044741213322,1.0,132638.66981907998,18.24,0.6530035138130188,120,766,990000,0.061433397233486176,1291,-2.384185791015625e-07,5381605448.8,0.001
0.009127599187195301,1.0,132944.03722089,18.03,0.6512301564216614,122,775,1000000,0.04272214695811272,1289,0.0,5365833690.4,0.001
