train/policy_gradient_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/total_timesteps,train/n_updates,train/loss,train/std,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,time/fps,train/approx_kl,train/clip_range,rollout/ep_rew_mean,train/clip_fraction
-0.0010332698961065035,-1.1920928955078125e-07,830,6519198724.0,570000,690,3394596864.0,0.9944865107536316,24.03,-21.20204343050718,0.0003,685,0.00032885902,0.2,-159420.17069417998,0.0
-0.001274499828559783,0.0,844,6497851500.0,580000,700,3337465600.0,0.9945342540740967,24.0,-21.201006457209587,0.0003,686,0.00053695816,0.2,-164174.92724234,0.0
-0.0009306298959927517,0.0,863,6333563700.4,590000,720,3559539968.0,0.9943270087242126,22.95,-21.198914562165736,0.0003,683,0.00030538216,0.2,-154908.96512303,0.0
-0.0013461601047310978,0.0,876,6063672362.8,600000,730,3209197824.0,0.9940662384033203,25.09,-21.19627349674702,0.0003,684,0.0004846771,0.2,-170473.59343789998,0.0
-0.0014288529779150848,0.0,889,6397438312.0,610000,740,3435888384.0,0.9940444231033325,22.35,-21.193980473279954,0.0003,685,0.00063042936,0.2,-153834.69046426,0.0
-0.0012945125112310053,0.0,903,6427045704.0,620000,750,3221916672.0,0.9937495589256287,24.28,-21.19168128967285,0.0003,686,0.0005616995,0.2,-153909.05697521,0.0
-0.0013187881762860344,-1.1920928955078125e-07,916,6343853948.4,630000,760,3170578944.0,0.9936540126800537,22.67,-21.188670951128007,0.0003,687,0.00054926914,0.2,-157496.55022114,0.0
-0.0009827541962295072,-1.1920928955078125e-07,935,6244471311.6,640000,780,3181542400.0,0.9932733774185181,23.58,-21.184076282382012,0.0003,684,0.0003158095,0.2,-157636.52019406,0.0
-0.001047314316201664,-1.1920928955078125e-07,949,6201511785.6,650000,790,3193879552.0,0.9932205677032471,21.67,-21.181762087345124,0.0003,684,0.00033200212,0.2,-147073.80021001998,0.0
-0.0011555385832252795,1.7881393432617188e-07,962,6209083160.0,660000,800,3325295360.0,0.9931467771530151,24.3,-21.18076484799385,0.0003,685,0.00048690996,0.2,-162394.13607956,0.0
