time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,time/fps,train/explained_variance,train/learning_rate
698,590000,-262283.00999226,7.82,1.197527527809143,0.2,720,-23.970635858178138,0.00191650390625,26638063616.0,-0.002309637432335876,48274379793.6,0.0024315272,844,0.0,0.0017
709,600000,-281592.18023096,8.49,1.2007343769073486,0.2,730,-24.006897170841693,0.0021240234375,17854056448.0,-0.0022312539842459954,47948607156.8,0.0021662647,845,0.0,0.0017
720,610000,-288639.71130413,8.73,1.2040791511535645,0.2,740,-24.047724556922912,0.0037841796875,19685672960.0,-0.002407566553847573,43034940388.8,0.0022910857,846,5.960464477539063e-08,0.0017
731,620000,-263129.33122762997,7.76,1.2073919773101807,0.2,750,-24.089262264966965,0.00079345703125,22406842368.0,-0.001850060348988336,45654409902.4,0.0019277702,847,0.0,0.0017
742,630000,-246161.47481177,7.29,1.2102645635604858,0.2,760,-24.127572183310985,0.00284423828125,19681363968.0,-0.0011994915108516579,43226361760.0,0.0016442393,848,0.0,0.0017
757,640000,-230694.65231826,6.67,1.216856837272644,0.2,780,-24.20597465634346,0.00574951171875,20361519104.0,-0.002256849537661765,42194010764.8,0.0025863508,845,5.960464477539063e-08,0.0017
768,650000,-276381.04717526,8.25,1.2198853492736816,0.2,790,-24.245143142342567,0.00291748046875,21231087616.0,-0.0015476769280212467,43634733080.0,0.0018652248,846,-2.384185791015625e-07,0.0017
779,660000,-252351.20609763998,7.53,1.223165512084961,0.2,800,-24.284154088795184,0.007763671875,26332905472.0,-0.0036529614462779136,42119498188.8,0.0033074594,847,5.960464477539063e-08,0.0017
789,670000,-243434.86378448,7.14,1.2266608476638794,0.2,810,-24.32542809098959,0.0013916015625,24461324288.0,-0.002945075552270282,41600258502.4,0.0025279284,848,-1.1920928955078125e-07,0.0017
805,680000,-272856.78695470997,8.36,1.2338483333587646,0.2,830,-24.411662143468856,0.0009521484375,23761659904.0,-0.0019139375774102519,42159357678.4,0.002092401,844,0.0,0.0017
816,690000,-247645.43732269996,7.35,1.2373435497283936,0.2,840,-24.455053363740443,0.00057373046875,19281340416.0,-0.0016931045645833364,39386983384.0,0.0018970575,845,-1.1920928955078125e-07,0.0017
826,700000,-237778.85719970998,6.9,1.2407442331314087,0.2,850,-24.49681187272072,0.00350341796875,20972220416.0,-0.002519792879866145,41596964665.6,0.0027179192,846,0.0,0.0017
837,710000,-224857.75086422,6.34,1.2439675331115723,0.2,860,-24.53635306060314,0.0014404296875,14753122304.0,-0.002003946186778194,36398624019.2,0.0021344852,847,0.0,0.0017
848,720000,-227044.30342345993,6.43,1.2479206323623657,0.2,870,-24.579536516964435,0.00361328125,18388963328.0,-0.001998184109470458,35838426220.8,0.002050287,848,-1.1920928955078125e-07,0.0017
864,730000,-284669.50030904,8.58,1.2545844316482544,0.2,890,-24.66186269521713,0.0009765625,17271693312.0,-0.001728199299031985,40158123315.2,0.001211434,844,0.0,0.0017
874,740000,-214079.56057221,5.89,1.2580901384353638,0.2,900,-24.70384088307619,0.00313720703125,13761671168.0,-0.0020583370267559077,33533933817.6,0.0024652672,845,5.960464477539063e-08,0.0017
885,750000,-213199.0214246,5.94,1.261963129043579,0.2,910,-24.748016674816608,0.0133544921875,17866440704.0,-0.0031144733911787625,36173513078.4,0.0036986615,846,0.0,0.0017
