train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance
0.0017,8523953152.0,-0.0017109144371715956,16663341538.4,921,802,740000,0.2,0.0030510281,-219373.14825469,-21.163292905688287,900,11.74,0.00657958984375,1.4143948554992676,1.1920928955078125e-07
0.0017,7526447104.0,-0.0024248618132332923,14786746676.8,923,812,750000,0.2,0.0029163747,-215254.94102742002,-21.210421791672708,910,11.49,0.0058837890625,1.420457363128662,-1.1920928955078125e-07
0.0017,7738952704.0,-0.0025374836808623514,15435190620.0,924,822,760000,0.2,0.0032871738,-221504.14461648,-21.260787974298,920,11.94,0.0123779296875,1.4262663125991821,0.0
0.0017,7967378944.0,-0.002367424404837948,16027593176.8,925,832,770000,0.2,0.0025694636,-215835.19366060995,-21.311560113728046,930,11.44,0.00185546875,1.432631492614746,0.0
0.0017,9438778368.0,-0.0022427928415709175,15711346781.6,920,847,780000,0.2,0.0027273968,-210707.97887981002,-21.430144912004472,950,11.52,0.0065185546875,1.4471688270568848,-1.1920928955078125e-07
0.0017,7670263296.0,-0.0025615667927922914,15215892315.2,921,857,790000,0.2,0.003381805,-255662.09895581004,-21.4854478135705,960,13.87,0.00732421875,1.4533759355545044,0.0
0.0017,9167824896.0,-0.0014159353919239947,16039622624.8,922,867,800000,0.2,0.0025969474,-242250.43646590997,-21.536677034199236,970,13.32,0.0033935546875,1.4598289728164673,0.0
0.0017,7106590720.0,-0.002165462048651534,15148523466.4,923,877,810000,0.2,0.002701045,-208045.61988613,-21.58739424496889,980,10.81,0.00667724609375,1.4655680656433105,1.7881393432617188e-07
0.0017,7192540160.0,-0.002679175418597879,15134063682.4,918,892,820000,0.2,0.0027758013,-206543.19217984995,-21.68856953084469,1000,10.74,0.00673828125,1.4783601760864258,0.0
0.0017,7168505856.0,-0.001936353229211818,15038749408.0,919,902,830000,0.2,0.0020303058,-203955.84619061006,-21.743435786664485,1010,10.83,0.001611328125,1.4855116605758667,0.0
0.0017,8000571392.0,-0.002329097994334006,15993326937.6,919,913,840000,0.2,0.0029896703,-225250.89380315001,-21.793261601030828,1020,11.64,0.0086181640625,1.490643858909607,1.1920928955078125e-07
0.0017,7105983488.0,-0.001461393241879705,14798791292.8,920,923,850000,0.2,0.0018176888,-214045.43593622,-21.838661071658134,1030,10.62,0.0049560546875,1.496904969215393,-1.1920928955078125e-07
0.0017,7021989376.0,-0.0025195477031957126,14591157659.2,920,933,860000,0.2,0.003710903,-219568.68294953005,-21.888394168019296,1040,11.68,0.01600341796875,1.502915382385254,0.0
0.0017,7081740800.0,-0.0015879418086115038,15098838548.0,917,948,870000,0.2,0.0019203888,-203177.68197581,-21.995596796274185,1060,10.29,0.0046142578125,1.5172334909439087,1.1920928955078125e-07
0.0017,7012615680.0,-0.00279476617470209,14026860652.0,917,959,880000,0.2,0.003647444,-257248.11989138,-22.050253385305403,1070,14.03,0.01685791015625,1.5235519409179688,-1.1920928955078125e-07
0.0017,7563799552.0,-0.001659990967164049,15042075981.6,918,969,890000,0.2,0.002938528,-195000.81439586,-22.09791500121355,1080,9.64,0.005419921875,1.5294643640518188,5.960464477539063e-08
0.0017,7792070144.0,-0.0013691300664504524,14888338777.6,918,979,900000,0.2,0.0017614309,-184366.19788215,-22.14662824869156,1090,9.05,0.0027587890625,1.5360349416732788,0.0
