train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/fps
0.0003,51154.03125,2323.375,174974,700000,4529,6000,358.87,38.55940246582031,-120626.57318838999,0.015183687210083008,154
0.0003,49500.21484375,1957.849365234375,177474,710000,4594,6040,427.31,34.334041595458984,-131971.47318608,-4.1509690284729,154
0.0003,37875.99609375,1874.2308349609375,179974,720000,4659,6103,192.2,31.578628540039062,-107571.39554965003,0.622188925743103,154
0.0003,36249.5546875,1794.5030517578125,182474,730000,4724,6173,147.44,29.13461685180664,-98153.26688517,0.8956975936889648,154
0.0003,44448.4453125,1942.0025634765625,184974,740000,4790,6261,121.21,27.222200393676758,-91419.9134815,-3.161907196044922,154
0.0003,43036.07421875,1933.2041015625,187474,750000,4855,6374,88.46,25.225502014160156,-92741.95381996,2.2528607845306396,154
0.0003,33986.12890625,2054.3291015625,189974,760000,4920,6572,46.44,24.288631439208984,-94035.15063361,0.29099512100219727,154
0.0003,42053.08203125,1983.7471923828125,192474,770000,4985,6773,53.92,23.66343116760254,-92886.51555735998,0.8258776664733887,154
0.0003,32686.3828125,2635.107421875,194974,780000,5050,6969,51.08,22.082048416137695,-89101.0982378,-2.2223122119903564,154
0.0003,22973.55078125,1822.171142578125,197474,790000,5116,7113,67.11,21.2326602935791,-91164.81204186002,3.292734146118164,154
0.0003,28524.142578125,2213.601318359375,199974,800000,5181,7137,152.83,20.92068862915039,-97786.51724435002,0.10068768262863159,154
0.0003,24861.49609375,1875.7117919921875,202474,810000,5247,7172,222.4,21.548532485961914,-105092.91289731002,3.9073269367218018,154
0.0003,30808.646484375,1732.23583984375,204974,820000,5312,7200,314.98,21.690580368041992,-107551.1517655,0.46289700269699097,154
0.0003,32422.849609375,1867.5565185546875,207474,830000,5378,7318,72.12,21.313190460205078,-82430.46750059,1.6224467754364014,154
0.0003,33209.43359375,1817.3861083984375,209974,840000,5443,7441,80.23,21.68535804748535,-82410.81615369,1.1971811056137085,154
0.0003,33030.94921875,2130.453857421875,212474,850000,5508,7519,126.46,21.984392166137695,-84172.46623492,-1.2340871095657349,154
0.0003,34854.90625,2033.3330078125,214974,860000,5574,7572,155.71,22.86758041381836,-87422.14633239,0.9102165102958679,154
0.0003,34274.28125,1989.994140625,217474,870000,5640,7585,240.5,23.788789749145508,-97642.88733509001,-2.5966429710388184,154
0.0003,36463.2578125,2168.165283203125,219974,880000,5705,7599,327.06,24.01255226135254,-106148.72190617,-2.7298693656921387,154
0.0003,34479.53515625,2349.451416015625,222474,890000,5771,7661,329.33,24.05177879333496,-106978.04974014,-3.058746099472046,154
0.0003,34278.5,2169.252685546875,224974,900000,5836,7739,120.05,23.877883911132812,-83703.45927111,-0.37339210510253906,154
0.0003,33696.38671875,2334.302978515625,227474,910000,5901,7812,138.78,22.818815231323242,-86144.58746129,-0.31060293316841125,154
0.0003,28595.177734375,1582.74169921875,229974,920000,5967,7920,89.5,21.357471466064453,-81038.9985699,2.740374803543091,154
0.0003,40875.1015625,1425.8974609375,232474,930000,6030,7978,155.05,19.977840423583984,-85568.53866256001,-0.5798080563545227,154
0.0003,30924.78125,1710.5938720703125,234974,940000,6092,8039,155.83,18.62571907043457,-84967.53497811001,-0.5367156267166138,154
0.0003,26821.716796875,1652.7454833984375,237474,950000,6155,8077,200.46,17.800039291381836,-89724.51981869999,2.2315266132354736,154
0.0003,29639.701171875,2006.47412109375,239974,960000,6216,8103,250.09,17.48065757751465,-92043.81005368999,-2.592136859893799,154
0.0003,28278.265625,1931.043701171875,242474,970000,6277,8118,330.81,17.382015228271484,-95078.66181662999,0.3633573055267334,154
0.0003,22846.376953125,1964.41259765625,244974,980000,6339,8129,415.49,17.3006534576416,-95630.89047698,4.1869916915893555,154
0.0003,34398.79296875,1364.084228515625,247474,990000,6401,8143,479.6,16.783979415893555,-94774.33374296999,-0.7788465023040771,154
0.0003,24366.919921875,1375.15283203125,249974,1000000,6463,8194,460.06,16.61348533630371,-121068.73465251998,4.305084228515625,154
