rollout/ep_rew_mean,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,time/time_elapsed
-135055.11341562,615070.375,0.001,780000,994.67,3.6940338611602783,972,0.17031899094581604,79,194974,-8794.986328125,9751
-135097.86763622,383454.9375,0.001,790000,1000.0,5.698386192321777,982,1.1559087038040161,79,197474,-8896.44140625,9877
-134664.78913112002,400074.0625,0.001,800000,1000.0,4.176445007324219,992,0.9918708801269531,79,199974,-7191.8095703125,10004
-166640.35506174,532294.875,0.001,810000,1000.0,3.558854579925537,1002,0.08452891558408737,79,202474,-7557.4150390625,10130
-140528.32831391,763414.375,0.001,820000,1000.0,4.352085113525391,1012,0.09009283781051636,79,204974,-6971.466796875,10257
-117335.28608003001,323984.15625,0.001,830000,1000.0,4.225339412689209,1022,0.3002827763557434,79,207474,-7570.72607421875,10384
-105329.50293474,600666.0,0.001,840000,992.8,4.080777168273926,1034,0.49296945333480835,79,209974,-6887.900390625,10511
-105667.77462654,732701.875,0.001,850000,992.8,3.5052788257598877,1042,0.23972493410110474,79,212474,-6401.833984375,10638
-111904.73771692,2549014.75,0.001,860000,992.8,3.2272183895111084,1054,0.19632598757743835,79,214974,-5621.17333984375,10765
-111050.00218754998,665172.875,0.001,870000,992.8,3.495532751083374,1062,0.5059502124786377,79,217474,-5542.099609375,10892
-91486.20118635,1038641.125,0.001,880000,992.8,3.239842176437378,1074,-0.4607103765010834,79,219974,-5654.13330078125,11019
-97838.13368384,2461689.0,0.001,890000,992.8,3.2550370693206787,1082,-0.8169840574264526,79,222474,-6042.6953125,11146
-93390.93623776002,561572.0625,0.001,900000,990.57,3.6255125999450684,1094,-0.14892049133777618,79,224974,-5126.2607421875,11273
-67451.15487098,289857.15625,0.001,910000,990.57,4.060595512390137,1102,-1.2273433208465576,79,227474,-4937.7158203125,11401
-56667.07230356,540078.75,0.001,920000,990.57,3.0652854442596436,1114,-1.0988502502441406,79,229974,-5625.2880859375,11525
-58205.33625859001,698373.25,0.001,930000,990.57,4.009324073791504,1122,-0.30061209201812744,79,232474,-5242.64892578125,11649
-76085.87108499,483600.78125,0.001,940000,997.77,3.5824155807495117,1134,0.1938784420490265,79,234974,-5270.529296875,11775
-73721.99390069999,938967.375,0.001,950000,997.77,3.3404366970062256,1142,0.5607829689979553,79,237474,-5536.83740234375,11903
-91565.58460675999,285857.53125,0.001,960000,997.77,2.649733543395996,1154,0.21262723207473755,79,239974,-5391.63525390625,12030
-90999.65772243997,9646091.0,0.001,970000,987.37,3.094522714614868,1164,0.14157895743846893,79,242474,-4706.34228515625,12156
-100330.35530933,687303.375,0.001,980000,976.14,3.253754138946533,1174,0.12246553599834442,79,244974,-4864.044921875,12283
-92253.50135268,515057.5625,0.001,990000,962.93,3.8926451206207275,1186,0.731167197227478,79,247474,-4588.28515625,12411
-116044.73808709999,563609.125,0.001,1000000,947.31,3.6410279273986816,1198,-0.09911554306745529,79,249974,-5339.38671875,12538
