time/time_elapsed,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,time/fps,train/critic_loss,time/episodes
1242,0.001,-0.208048477768898,52954.7,-63365.53125,8.0,680000,30.739906311035156,169974,547,6345161.5,80591
1261,0.001,-2.4138994216918945,52358.9,-62569.3046875,8.06,690000,33.67770004272461,172474,546,8790772.0,81830
1280,0.001,0.32336145639419556,52767.2,-68909.65625,8.02,700000,30.477527618408203,174974,546,4812477.5,83065
1299,0.001,1.5594309568405151,52967.3,-66124.890625,8.0,710000,33.31047821044922,177474,546,1898457.0,84298
1318,0.001,1.5433523654937744,52969.1,-64143.9609375,8.0,720000,34.19076919555664,179974,546,10352332.0,85546
1337,0.001,1.9084858894348145,52260.151168590004,-66900.765625,8.07,730000,29.35828399658203,182474,545,8621257.0,86795
1356,0.001,-1.7529456615447998,52962.8,-63308.109375,8.0,740000,29.728412628173828,184974,545,5640252.0,88042
1375,0.001,-0.5326595902442932,52966.4,-62446.21484375,8.0,750000,27.017414093017578,187474,545,3285315.5,89292
1394,0.001,0.2541424632072449,52963.7,-67192.65625,8.0,760000,28.567813873291016,189974,544,4030555.0,90542
1413,0.001,-1.5889959335327148,52964.6,-62856.96875,8.0,770000,26.662578582763672,192474,544,8158744.0,91792
1432,0.001,0.9043680429458618,52968.2,-66242.28125,8.0,780000,27.24656867980957,194974,544,4837387.0,93042
1451,0.001,-3.23447322845459,52665.8,-68595.9765625,8.03,790000,27.320201873779297,197474,544,8874392.0,94290
1470,0.001,0.21859407424926758,52962.8,-66513.625,8.0,800000,29.091039657592773,199974,544,2390276.25,95539
1489,0.001,1.1539411544799805,52967.3,-63561.26171875,8.0,810000,25.0778865814209,202474,543,2536279.0,96789
1508,0.001,2.6752562522888184,52969.1,-67589.078125,8.0,820000,25.46782112121582,204974,543,4669999.0,98038
1527,0.001,-0.5244227051734924,52563.7,-70559.609375,8.0,830000,24.373395919799805,207474,543,4691734.5,99283
1546,0.001,-4.931143283843994,51060.49180262,-66560.390625,8.0,840000,24.799903869628906,209974,543,2309677.25,100530
1565,0.001,-1.642632007598877,52968.2,-63427.30078125,8.0,850000,24.451492309570312,212474,542,2404395.0,101779
1584,0.001,-1.8633092641830444,52965.5,-64404.24609375,8.0,860000,26.80129051208496,214974,542,6394759.5,103028
1603,0.001,-8.097787857055664,24682.47995697,-66961.3203125,10.6,870000,29.065784454345703,217474,542,2256023.75,104246
1622,0.001,-4.114189624786377,52967.3,-63890.75390625,8.0,880000,25.625452041625977,219974,542,6720742.0,105475
1641,0.001,-3.973151683807373,52968.2,-68319.3125,8.0,890000,26.09541130065918,222474,542,3909989.0,106726
1660,0.001,-3.75777530670166,52862.3,-62643.30078125,8.01,900000,23.654773712158203,224974,542,3484585.5,107973
1679,0.001,3.6495347023010254,52861.9,-62951.6875,8.0,910000,25.81905174255371,227474,541,17485856.0,109222
1698,0.001,-3.0567703247070312,52866.8,-63512.92578125,8.01,920000,25.009174346923828,229974,541,13034015.0,110469
1717,0.001,-3.6389055252075195,51748.52574909,-67074.328125,8.12,930000,22.931110382080078,232474,541,5462928.0,111704
1736,0.001,-0.281080424785614,52967.3,-69757.59375,8.0,940000,22.74506950378418,234974,541,4954207.0,112947
1755,0.001,2.5051040649414062,52049.3,-67095.6484375,8.09,950000,25.294687271118164,237474,541,4999426.5,114191
1774,0.001,2.0040667057037354,52965.5,-72109.703125,8.0,960000,22.531587600708008,239974,541,4030899.0,115435
1793,0.001,-6.467403888702393,52258.39889401,-68190.9609375,8.07,970000,24.28734016418457,242474,540,1543871.625,116683
1812,0.001,-0.7361347079277039,52969.1,-68046.921875,8.0,980000,21.278213500976562,244974,540,4631068.0,117929
1831,0.001,1.727995753288269,52958.3,-70125.140625,8.0,990000,24.97144889831543,247474,540,5905756.5,119138
1850,0.001,0.576752245426178,52965.5,-68126.9375,8.0,1000000,25.163740158081055,249974,540,3163156.0,120374
