time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,time/fps,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/approx_kl
500000,-21.21150785535574,54.25,2804861440.0,-0.0011972894903010457,0.9950453639030457,0.0,0.2,5661589056.4,0.0,805,610,-268733.74414184,0.0003,620,0.00043947258
510000,-21.20861532986164,45.77,2759127552.0,-0.0017159696475573583,0.9949435591697693,0.0,0.2,5341033837.6,1.220703125e-05,806,620,-234391.73585347005,0.0003,632,0.00095548306
520000,-21.207695031166075,44.97,3119371008.0,-0.0010620587037919905,0.9949262142181396,0.0,0.2,5991327122.0,0.0,808,630,-230577.07581366,0.0003,643,0.00046558754
530000,-21.20731315165758,43.4,2855035904.0,-0.0013592731378594181,0.9948946237564087,0.0,0.2,5633764985.8,0.0,809,640,-224314.57999232996,0.0003,654,0.0006538074
540000,-21.204316367208957,38.6,2672819968.0,-0.0019964670020272022,0.9945231676101685,0.0,0.2,5434193265.0,0.0,810,650,-200157.82457699004,0.0003,666,0.001168614
550000,-21.20251291245222,44.65,2546934784.0,-0.001352279870025086,0.9946048259735107,-1.1920928955078125e-07,0.2,5248176636.8,0.0,806,670,-231161.57081682995,0.0003,682,0.0006018192
560000,-21.20195913165808,47.36,2336512768.0,-0.0013913934384618188,0.9945087432861328,-1.1920928955078125e-07,0.2,5241172322.8,0.0,807,680,-230138.63600116997,0.0003,693,0.0006777534
570000,-21.201025331020354,39.82,3177683968.0,-0.0009361703672766452,0.9944900870323181,-2.384185791015625e-07,0.2,5492811943.4,0.0,808,690,-200149.43589588001,0.0003,705,0.0003828091
580000,-21.20006136149168,48.42,2612310016.0,-0.0007997733982847421,0.9943712949752808,-2.384185791015625e-07,0.2,5432935729.2,0.0,809,700,-234976.71311289002,0.0003,716,0.00031365076
590000,-21.197350345551968,51.89,2941563392.0,-0.0015792990889167413,0.9942282438278198,1.1920928955078125e-07,0.2,5745239740.4,0.0,804,720,-259791.34016815003,0.0003,732,0.0007771004
600000,-21.195400452613832,46.85,2406603776.0,-0.0016542727105843368,0.9940249919891357,2.384185791015625e-07,0.2,5241326981.2,0.0,806,730,-221698.15106318,0.0003,744,0.0008937272
610000,-21.19135629683733,41.88,2847887360.0,-0.0015166841591053525,0.9936808347702026,1.1920928955078125e-07,0.2,5173331222.8,0.0,807,740,-213020.65188547,0.0003,755,0.0006543531
620000,-21.188536813855173,37.85,2755600640.0,-0.0009663535271101864,0.9936550855636597,0.0,0.2,5594298383.8,0.0,807,750,-199281.90858839004,0.0003,767,0.00036247165
