train/policy_loss,train/learning_rate,train/value_loss,train/entropy_loss,time/fps,train/explained_variance,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/std
-54364.54296875,0.0007,51367064.0,-15.323362350463867,1442,0.0,780000,38999,30.03,540,-145958.22709135,1.334555745124817
5658.4794921875,0.0007,42569916.0,-15.41413688659668,1442,0.0,790000,39499,17.24,547,-102578.32033572998,1.3494471311569214
-181605.296875,0.0007,1382844416.0,-15.472589492797852,1442,0.0,800000,39999,52.02,554,-214593.12615730002,1.3579286336898804
2300.515625,0.0007,120824.078125,-15.451852798461914,1442,0.0,810000,40499,36.31,561,-19879.273867340005,1.354779839515686
204548.203125,0.0007,1513171584.0,-15.348512649536133,1442,-2.384185791015625e-07,820000,40999,49.99,568,-34351.78490923,1.3387219905853271
-103301.78125,0.0007,192669184.0,-15.343637466430664,1442,0.0,830000,41499,64.41,575,-89151.20389420999,1.3377039432525635
-228722.625,0.0007,340386336.0,-15.388208389282227,1442,0.0,840000,41999,63.01,582,-76321.5012126,1.3442946672439575
-1240326.75,0.0007,8926700544.0,-15.377164840698242,1442,0.0,850000,42499,54.79,589,-139552.02201993,1.3439068794250488
-631639.125,0.0007,2911941376.0,-15.340238571166992,1441,0.0,860000,42999,9.28,596,-91336.51887802,1.3379844427108765
-171504.25,0.0007,350730848.0,-15.450358390808105,1442,0.0,870000,43499,18.94,603,-127559.65459977997,1.3548527956008911
-360687.34375,0.0007,1225508864.0,-15.563817024230957,1442,0.0,880000,43999,52.61,610,-388437.4938864401,1.371614933013916
-72357.640625,0.0007,217485264.0,-15.477846145629883,1442,0.0,890000,44499,27.31,617,-46761.437825650006,1.3608101606369019
-323546.65625,0.0007,2163409920.0,-15.507837295532227,1442,0.0,900000,44999,33.06,623,-122126.42386561,1.3641029596328735
-184596.703125,0.0007,307248064.0,-15.550256729125977,1442,0.0,910000,45499,52.46,630,-155544.9309395,1.370409369468689
-47504.63671875,0.0007,58073932.0,-15.643427848815918,1443,0.0,920000,45999,32.24,637,-109054.67182605999,1.3834985494613647
-114059.234375,0.0007,512303456.0,-15.62378978729248,1443,-1.1920928955078125e-07,930000,46499,25.33,644,-89072.12598869,1.3808655738830566
-242778.71875,0.0007,1435911808.0,-15.600435256958008,1444,0.0,940000,46999,69.79,650,-156059.60681191002,1.3768548965454102
65126.7734375,0.0007,202181680.0,-15.633146286010742,1445,5.960464477539063e-08,950000,47499,55.28,657,-161977.51125492,1.3826814889907837
39095.3828125,0.0007,15703883.0,-15.575101852416992,1445,0.0,960000,47999,66.53,664,-158785.71442735998,1.3731873035430908
27.686107635498047,0.0007,29957.59375,-15.602716445922852,1445,5.960464477539063e-08,970000,48499,38.84,670,-186867.20956448003,1.3771504163742065
-11075.2158203125,0.0007,10899835.0,-15.655232429504395,1445,0.0,980000,48999,61.05,677,-104416.95418783,1.3843005895614624
-45019.07421875,0.0007,498764096.0,-15.664915084838867,1445,0.0,990000,49499,87.11,684,-92080.83241275999,1.3853702545166016
402901.28125,0.0007,2550607360.0,-15.666952133178711,1445,0.0,1000000,49999,71.83,691,-162590.38552784003,1.3856232166290283
