train/std,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/policy_objective,time/total_timesteps,train/is_line_search_success,train/value_loss,time/time_elapsed,train/kl_divergence_loss,train/learning_rate
0.8403581976890564,67,3.5,-121427.55821854001,1284,0.0,0.024986736476421356,550000,1.0,10157943072.0,428,0.007386043667793274,0.0013
0.8376227021217346,68,3.32,-119751.04621397,1285,0.0,0.05933603644371033,560000,1.0,10073296872.0,435,0.00736597366631031,0.0013
0.8330106139183044,69,3.29,-119403.59107215,1285,0.0,0.05116045102477074,570000,1.0,10056808534.4,443,0.006451915018260479,0.0013
0.8278136849403381,70,3.28,-119316.00575417999,1285,0.0,0.0453164279460907,580000,1.0,10097601648.0,451,0.006625134963542223,0.0013
0.8233349919319153,72,3.1,-117614.21019813001,1281,0.0,0.001258809119462967,590000,1.0,9821126172.8,460,0.006203851196914911,0.0013
0.817626953125,73,3.03,-116970.15810454002,1282,0.0,0.06606689840555191,600000,1.0,9827280932.8,467,0.008780312724411488,0.0013
0.8156154751777649,74,3.03,-117007.95247362,1282,1.1920928955078125e-07,0.0174923837184906,610000,1.0,9765430414.4,475,0.006831835489720106,0.0013
0.8142732977867126,75,3.09,-117528.12075644001,1282,-1.1920928955078125e-07,0.020621465519070625,620000,1.0,9761385545.6,483,0.005981664638966322,0.0013
0.812831699848175,76,3.13,-117907.79009943997,1283,0.0,0.0034476551227271557,630000,1.0,9751721238.4,490,0.007589451037347317,0.0013
0.8086713552474976,78,3.04,-117060.67521702,1280,0.0,0.03199443593621254,640000,1.0,9724701275.2,499,0.0070577883161604404,0.0013
0.8033937811851501,79,3.05,-117142.24100946002,1280,0.0,0.020245911553502083,650000,1.0,9701363102.4,507,0.009958942420780659,0.0013
0.8036083579063416,80,3.07,-117375.12861777,1280,1.1920928955078125e-07,0.05532395839691162,660000,1.0,9885546323.2,515,0.005320476368069649,0.0013
0.8021699786186218,81,3.05,-117146.77973392,1280,1.1920928955078125e-07,0.025009872391819954,670000,1.0,9693839108.8,523,0.009080047719180584,0.0013
0.7962378859519958,83,3.0,-116654.12467987002,1277,0.0,0.01774825155735016,680000,1.0,9647955395.2,532,0.005819234531372786,0.0013
0.7957439422607422,84,3.0,-116634.36947435001,1277,0.0,0.027662552893161774,690000,1.0,9637612080.0,540,0.00636148639023304,0.0013
0.7957960367202759,85,3.02,-116829.32154008001,1277,5.960464477539063e-08,0.024765495210886,700000,1.0,9624155697.6,547,0.005614135880023241,0.0013
0.7937523722648621,86,3.01,-116727.77246517003,1278,0.0,0.03013327345252037,710000,1.0,9627604483.2,555,0.006612367928028107,0.0013
0.7944405674934387,87,3.04,-117020.91966094001,1278,0.0,0.034574344754219055,720000,1.0,9617690116.8,563,0.00715196318924427,0.0013
0.7931452393531799,89,3.07,-117311.82304249001,1275,0.0,0.006680375896394253,730000,1.0,9609475638.4,572,0.004429482389241457,0.0013
0.7929086089134216,90,3.03,-116904.25767414,1275,-1.1920928955078125e-07,0.03449388965964317,740000,1.0,9599543857.6,580,0.007421668153256178,0.0013
0.7908286452293396,91,3.03,-116938.36386024,1275,0.0,0.03621572628617287,750000,1.0,9573865264.0,587,0.008758539333939552,0.0013
0.792633593082428,92,3.02,-116802.20989313001,1275,0.0,0.040153466165065765,760000,1.0,9548800436.8,595,0.00996414851397276,0.0013
0.7901191115379333,93,3.04,-116985.83566986003,1276,0.0,0.004467364400625229,770000,1.0,9541370814.4,603,0.0032407203689217567,0.0013
0.7875407934188843,95,3.02,-116837.63438453,1273,0.0,0.03146253153681755,780000,1.0,9530592532.8,612,0.006896327715367079,0.0013
0.7835090756416321,96,3.03,-116881.80728781002,1274,0.0,0.027813639491796494,790000,1.0,9512303921.6,619,0.009160878136754036,0.0013
0.7833779454231262,97,3.0,-116602.47388802002,1274,0.0,0.02615824155509472,800000,1.0,9503870235.2,627,0.007225708570331335,0.0013
0.7832268476486206,98,3.02,-116774.27179653998,1274,0.0,0.026959896087646484,810000,1.0,9487121886.4,635,0.007757627870887518,0.0013
0.7805701494216919,100,3.01,-116680.21931165,1272,-1.1920928955078125e-07,0.016516955569386482,820000,1.0,9460580504.0,644,0.004895823076367378,0.0013
0.7780364751815796,101,3.01,-116680.07289063997,1272,0.0,0.031922709196805954,830000,1.0,9454617563.2,652,0.006447050254791975,0.0013
0.779118001461029,102,3.02,-116786.01349522,1272,0.0,0.02299029752612114,840000,1.0,9440589672.0,660,0.00990473385900259,0.0013
0.7805665135383606,103,3.01,-116689.29712105001,1272,0.0,0.03744681924581528,850000,1.0,9432689323.2,667,0.007571700029075146,0.0013
0.781009316444397,104,3.0,-116589.61205634,1272,1.1920928955078125e-07,0.025415003299713135,860000,1.0,9423315417.6,675,0.0093351099640131,0.0013
0.7822201251983643,106,3.02,-116774.38732228999,1270,-1.1920928955078125e-07,0.03546041250228882,870000,1.0,9401125760.0,684,0.006211027503013611,0.0013
0.7795246839523315,107,3.05,-117067.32744618999,1271,5.960464477539063e-08,0.012551852501928806,880000,1.0,9391955467.2,692,0.009820699691772461,0.0013
0.7793772220611572,108,3.01,-116676.75973598001,1271,0.0,0.04809904843568802,890000,1.0,9387787681.6,700,0.008885844610631466,0.0013
0.7784207463264465,109,3.0,-116572.42775157999,1271,0.0,0.04002942144870758,900000,1.0,9368473734.4,707,0.008730316534638405,0.0013
0.7788098454475403,111,3.01,-116704.96885585,1269,-1.1920928955078125e-07,0.027397073805332184,910000,1.0,12064797920.0,716,0.004317581653594971,0.0013
0.7779626846313477,112,3.01,-116691.67420539,1269,5.960464477539063e-08,0.02812836319208145,920000,1.0,9336769659.2,724,0.007799935527145863,0.0013
0.7785225510597229,113,3.36,-121154.30843765,1269,-2.384185791015625e-07,0.054951153695583344,930000,1.0,12929035166.4,732,0.008093919605016708,0.0013
0.7786825299263,114,3.03,-116915.67966367998,1270,-1.1920928955078125e-07,0.058207690715789795,940000,1.0,22397891244.8,740,0.008256024681031704,0.0013
0.7786622643470764,115,3.02,-116787.78561838,1270,-1.1920928955078125e-07,0.04975711554288864,950000,1.0,13219117392.0,747,0.009061173535883427,0.0013
0.778643012046814,117,3.0,-116579.00667991003,1268,0.0,0.044532038271427155,960000,1.0,9672905204.8,756,0.006280353758484125,0.0013
0.7802202701568604,118,3.05,-117071.57542691,1268,0.0,0.016152318567037582,970000,1.0,9283267643.2,764,0.007471248507499695,0.0013
0.7800352573394775,119,3.05,-117064.08389621001,1268,0.0,0.014977311715483665,980000,1.0,9286213497.6,772,0.006267540622502565,0.0013
0.7804554104804993,120,3.06,-117206.49481140001,1268,0.0,0.07692143321037292,990000,1.0,9976742270.4,780,0.009800990112125874,0.0013
0.7789542078971863,122,3.12,-117756.95517332,1267,-1.1920928955078125e-07,0.004098399542272091,1000000,1.0,9300647102.4,789,0.006563288159668446,0.0013
