train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/fps,train/clip_range,train/explained_variance,train/std,rollout/ep_len_mean,train/value_loss,rollout/ep_rew_mean
0.0010798019,1302754816.0,790,-0.00177743720523722,0.0,650000,0.0003,417,-12.621835021674633,1557,0.2,-1.1920928955078125e-07,0.9835401177406311,48.85,2811235241.9,-167341.63515664
0.0008129099,1581445888.0,800,-0.001226001502982399,0.0,660000,0.0003,423,-12.6198910176754,1559,0.2,0.0,0.9834624528884888,51.84,3046608684.2,-177737.36474091
0.00043632067,1013297728.0,810,-0.0009847668772636098,0.0,670000,0.0003,429,-12.618820171803236,1561,0.2,0.0,0.9833307266235352,48.74,2782637823.4,-168962.63590457
0.00044528695,1491609344.0,830,-0.0010324979885808715,0.0,680000,0.0003,437,-12.611696004867554,1553,0.2,-2.384185791015625e-07,0.9825066328048706,56.53,2822449408.9,-186477.98062246
0.0007633915,1727244288.0,840,-0.0011347281069902238,0.0,690000,0.0003,443,-12.611284000426531,1555,0.2,0.0,0.9826623201370239,46.82,2905492571.1,-162604.07358913
0.00084943033,1339978880.0,850,-0.0012586046739670564,0.0,700000,0.0003,449,-12.61206783056259,1557,0.2,0.0,0.9826744794845581,50.17,2994848260.5,-168154.25297147
0.0006066732,1258870272.0,860,-0.001189129598242289,0.0,710000,0.0003,455,-12.609188157320023,1559,0.2,0.0,0.9820083975791931,51.5,2693691500.8,-162055.39563152
0.00083197944,1371899264.0,870,-0.0013115271333845157,0.0,720000,0.0003,461,-12.604222721606494,1560,0.2,5.960464477539063e-08,0.9816213250160217,51.36,2565589194.0,-169198.38534972002
0.0014994774,1293250048.0,890,-0.0018397771420495701,0.000146484375,730000,0.0003,469,-12.6030886054039,1553,0.2,0.0,0.9816262722015381,53.09,2823981726.6,-176039.96022017996
0.00048568676,1348999936.0,900,-0.0010772482619358925,0.0,740000,0.0003,475,-12.60126260742545,1555,0.2,5.960464477539063e-08,0.9813947677612305,51.24,2832670033.6,-176011.8439032
0.00066518376,1223372928.0,910,-0.0012439287635970687,0.0,750000,0.0003,481,-12.60268753990531,1557,0.2,0.0,0.981938362121582,46.54,2791159730.1,-171420.87704517003
0.0008226391,1560672128.0,920,-0.0012485458770242984,0.0,760000,0.0003,487,-12.601341635733842,1558,0.2,0.0,0.9811127781867981,54.91,3096406235.5,-174451.24888317997
0.0002811182,1339836288.0,930,-0.0009384244696775568,0.0,770000,0.0003,493,-12.59558527469635,1560,0.2,0.0,0.9806827902793884,49.3,2810799252.4,-158922.05477791003
0.0008279871,1272843008.0,950,-0.001338556140945002,1.220703125e-05,780000,0.0003,502,-12.586492662876845,1553,0.2,0.0,0.9799628853797913,51.39,2748616843.2,-164776.88593088998
0.00067448406,1237435392.0,960,-0.0010952118884233642,0.0,790000,0.0003,507,-12.584501343220472,1555,0.2,0.0,0.9794182181358337,52.15,2773275962.3,-176181.44318269004
0.00058267824,1308256384.0,970,-0.0010773674912343267,0.0,800000,0.0003,513,-12.579838534444571,1556,0.2,-1.1920928955078125e-07,0.9789384007453918,46.8,2779406122.0,-154712.97943026002
0.00023377048,1135591680.0,980,-0.0007447195892382296,0.0,810000,0.0003,519,-12.577801148593426,1558,0.2,0.0,0.9789888858795166,46.61,2744402031.2,-158129.12533444003
0.00039878394,1675513088.0,1000,-0.0009688196922070346,0.0,820000,0.0003,528,-12.575151083618403,1551,0.2,-2.384185791015625e-07,0.9786680936813354,48.22,2908456666.3,-157418.27970184002
0.0007330708,1165542400.0,1010,-0.0013009073492867174,0.0,830000,0.0003,534,-12.572993228584528,1553,0.2,5.960464477539063e-08,0.9782497882843018,53.81,2638097496.1,-159726.51653167
0.0017650204,1151253248.0,1020,-0.001953864606912248,0.0005859375,840000,0.0003,540,-12.570783752202988,1554,0.2,0.0,0.9782006740570068,50.82,2650737404.5,-161789.22665605
0.00051550404,1403558912.0,1030,-0.0010414134476377512,0.0,850000,0.0003,546,-12.569398248195649,1556,0.2,5.960464477539063e-08,0.9779238104820251,54.85,2668361599.0,-169312.27649257
0.001163464,1310158080.0,1040,-0.001583293199473701,0.0,860000,0.0003,552,-12.565798333287239,1557,0.2,0.0,0.9774273633956909,44.72,2610561713.1,-149954.35057321
0.00033429373,1309927296.0,1060,-0.0009384439725181437,0.0,870000,0.0003,560,-12.561025933176278,1551,0.2,0.0,0.9774035215377808,51.38,2709934619.1,-165038.18114861
0.0011987532,1597325568.0,1070,-0.0016913337321966537,6.103515625e-05,880000,0.0003,566,-12.560657754540443,1553,0.2,0.0,0.9768950343132019,48.9,2697697589.7,-168255.28574652996
0.000524755,1256951808.0,1080,-0.0010346386265155162,0.0,890000,0.0003,572,-12.556755944341422,1554,0.2,0.0,0.9765937328338623,54.19,2692857936.4,-171319.18840819
0.0008890658,1555730304.0,1090,-0.0012052103873429587,1.220703125e-05,900000,0.0003,578,-12.556791019439697,1556,0.2,0.0,0.976912796497345,46.8,2639004108.1,-163260.39158365998
0.0011833552,988709760.0,1110,-0.0015834917554457205,2.44140625e-05,910000,0.0003,586,-12.550226330012084,1550,0.2,5.960464477539063e-08,0.9756890535354614,51.89,2623199206.8,-165928.3161678
0.0015300564,1132916480.0,1120,-0.0019914412907382937,0.00013427734375,920000,0.0003,592,-12.545366191118955,1551,0.2,0.0,0.975386917591095,51.55,2604951969.7,-162087.33427678
0.0008512781,1609153920.0,1130,-0.0012344525046501075,0.0,930000,0.0003,598,-12.541440758109093,1553,0.2,-1.1920928955078125e-07,0.9748499393463135,58.81,2672071388.2,-182330.28917303
0.0010127047,1268149120.0,1140,-0.0014629380753831355,4.8828125e-05,940000,0.0003,604,-12.538472463190555,1554,0.2,0.0,0.9747603535652161,51.15,2629009111.5,-147933.88825954
0.000997232,1451429632.0,1150,-0.0015050180463731522,4.8828125e-05,950000,0.0003,610,-12.535615292191505,1555,0.2,0.0,0.974212646484375,49.26,2484292803.8,-162673.921074
0.0007219679,1241046016.0,1170,-0.0011915152479559765,1.220703125e-05,960000,0.0003,619,-12.528981118649245,1550,0.2,0.0,0.973686933517456,53.45,2709462760.1,-164345.04119213
0.001830943,1243505664.0,1180,-0.0017328376527075307,0.0006103515625,970000,0.0003,625,-12.527001410722733,1551,0.2,-1.1920928955078125e-07,0.9734466075897217,54.79,2596363858.5,-164090.84864995
0.0016273628,1251152384.0,1190,-0.001680477886384324,0.00020751953125,980000,0.0003,631,-12.526189429312945,1552,0.2,5.960464477539063e-08,0.9734938740730286,52.06,2419423376.8,-158155.80778884
0.0018732174,1069918144.0,1200,-0.0018223522867629072,0.0006103515625,990000,0.0003,637,-12.524422773718834,1553,0.2,0.0,0.9730712175369263,45.72,2500807720.5,-141253.95277105
0.0012411742,1558404608.0,1220,-0.0015367657011665869,4.8828125e-05,1000000,0.0003,645,-12.51939804404974,1548,0.2,5.960464477539063e-08,0.9726380109786987,54.36,2555527063.2,-169010.94639163
