time/episodes,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,time/total_timesteps,train/ent_coef_loss,train/n_updates
117419,0.0055,3744622.5,-135138.42939294997,199,5.1,3404,74.01892852783203,107526.0546875,680000,11.472753524780273,169974
119197,0.0055,2678748.0,-133857.15681531,199,5.07,3456,51.03372573852539,105817.3125,690000,1.8353936672210693,172474
121092,0.0055,12544581.0,-135444.88989219998,199,5.18,3509,95.27086639404297,107922.453125,700000,42.36237335205078,174974
122743,0.0055,35181860.0,-134140.02206547002,199,5.08,3562,90.05929565429688,114050.4375,710000,27.213165283203125,177474
124642,0.0055,8940850.0,-141809.59204853,199,5.7,3614,14.594047546386719,109323.0,720000,-30.5849552154541,179974
126423,0.0055,1042935.875,-132997.07777407998,199,5.02,3667,13.147680282592773,105497.84375,730000,4.676538467407227,182474
128327,0.0055,1550155.125,-132798.93840208,198,5.0,3720,7.496274948120117,105981.328125,740000,-0.36663389205932617,184974
130150,0.0055,581693.875,-133970.14375527,198,5.19,3772,10.953840255737305,105978.203125,750000,3.4742889404296875,187474
131539,0.0055,48949708.0,-174114.91115936,198,9.11,3825,563.7255859375,139186.5,760000,5.68845272064209,189974
132500,0.0055,8385253.0,-143538.20002845,198,6.44,3877,69.88482666015625,114109.265625,770000,30.99741554260254,192474
134477,0.0055,3549847.0,-132961.64742962,198,5.01,3930,17.577781677246094,107222.59375,780000,0.2639906406402588,194974
136435,0.0055,3151890.5,-134095.49653528,198,5.21,3983,14.04697036743164,103472.109375,790000,0.9336373805999756,197474
138360,0.0055,1026151.625,-139515.92417379998,198,5.97,4035,12.86664867401123,105757.359375,800000,-3.3340795040130615,199974
139370,0.0055,558788352.0,-154258.8327444,198,6.89,4088,1719.2896728515625,223134.640625,810000,15.689803123474121,202474
140984,0.0055,16415497.0,-134611.30257905,198,5.08,4140,86.33605194091797,125320.953125,820000,28.47475242614746,204974
142750,0.0055,76865832.0,-306973.15913136,197,15.29,4193,36.84075164794922,146859.21875,830000,-39.33854675292969,207474
144362,0.0055,7058019.0,-133370.22091228,197,5.0,4245,28.630455017089844,114395.203125,840000,1.927391529083252,209974
146094,0.0055,11822719.0,-137993.52627485,197,5.45,4298,59.31130599975586,111783.8515625,850000,22.299291610717773,212474
148077,0.0055,2416464.0,-133125.9788601,197,5.03,4351,14.98300838470459,108523.46875,860000,3.213874340057373,214974
149844,0.0055,542275712.0,-269352.38879584,197,12.06,4403,142.92176818847656,159014.78125,870000,-165.41310119628906,217474
151009,0.0055,7184425.0,-139590.89565159,197,5.85,4456,93.12549591064453,117610.984375,880000,16.23832130432129,219974
152806,0.0055,3342810.25,-137539.75492222997,197,5.5,4508,70.37623596191406,111841.3125,890000,8.761709213256836,222474
154752,0.0055,3696230.0,-134097.52390568,197,5.06,4561,54.00630187988281,109207.484375,900000,0.9792712926864624,224974
156614,0.0055,11989620.0,-135469.35319449,197,5.09,4614,93.53504943847656,111722.4375,910000,9.541213035583496,227474
158578,0.0055,2529312.0,-133971.01707484003,197,5.01,4666,70.15959167480469,108548.890625,920000,5.169133186340332,229974
159982,0.0055,12391871.0,-135160.00326896002,197,5.04,4719,139.54782104492188,118440.9453125,930000,13.527615547180176,232474
161848,0.0055,31196224.0,-150454.48531800997,196,6.32,4771,73.04176330566406,121335.078125,940000,-59.79690933227539,234974
163707,0.0055,4699632.0,-133763.40548478995,196,5.02,4824,47.234867095947266,108842.34375,950000,4.579462051391602,237474
165360,0.0055,38793660.0,-322331.1031925499,196,12.07,4876,232.78253173828125,139820.203125,960000,-63.28231430053711,239974
166860,0.0055,12578840.0,-154784.38527603,196,6.89,4929,187.69073486328125,118177.359375,970000,53.94145965576172,242474
168845,0.0055,3631632.0,-133453.77237688,196,5.0,4982,30.554624557495117,108947.296875,980000,13.51573371887207,244974
170513,0.0055,11270476.0,-134031.83739729002,196,5.01,5034,61.08393478393555,112175.265625,990000,15.403904914855957,247474
172359,0.0055,5829274.0,-133804.66821098,196,5.0,5087,36.286930084228516,109824.390625,1000000,-3.201733350753784,249974
