train/value_loss,train/approx_kl,time/total_timesteps,train/learning_rate,train/n_updates,train/explained_variance,time/time_elapsed,train/entropy_loss,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/loss,train/std
3728132729.6,0.0008770722,420000,0.0003,510,0.0,478,-16.968420943617822,878,-0.0014211432588126626,70.77,0.0,-267927.06690828997,0.2,2083484928.0,0.9952329993247986
3998921767.2,0.0004948838,430000,0.0003,520,1.1920928955078125e-07,488,-16.96722728610039,880,-0.0009779495582733944,70.9,0.0,-271510.50820042,0.2,2214120448.0,0.9948247075080872
3652389764.0,0.0010976943,440000,0.0003,530,2.384185791015625e-07,499,-16.96553634852171,881,-0.0016175737051526084,60.5,0.0,-236661.47696686993,0.2,1843693312.0,0.994962751865387
3788301287.0,0.000848845,450000,0.0003,540,0.0,509,-16.96721448302269,883,-0.0013519825442017464,69.82,0.0,-259419.72365571998,0.2,1998408064.0,0.9950997829437256
3650168731.6,0.0013858771,460000,0.0003,560,1.1920928955078125e-07,524,-16.963981419801712,876,-0.0018232726817586809,77.13,6.103515625e-05,-283722.19946378993,0.2,2120273792.0,0.9947389960289001
3662730136.4,0.0008282858,470000,0.0003,570,1.1920928955078125e-07,535,-16.96227887570858,878,-0.0014998357662989292,75.93,0.0,-278705.40117364,0.2,2018702336.0,0.9944911003112793
3556542881.4,0.0006844468,480000,0.0003,580,0.0,545,-16.959581089019775,879,-0.0011560864326384036,72.35,0.0,-267664.03756793,0.2,1971313920.0,0.9943161010742188
3641446479.8,0.0015746576,490000,0.0003,590,0.0,556,-16.957242462038995,881,-0.002293538875346712,74.17,6.103515625e-05,-265185.72423386,0.2,1674981248.0,0.9941146373748779
3883643745.4,0.0008793115,500000,0.0003,610,-1.1920928955078125e-07,571,-16.948365215957164,875,-0.0014181046457451886,76.6,0.0,-285167.43208897,0.2,1805982976.0,0.9932135939598083
3443524823.8,0.0007799446,510000,0.0003,620,0.0,581,-16.944417425990103,876,-0.0012507585994171676,66.42,0.0,-240037.39077971,0.2,1487368192.0,0.9930756688117981
3631311616.2,0.0006501538,520000,0.0003,630,0.0,592,-16.941918081045152,878,-0.0012650849791043584,65.81,0.0,-247055.80117633005,0.2,1939839488.0,0.9927811622619629
3751416936.2,0.00083111844,530000,0.0003,640,-1.1920928955078125e-07,602,-16.94009535461664,879,-0.0013445316082652426,76.14,1.220703125e-05,-273588.71946793003,0.2,1840772096.0,0.9927926063537598
3311792804.6,0.0005500647,540000,0.0003,650,0.0,613,-16.94040153771639,880,-0.0010695462144212798,70.89,0.0,-265865.52353287,0.2,1782363904.0,0.9928295612335205
3606236688.6,0.00064939784,550000,0.0003,670,-2.384185791015625e-07,628,-16.935529759526254,875,-0.001280643653808511,68.99,0.0,-247618.51001161,0.2,1753874432.0,0.9923214912414551
3679903897.2,0.0007235502,560000,0.0003,680,1.1920928955078125e-07,638,-16.935105431079865,876,-0.0013079314396236442,70.74,0.0,-253694.57363078996,0.2,1712384768.0,0.9924349188804626
3366972308.2,0.0010840712,570000,0.0003,690,1.1920928955078125e-07,649,-16.936235278844833,878,-0.0016397986934862275,71.22,6.103515625e-05,-264712.93503525003,0.2,1680562944.0,0.9925012588500977
3628234825.0,0.00077985565,580000,0.0003,700,1.1920928955078125e-07,659,-16.93582802861929,879,-0.0014054448665774544,83.87,0.0,-287205.43800624,0.2,1659956736.0,0.9923664927482605
3569693060.0,0.00065469,590000,0.0003,720,0.0,674,-16.931406174600124,874,-0.0013486754403857048,70.62,0.0,-262020.6980633,0.2,1650279424.0,0.9919354319572449
3317107140.2,0.0020921887,600000,0.0003,730,0.0,685,-16.928079046308994,875,-0.0025639336341555462,70.93,0.0004150390625,-249435.88719521,0.2,1293107456.0,0.9916554093360901
3410310239.4,0.0011184725,610000,0.0003,740,0.0,695,-16.927116398513316,876,-0.0015536139071627986,73.1,1.220703125e-05,-256061.54284413002,0.2,1851855744.0,0.9917836785316467
3295862601.8,0.00081015675,620000,0.0003,750,-1.1920928955078125e-07,706,-16.926346054673196,878,-0.001371824813213607,58.08,0.0,-221473.56581025003,0.2,1717006592.0,0.9915232062339783
3479831878.0,0.0013631089,630000,0.0003,760,0.0,716,-16.92296593338251,879,-0.0019554078458895673,63.82,3.662109375e-05,-241708.47928134003,0.2,1745404032.0,0.9912331104278564
3518750093.4,0.0011034894,640000,0.0003,780,-1.1920928955078125e-07,731,-16.91840134114027,874,-0.0016341938891855535,76.23,3.662109375e-05,-274109.19784927997,0.2,1581207296.0,0.9909138679504395
3466990231.8,0.0004294538,650000,0.0003,790,-1.1920928955078125e-07,742,-16.916752815246582,875,-0.0010399971908555017,69.24,0.0,-248241.87160069004,0.2,1591804672.0,0.9908276200294495
3496805070.6,0.0012077581,660000,0.0003,800,-1.1920928955078125e-07,752,-16.916367328166963,876,-0.0019106838533843983,65.32,1.220703125e-05,-239527.69072959,0.2,1456391040.0,0.9908506274223328
3295710055.4,0.0020798887,670000,0.0003,810,0.0,763,-16.918084566295146,877,-0.0028962512358248205,71.95,0.000634765625,-248748.83972767997,0.2,1744173056.0,0.9911016821861267
3331637526.1,0.00085518806,680000,0.0003,830,-1.1920928955078125e-07,778,-16.916041369736195,873,-0.001465967109106714,57.32,0.0,-206261.29645338,0.2,1727235328.0,0.9908357262611389
3147826940.6,0.0013077188,690000,0.0003,840,1.7881393432617188e-07,788,-16.914585511386395,874,-0.0017890700310090324,67.59,7.32421875e-05,-230857.76702345,0.2,1499710976.0,0.9905534386634827
3432122041.4,0.0009225359,700000,0.0003,850,0.0,799,-16.9111559599638,875,-0.001532069950371806,66.85,1.220703125e-05,-235106.81642683997,0.2,1749572352.0,0.9902707934379578
3458810372.6,0.0006445213,710000,0.0003,860,1.1920928955078125e-07,809,-16.90693852156401,876,-0.0011546501897100824,73.3,0.0,-253894.29590408996,0.2,1642403328.0,0.9898630976676941
3122153341.8,0.0008676399,720000,0.0003,870,0.0,820,-16.903295493125917,877,-0.0013688545779587003,65.13,0.0,-221259.51749820999,0.2,1520351744.0,0.9896473288536072
3218567487.0,0.00077008875,730000,0.0003,890,1.1920928955078125e-07,835,-16.894230486452578,873,-0.0014813145522566628,78.51,1.220703125e-05,-268507.36339984,0.2,1616128256.0,0.9887966513633728
3081684932.2,0.0008543336,740000,0.0003,900,0.0,846,-16.890580374002457,874,-0.001379357535734016,72.04,0.0,-246416.21215979996,0.2,1478121088.0,0.9886436462402344
3190799041.0,0.0012489759,750000,0.0003,910,-2.384185791015625e-07,856,-16.888231709599495,875,-0.0017037245530445943,71.8,3.662109375e-05,-246202.08406612006,0.2,1740219904.0,0.9884040355682373
3320508585.4,0.0019661007,760000,0.0003,920,2.384185791015625e-07,867,-16.88639073818922,876,-0.0025114415017014834,72.81,0.00057373046875,-237540.53566400998,0.2,1473298816.0,0.9883196353912354
