rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/std,time/time_elapsed,train/policy_loss,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/learning_rate
-847718.8147429,34999,-21.847440719604492,1.5038257837295532,587,-880904.375,1192,700000,5.960464477539063e-08,2035606528.0,51.99,0.0007
-765284.33338225,35499,-21.862897872924805,1.505578875541687,594,-1056082.5,1193,710000,0.0,2890967040.0,50.69,0.0007
-395071.5054759099,35999,-21.916425704956055,1.512363314628601,608,-1059870.125,1184,720000,0.0,3151356416.0,27.05,0.0007
-451610.28795314016,36499,-21.989620208740234,1.5216865539550781,625,-1209106.0,1167,730000,0.0,3606350592.0,26.46,0.0007
-463308.3261593799,36999,-22.158021926879883,1.5431952476501465,632,-700856.625,1169,740000,2.980232238769531e-07,1279007744.0,33.12,0.0007
-468128.21408899,37499,-22.279159545898438,1.5595976114273071,640,-878013.5,1171,750000,5.960464477539063e-08,2341407232.0,27.9,0.0007
-566166.6386135,37999,-22.37432289123535,1.572243571281433,648,-917446.8125,1172,760000,0.0,2175483392.0,36.8,0.0007
-1221983.31153242,38499,-22.47132682800293,1.5858169794082642,655,-774834.75,1174,770000,0.0,1490897024.0,71.32,0.0007
-578761.6241405001,38999,-22.502880096435547,1.5904269218444824,663,-929688.6875,1176,780000,0.0,2444985856.0,38.87,0.0007
-651412.4735812799,39499,-22.623836517333984,1.6080107688903809,670,-1218884.5,1178,790000,1.1920928955078125e-07,4198530560.0,44.5,0.0007
-914123.7850527001,39999,-22.68402671813965,1.6167632341384888,678,-954748.0,1179,800000,-1.1920928955078125e-07,2244424960.0,55.19,0.0007
-487454.00092171005,40499,-22.797391891479492,1.62965726852417,685,-1174953.25,1181,810000,1.1920928955078125e-07,3678478848.0,32.78,0.0007
-581971.7075745701,40999,-22.950973510742188,1.6507883071899414,693,-900560.8125,1183,820000,-1.1920928955078125e-07,2004314752.0,38.4,0.0007
-1575848.0755870896,41499,-23.039384841918945,1.6622294187545776,700,-1100246.375,1184,830000,1.7881393432617188e-07,3631014656.0,93.77,0.0007
-673584.52969357,41999,-23.069156646728516,1.6664652824401855,707,-995972.0,1187,840000,0.0,2684657664.0,39.11,0.0007
-689363.0884119199,42499,-23.206693649291992,1.6872445344924927,714,-1256321.75,1189,850000,-1.1920928955078125e-07,4619532800.0,45.03,0.0007
-730547.67148375,42999,-23.327131271362305,1.7032874822616577,721,-851593.3125,1191,860000,-1.1920928955078125e-07,1692552448.0,48.31,0.0007
