train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/value_loss,train/n_updates,train/std,train/explained_variance,time/fps,time/time_elapsed
-16927.642578125,710000,-162688.61234408998,0.0007,-10.341582298278809,109.82,20197182.0,35499,1.3677653074264526,0.0,1597,444
33504.3671875,720000,-83484.93124251999,0.0007,-10.327658653259277,89.89,68743888.0,35999,1.363371729850769,0.0,1597,450
-58695.94921875,730000,-60972.32566375,0.0007,-10.377602577209473,80.78,193380288.0,36499,1.3752493858337402,1.1920928955078125e-07,1597,457
261147.046875,740000,-141244.20656990004,0.0007,-10.439810752868652,106.42,2504235520.0,36999,1.391883373260498,5.960464477539063e-08,1596,463
19060.17578125,750000,-88062.20519574,0.0007,-10.397928237915039,71.7,56372216.0,37499,1.3837518692016602,-1.1920928955078125e-07,1596,469
-43153.6875,760000,-105096.73305531,0.0007,-10.390970230102539,102.09,64631080.0,37999,1.3825769424438477,0.0,1596,475
7520.0615234375,770000,-46857.31284173,0.0007,-10.408241271972656,74.21,1699029.0,38499,1.3880925178527832,1.1920928955078125e-07,1597,482
-90451.0859375,780000,-46577.797566190005,0.0007,-10.32236385345459,84.39,1088722432.0,38999,1.3692220449447632,0.0,1597,488
-77434.453125,790000,-40797.39317003999,0.0007,-10.377860069274902,70.13,184126288.0,39499,1.3801875114440918,-1.1920928955078125e-07,1598,494
-316156.40625,800000,-81032.56345605999,0.0007,-10.421418190002441,113.97,2889607424.0,39999,1.3902541399002075,0.0,1598,500
35558.96484375,810000,-96948.29808987999,0.0007,-10.4277925491333,27.9,56914360.0,40499,1.3933645486831665,-1.1920928955078125e-07,1598,506
3247.65185546875,820000,-112725.76342089,0.0007,-10.426590919494629,60.06,380939.09375,40999,1.393518090248108,0.0,1599,512
-112045.296875,830000,-171751.00063336,0.0007,-10.469498634338379,98.51,257254480.0,41499,1.4047573804855347,0.0,1599,518
-30201.84375,840000,-127453.66099368001,0.0007,-10.479723930358887,42.66,26768948.0,41999,1.408774733543396,-1.1920928955078125e-07,1600,524
-80039.453125,850000,-74863.54737353999,0.0007,-10.547386169433594,21.51,140446848.0,42499,1.4253586530685425,-1.1920928955078125e-07,1600,531
-271547.65625,860000,-98816.38444726002,0.0007,-10.539060592651367,34.45,3239016704.0,42999,1.4224872589111328,0.0,1600,537
-1059.94775390625,870000,-125816.87152341001,0.0007,-10.578527450561523,53.52,18544.025390625,43499,1.433667540550232,2.384185791015625e-07,1600,543
-100529.8515625,880000,-87367.01135608999,0.0007,-10.650583267211914,115.36,233791872.0,43999,1.4497671127319336,0.0,1599,550
-6350.43505859375,890000,-215728.16830995,0.0007,-10.712273597717285,144.66,5028670.5,44499,1.466931939125061,0.0,1599,556
-27157.67578125,900000,-173479.30940439994,0.0007,-10.767671585083008,118.74,24622138.0,44999,1.4850021600723267,0.0,1599,562
-275858.0,910000,-148770.20687621,0.0007,-10.90087604522705,125.48,1982698240.0,45499,1.518284797668457,0.0,1599,569
-20546.658203125,920000,-51578.44751102001,0.0007,-10.947237014770508,104.57,515194624.0,45999,1.5281729698181152,0.0,1598,575
-247469.40625,930000,-47852.75997885,0.0007,-10.955533981323242,96.93,772981440.0,46499,1.5322637557983398,-1.1920928955078125e-07,1598,581
-649625.4375,940000,-928414.8832092199,0.0007,-10.926162719726562,125.59,4346641408.0,46999,1.5250033140182495,1.7881393432617188e-07,1598,588
37166.14453125,950000,-1529776.3318436996,0.0007,-10.962782859802246,142.64,47651700.0,47499,1.5387029647827148,2.384185791015625e-07,1597,594
-90232.546875,960000,-65395.04553929001,0.0007,-10.988664627075195,104.83,971724992.0,47999,1.5439019203186035,2.384185791015625e-07,1597,600
-704.131103515625,970000,-195144.49071425002,0.0007,-10.930529594421387,125.07,9754.505859375,48499,1.52896249294281,1.1920928955078125e-07,1596,607
-5819.71435546875,980000,-180812.27837748,0.0007,-10.942437171936035,104.33,5127902.5,48999,1.531834602355957,0.0,1595,614
-58387.11328125,990000,-97462.71837555998,0.0007,-10.979231834411621,84.04,143649872.0,49499,1.543388843536377,0.0,1593,621
-63601.73046875,1000000,-87886.28479536,0.0007,-10.966544151306152,123.92,47592724.0,49999,1.5399287939071655,-1.1920928955078125e-07,1591,628
