train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/std,rollout/ep_len_mean,train/clip_range,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/fps
1298949769.1,-235250.90942501999,-0.0025962025227272536,606441280.0,0.9765394926071167,125.92,0.2,512,0.0003,0.0023263248,0.00465087890625,700000,850,5.960464477539063e-08,-12.557849198579788,1365
1461120943.65,-210562.36385965996,-0.003140170315782598,602314240.0,0.9758919477462769,105.41,0.2,519,0.0003,0.0026118108,0.0068359375,710000,860,0.0,-12.551849570125341,1367
1290590656.15,-209420.99845741,-0.0025948228863853728,425768576.0,0.9754841923713684,110.08,0.2,526,0.0003,0.002700034,0.008349609375,720000,870,0.0,-12.547157614678145,1368
1409100640.85,-207474.68006805002,-0.0020692288330792508,731660032.0,0.9755537509918213,106.26,0.2,536,0.0003,0.0021843908,0.0054931640625,730000,890,0.0,-12.54352388381958,1361
1296091870.85,-223723.93061343997,-0.00238069967545016,693301632.0,0.9756059646606445,122.88,0.2,542,0.0003,0.0027578427,0.00372314453125,740000,900,5.960464477539063e-08,-12.545756473392249,1363
1289867111.65,-225980.9397404,-0.0015477509870834183,889455744.0,0.9754300713539124,121.06,0.2,549,0.0003,0.0014335196,0.00120849609375,750000,910,0.0,-12.544840265810489,1364
1334532069.9,-219630.80842294,-0.002925363583563012,783929024.0,0.9756197333335876,119.37,0.2,556,0.0003,0.002540079,0.0061767578125,760000,920,0.0,-12.545160231739283,1365
1225800226.9,-211222.09246643996,-0.002808853833266767,570980864.0,0.9758304953575134,118.74,0.2,563,0.0003,0.0030843494,0.0099609375,770000,930,-1.1920928955078125e-07,-12.546989344060421,1366
1435896083.1,-191183.71678016998,-0.0033401906341168795,800795584.0,0.9759303331375122,95.24,0.2,573,0.0003,0.0030621048,0.0072265625,780000,950,0.0,-12.547469671070576,1360
1357046273.1,-219840.86544043,-0.003190670185540512,637191296.0,0.9755849838256836,118.65,0.2,580,0.0003,0.002896694,0.01007080078125,790000,960,0.0,-12.547135124355554,1361
1178220744.25,-213319.9098713,-0.0034177504823674097,439381440.0,0.9753581285476685,121.96,0.2,586,0.0003,0.003169793,0.011279296875,800000,970,0.0,-12.544103622436523,1363
1354224655.85,-207528.48473704996,-0.0024704028708583793,778289792.0,0.9745861887931824,113.27,0.2,593,0.0003,0.0027947067,0.00699462890625,810000,980,-1.1920928955078125e-07,-12.539284158498049,1364
1302018716.75,-218098.93912227996,-0.002409493523737183,942222720.0,0.9726855158805847,117.88,0.2,603,0.0003,0.0019551548,0.0041259765625,820000,1000,-1.1920928955078125e-07,-12.522951501607896,1358
1251886809.575,-186956.50912854998,-0.0031979959525415325,564895104.0,0.9720708131790161,108.06,0.2,610,0.0003,0.003294913,0.01011962890625,830000,1010,5.960464477539063e-08,-12.51541825607419,1359
