train/explained_variance,train/std,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,time/total_timesteps,train/n_updates,train/kl_divergence_loss
-1.1920928955078125e-07,0.8616124987602234,0.06919070333242416,933.88,0.0013,24322304.09511719,-48661.04573945,3374,171,1.0,580000,70,0.008281469345092773
0.0,0.8596088290214539,0.041887640953063965,936.39,0.0013,17652214.101855468,-50488.23346891001,3360,175,1.0,590000,72,0.008708865381777287
0.0,0.8555796146392822,0.046881724148988724,939.98,0.0013,6680807.189257813,-54196.61391767001,3363,178,1.0,600000,73,0.008920982480049133
0.0,0.8564907312393188,0.050748735666275024,946.3,0.0013,1646554.4420898438,-51525.80614767999,3359,181,1.0,610000,74,0.009121420793235302
-1.1920928955078125e-07,0.8570666909217834,0.15825723111629486,947.61,0.0013,15920461.640087891,-50211.813561489995,3357,184,1.0,620000,75,0.008873111568391323
-1.1920928955078125e-07,0.8562166094779968,0.03407812491059303,953.46,0.0013,42763395.165820315,-48711.18869127,3361,187,1.0,630000,76,0.006058504339307547
0.0,0.853387176990509,0.05097097530961037,929.44,0.0013,36700541.962890625,-49511.17748833001,3343,191,1.0,640000,78,0.00846404954791069
0.0,0.8529269099235535,0.06710077822208405,933.37,0.0013,24032437.92714844,-51725.97798514999,3340,194,1.0,650000,79,0.008358721621334553
-1.1920928955078125e-07,0.8550732135772705,0.06262337416410446,921.54,0.0013,133050656.5203125,-57495.44948779,3339,197,1.0,660000,80,0.00887115765362978
0.0,0.8538654446601868,0.0332825668156147,912.51,0.0013,14280142.452636719,-56426.328597010004,3339,200,1.0,670000,81,0.006901262328028679
0.0,0.8506200313568115,0.06049785017967224,840.49,0.0013,773341718.125,-82251.1494519,3320,204,1.0,680000,83,0.009685687720775604
0.0,0.847468912601471,0.04212294518947601,791.28,0.0013,79244962.9328125,-93052.37171229001,3320,207,1.0,690000,84,0.007834549993276596
5.960464477539063e-08,0.8527355790138245,0.05133860930800438,800.25,0.0013,29750515.66152344,-90565.97557659,3324,210,1.0,700000,85,0.008001107722520828
0.0,0.8508054614067078,0.03930428624153137,801.11,0.0013,26194243.21953125,-88602.82951016999,3326,213,1.0,710000,86,0.008406669832766056
