time/fps,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean
152,370,9.17,310000,0.999251127243042,0.2,-17.018357771635056,-0.0008561620919863344,18918433935.2,9244489728.0,0.0003,0.0005585351,0.0,5.960464477539063e-08,2026,-191843.74563576002
156,390,7.85,320000,0.9992969632148743,0.2,-17.019159427285196,-0.00130633701064653,18696143125.6,8310635520.0,0.0003,0.0007686048,0.0,-1.1920928955078125e-07,2044,-167311.29306988002
160,400,7.99,330000,0.9991884231567383,0.2,-17.0181380584836,-0.0011743581733753671,18615258656.8,12324828160.0,0.0003,0.00071220804,0.0,-1.1920928955078125e-07,2056,-170276.54037709997
164,410,7.62,340000,0.9991965889930725,0.2,-17.017513270676137,-0.00023681569127802503,21688072916.0,9618481152.0,0.0003,0.00011645121,0.0,0.0,2068,-164055.45095532
168,420,7.98,350000,0.999026358127594,0.2,-17.01658063232899,-0.0006982291888562031,22106947381.6,11883359232.0,0.0003,0.00041602756,0.0,1.1920928955078125e-07,2080,-169480.76001356
172,430,7.34,360000,0.9990870952606201,0.2,-17.015926441550256,-0.0006659327136048887,21403464704.0,9378009088.0,0.0003,0.0003585333,0.0,-1.1920928955078125e-07,2092,-160367.04760805
175,450,7.91,370000,0.9991114139556885,0.2,-17.015779007971286,-0.001117314496787003,18704280433.6,7002936320.0,0.0003,0.0007309278,0.0,5.960464477539063e-08,2110,-165800.22916805002
179,460,8.62,380000,0.9991080164909363,0.2,-17.016581465303897,-0.000632616728398716,19595444479.2,10702835712.0,0.0003,0.0004131336,0.0,5.960464477539063e-08,2122,-181724.78748245002
182,470,7.75,390000,0.9991557598114014,0.2,-17.016737122833728,-0.0008732937592867529,18466785553.6,9323795456.0,0.0003,0.00056229904,0.0,-1.1920928955078125e-07,2134,-163668.88998078997
186,480,8.72,400000,0.9990234971046448,0.2,-17.016246449947356,-0.0008584998044170788,19964205242.4,9051918336.0,0.0003,0.0004753615,0.0,1.1920928955078125e-07,2147,-173250.00521578
189,500,8.35,410000,0.9988508820533752,0.2,-17.013897782564165,-0.0014993810229498195,17680742816.8,8520944128.0,0.0003,0.00096911425,0.0,0.0,2164,-172641.58137664
192,510,6.74,420000,0.9987166523933411,0.2,-17.012609450519086,-0.0012202491045172792,19000473816.8,7723755520.0,0.0003,0.00076586625,0.0,0.0,2176,-151208.86547942003
196,520,6.53,430000,0.9985873699188232,0.2,-17.011012214422227,-0.0009560244648127991,19776500359.2,9978206208.0,0.0003,0.00060544244,0.0,-1.1920928955078125e-07,2189,-144419.46945637
199,530,7.83,440000,0.9985688328742981,0.2,-17.010125248134138,-0.0006361711767567613,18462697364.8,9221774336.0,0.0003,0.00038263388,0.0,-1.1920928955078125e-07,2201,-152358.40823748
203,540,8.03,450000,0.9986293911933899,0.2,-17.010362789034843,-0.0012621818697766685,17264511853.6,8154852352.0,0.0003,0.0008420411,0.0,0.0,2213,-173404.75768462996
206,560,7.46,460000,0.9985681176185608,0.2,-17.009938828647137,-0.00027242309506618766,25715492008.0,13780328448.0,0.0003,8.705861e-05,0.0,0.0,2230,-158182.05498744
209,570,8.14,470000,0.998455286026001,0.2,-17.009265053272248,-0.001483486018696567,18495618941.6,7207478784.0,0.0003,0.0009076013,0.0,0.0,2243,-167361.49874521
212,580,6.95,480000,0.9983904361724854,0.2,-17.00820124298334,-0.0011395995687053073,18074930504.0,9403549696.0,0.0003,0.00070471334,0.0,0.0,2255,-144860.62699495998
216,590,6.74,490000,0.9984586238861084,0.2,-17.008221636712552,-0.0009352413446322317,21485739148.8,10413693952.0,0.0003,0.0005245069,0.0,0.0,2267,-150204.97215965998
218,610,7.79,500000,0.9983153939247131,0.2,-17.00719110518694,-0.0009687770795608231,20580310552.0,8888626176.0,0.0003,0.00057779957,0.0,0.0,2285,-168582.57885279
221,620,6.92,510000,0.9982215762138367,0.2,-17.00637677758932,-0.0007561910291769891,16914574243.2,11682542592.0,0.0003,0.0004891733,0.0,-1.1920928955078125e-07,2297,-152559.12478512
225,630,6.14,520000,0.998173713684082,0.2,-17.005485858023167,-0.0008271572123703663,19253877130.4,9855724544.0,0.0003,0.00048561813,0.0,1.1920928955078125e-07,2310,-136615.55605852001
228,640,6.72,530000,0.9979988932609558,0.2,-17.004234698414802,-0.0009508093555268716,18901075461.6,8094231552.0,0.0003,0.0005685673,0.0,1.1920928955078125e-07,2322,-152064.72798654
