train/value_loss,train/n_updates,time/fps,train/learning_rate,train/entropy_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps
127063424.0,32999,1643,0.0007,-17.168943405151367,1.6414892673492432,-146884.16554782,58.39,401,0.0,-85931.7109375,660000
32504778.0,33499,1644,0.0007,-17.19331169128418,1.6446818113327026,-130971.10491938,57.78,407,0.0,10178.888671875,670000
201985264.0,33999,1645,0.0007,-17.19572639465332,1.6449893712997437,-108062.56046049004,51.79,413,0.0,-120605.203125,680000
16884128.0,34499,1645,0.0007,-17.213151931762695,1.6501054763793945,-115226.30446716999,53.73,419,-3.5762786865234375e-07,-14609.7138671875,690000
4348.27099609375,34999,1646,0.0007,-17.274568557739258,1.6599652767181396,-187522.09623792997,64.28,425,0.0,-1031.2564697265625,700000
716006272.0,35499,1647,0.0007,-17.317533493041992,1.6676836013793945,-141749.40970042,76.0,430,0.0,-221743.21875,710000
1433759360.0,35999,1648,0.0007,-17.332962036132812,1.6703919172286987,-127695.30053819,83.76,436,0.0,-223316.03125,720000
24752156.0,36499,1649,0.0007,-17.37797737121582,1.6787419319152832,-162489.42265058,150.0,442,0.0,-45952.2265625,730000
8703.40234375,36999,1650,0.0007,-17.255998611450195,1.656468152999878,-113649.23507876,59.88,448,0.0,-1355.1695556640625,740000
1421595.25,37499,1650,0.0007,-17.288972854614258,1.6623203754425049,-109841.90007610999,52.79,454,0.0,9248.5888671875,750000
5175.7451171875,37999,1651,0.0007,-17.26242446899414,1.6579653024673462,-106600.65727034998,52.74,460,0.0,-735.9224853515625,760000
2401427200.0,38499,1652,0.0007,-17.28744125366211,1.6621508598327637,-121720.28005279003,95.63,466,5.960464477539063e-08,-455011.0625,770000
2114334.5,38999,1652,0.0007,-17.21041488647461,1.6477911472320557,-128039.07089536,89.47,471,1.1920928955078125e-07,9981.146484375,780000
58961836.0,39499,1653,0.0007,-17.321073532104492,1.6687227487564087,-192970.48927614,84.12,477,0.0,-55384.5546875,790000
996071616.0,39999,1653,0.0007,-17.37515640258789,1.680267095565796,-122879.67124850002,71.07,483,0.0,-230340.65625,800000
15468296.0,40499,1654,0.0007,-17.47089195251465,1.700268268585205,-107231.40221167,35.9,489,0.0,-31294.212890625,810000
579272.5625,40999,1654,0.0007,-17.479448318481445,1.702026605606079,-97094.68766986,40.28,495,0.0,4069.57275390625,820000
239155888.0,41499,1655,0.0007,-17.4710693359375,1.7014724016189575,-135852.80709851,95.43,501,1.1920928955078125e-07,-179782.84375,830000
2875830016.0,41999,1655,0.0007,-17.52472496032715,1.7121953964233398,-100310.58579666,22.25,507,0.0,-551876.125,840000
1434636032.0,42499,1655,0.0007,-17.494205474853516,1.7069047689437866,-111344.11068176998,49.82,513,0.0,-264983.1875,850000
111053.7734375,42999,1656,0.0007,-17.511632919311523,1.7110395431518555,-136723.83024925002,105.83,519,0.0,2438.92919921875,860000
157013200.0,43499,1656,0.0007,-17.57915687561035,1.7235383987426758,-144520.22934586,38.07,525,1.1920928955078125e-07,-140879.359375,870000
46910988.0,43999,1657,0.0007,-17.569562911987305,1.7234559059143066,-173508.49760632002,80.98,531,-1.1920928955078125e-07,-53286.3515625,880000
689841088.0,44499,1657,0.0007,-17.58970832824707,1.729224681854248,-109635.41542382998,36.4,536,1.1920928955078125e-07,-142410.328125,890000
491536384.0,44999,1657,0.0007,-17.55925941467285,1.7222533226013184,-132275.08620214,69.07,542,-2.384185791015625e-07,-83218.671875,900000
525248864.0,45499,1658,0.0007,-17.500507354736328,1.7122031450271606,-117821.01004699999,59.94,548,0.0,-149241.625,910000
1906529024.0,45999,1658,0.0007,-17.50029945373535,1.7145081758499146,-99270.6417215,32.68,554,0.0,-318919.0625,920000
14176094.0,46499,1658,0.0007,-17.436689376831055,1.703141689300537,-116533.87810067,46.48,560,-1.1920928955078125e-07,-23548.646484375,930000
2894478.75,46999,1659,0.0007,-17.417173385620117,1.7015340328216553,-100001.4060281,33.61,566,0.0,15588.484375,940000
5576312.0,47499,1659,0.0007,-17.496538162231445,1.7153288125991821,-160710.8005821,91.85,572,0.0,-4399.2509765625,950000
10780113.0,47999,1660,0.0007,-17.505889892578125,1.7183442115783691,-106090.45496165,58.8,578,-2.384185791015625e-07,-24380.51171875,960000
169239904.0,48499,1660,0.0007,-17.465072631835938,1.7079142332077026,-115406.27271514999,44.84,584,0.0,-127356.890625,970000
21104138.0,48999,1660,0.0007,-17.558347702026367,1.726487636566162,-131054.72208399,57.01,590,0.0,-27822.087890625,980000
11614.890625,49499,1661,0.0007,-17.563196182250977,1.7286715507507324,-153375.64827925,94.68,595,-1.1920928955078125e-07,-1465.449462890625,990000
1003348.625,49999,1661,0.0007,-17.57780647277832,1.731640100479126,-118406.18431724001,48.78,601,0.0,7932.22021484375,1000000
