train/kl_divergence_loss,train/learning_rate,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/std,train/is_line_search_success,rollout/ep_len_mean,train/policy_objective,train/n_updates
0.008396352641284466,0.0013,890000,1399,635,-101942.19832501002,837884905.9,0.0,0.8446266055107117,1.0,134.31,0.08238901942968369,108
0.008477536961436272,0.0013,900000,1400,642,-105392.21663383,674326121.45,0.0,0.8448082208633423,1.0,154.17,0.0757780522108078,109
0.008798214606940746,0.0013,910000,1398,650,-106706.66228034999,690570601.35,0.0,0.8437942266464233,1.0,157.44,0.07737628370523453,111
0.008601602166891098,0.0013,920000,1399,657,-127704.81953987,753076260.8,0.0,0.8414828181266785,1.0,168.45,0.07027892768383026,112
0.008502730168402195,0.0013,930000,1400,664,-115707.15404183,653390874.05,0.0,0.8406449556350708,1.0,164.86,0.09163154661655426,113
0.00846160389482975,0.0013,940000,1401,670,-86509.13009886,712019877.45,0.0,0.8398420810699463,1.0,151.33,0.0844680666923523,114
0.00868677906692028,0.0013,950000,1401,677,-68390.93399336,732390408.3,0.0,0.8405519127845764,1.0,148.31,0.0813588947057724,115
0.008825210854411125,0.0013,960000,1399,685,-81644.0728527,685834905.7,0.0,0.8417800068855286,1.0,159.69,0.08496150374412537,117
0.008812346495687962,0.0013,970000,1400,692,-63263.34960400999,632103485.65,0.0,0.8398637175559998,1.0,158.67,0.06450626999139786,118
0.008617883548140526,0.0013,980000,1401,699,-68133.88254185,573656429.025,1.1920928955078125e-07,0.837826132774353,1.0,175.31,0.07363472878932953,119
0.008653449825942516,0.0013,990000,1402,706,-50921.29202693999,544640301.7,0.0,0.8368930220603943,1.0,165.25,0.09165336191654205,120
0.008715445175766945,0.0013,1000000,1400,714,-70396.96455465,569033428.125,0.0,0.832764744758606,1.0,179.35,0.07671373337507248,122
