train/entropy_loss,train/explained_variance,train/n_updates,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/std,train/loss,time/fps,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean
-8.288125644624234,0.0,520,265,495031161.225,430000,-340448.84864564,0.0003,0.02178955078125,0.0048703994,0.9623000025749207,324802304.0,1616,0.2,-0.0037319199063858832,312.37
-8.282305260002612,1.1920928955078125e-07,530,271,598197533.5,440000,-375658.33404734003,0.0003,0.024951171875,0.0050216815,0.9624790549278259,386488320.0,1619,0.2,-0.004053485667827772,356.84
-8.283314798027277,0.0,540,277,556300506.5875,450000,-389993.8975558999,0.0003,0.00675048828125,0.003731581,0.9625455737113953,285296768.0,1622,0.2,-0.0021368028417782627,369.84
-8.27888947352767,0.0,560,285,607172805.625,460000,-377674.9658821001,0.0003,0.0029296875,0.0028238194,0.961435079574585,264694992.0,1608,0.2,-0.0022127203130366977,353.23
-8.27253610342741,0.0,570,291,608617797.7125,470000,-356798.54413200007,0.0003,0.0077392578125,0.0032254183,0.9602170586585999,211326832.0,1611,0.2,-0.0020991028346543316,328.08
-8.265357794612646,0.0,580,297,625227257.65,480000,-354400.3147819599,0.0003,0.024365234375,0.00521304,0.959149181842804,304693664.0,1613,0.2,-0.004181398241962597,325.47
-8.259108327329159,-1.1920928955078125e-07,590,303,586483513.3875,490000,-350456.83790521004,0.0003,0.027587890625,0.004997161,0.9582281708717346,185217680.0,1616,0.2,-0.0037436024546877887,311.89
-8.246139080077409,-1.1920928955078125e-07,610,311,535931146.8125,500000,-343216.56153949,0.0003,0.003515625,0.0030232433,0.9558995366096497,172826960.0,1603,0.2,-0.0020254013123121696,318.44
-8.23856998756528,0.0,620,317,682493688.675,510000,-357145.51989592,0.0003,0.003466796875,0.0032039476,0.9552463889122009,545020096.0,1606,0.2,-0.0017815575389249715,324.08
-8.233472973853349,-1.1920928955078125e-07,630,323,548413236.0625,520000,-353114.25715539,0.0003,0.00872802734375,0.0037978387,0.9541539549827576,321750752.0,1609,0.2,-0.002431055727538478,328.82
-8.228914029151202,0.0,640,328,661669097.8375,530000,-336204.34003257,0.0003,0.012158203125,0.0033680638,0.953953742980957,347130432.0,1612,0.2,-0.002622697524930118,307.24
-8.227393966168165,0.0,650,334,664685143.7625,540000,-311844.98291246005,0.0003,0.01358642578125,0.0037890826,0.9537556171417236,214377296.0,1615,0.2,-0.0026267849207215477,284.08
-8.211735285818577,0.0,670,343,568190761.7625,550000,-315993.68568177,0.0003,0.0125732421875,0.003830036,0.9503628611564636,343631488.0,1603,0.2,-0.0029355786842643282,282.81
-8.202997444570064,0.0,680,348,585878139.1,560000,-329803.83648026,0.0003,0.01612548828125,0.004189805,0.9496078491210938,266878640.0,1606,0.2,-0.002983533149017603,305.84
-8.193136948347092,1.1920928955078125e-07,690,354,525239674.125,570000,-308812.88204741,0.0003,0.00714111328125,0.0029640845,0.9473564028739929,459824000.0,1608,0.2,-0.0024986349075334147,298.53
-8.182487227767705,0.0,700,360,532327245.1875,580000,-322876.87271882,0.0003,0.00223388671875,0.0021750433,0.9462797045707703,422990816.0,1610,0.2,-0.0017829155296567479,313.43
-8.1764058701694,0.0,720,368,463550494.2375,590000,-328361.54433066,0.0003,0.01414794921875,0.0040944326,0.9458408355712891,214614592.0,1599,0.2,-0.0031308885966609525,333.52
-8.171540027111769,5.960464477539063e-08,730,374,449841733.4375,600000,-330837.65774439,0.0003,0.020361328125,0.003794116,0.9443605542182922,244437056.0,1602,0.2,-0.0030810107604338556,328.47
-8.163031204044819,-1.1920928955078125e-07,740,380,611004977.9875,610000,-335773.94977675,0.0003,0.01624755859375,0.004106113,0.9431520104408264,381280032.0,1605,0.2,-0.0029835086521416087,334.08
-8.158313331007957,0.0,750,385,517189711.4375,620000,-323017.26816111995,0.0003,0.01907958984375,0.004513217,0.9429070353507996,399985600.0,1607,0.2,-0.0033298656705483152,327.08
-8.158267630636692,0.0,760,391,580640930.0625,630000,-312416.06103246997,0.0003,0.01282958984375,0.0033973246,0.9431880116462708,384495584.0,1609,0.2,-0.0021892656659474596,306.36
-8.155057179927827,-1.1920928955078125e-07,780,400,606451686.9125,640000,-284322.13811222004,0.0003,0.00931396484375,0.0034564375,0.942612886428833,267718800.0,1598,0.2,-0.002226638646061474,272.6
-8.155519183725119,0.0,790,406,592322638.2125,650000,-285216.25827075,0.0003,0.0096435546875,0.0036233976,0.9426312446594238,282611904.0,1599,0.2,-0.002982212105052895,272.72
-8.157531666755677,-1.1920928955078125e-07,800,411,565770246.4875,660000,-285476.18005116,0.0003,0.00830078125,0.0032311296,0.9433618187904358,410187424.0,1602,0.2,-0.002572066573156917,273.71
-8.153405737876891,5.960464477539063e-08,810,417,503974077.2375,670000,-277714.41201653006,0.0003,0.0122802734375,0.0036836378,0.9414798617362976,359491904.0,1603,0.2,-0.0024759499085121204,265.86
-8.148057885468006,-1.1920928955078125e-07,830,426,623022119.6875,680000,-275797.13654291,0.0003,0.0229248046875,0.004362608,0.940812885761261,309644096.0,1594,0.2,-0.003908425784538849,259.81
-8.137096600979566,0.0,840,432,499201424.6625,690000,-268773.9130746499,0.0003,0.012353515625,0.0036580972,0.9387899041175842,186783040.0,1596,0.2,-0.0031663118002143165,260.48
-8.131445420533419,-1.1920928955078125e-07,850,437,575212497.6,700000,-285546.64449058,0.0003,0.01263427734375,0.00383196,0.9390085339546204,209943216.0,1598,0.2,-0.002606529572585714,283.87
