rollout/ep_len_mean,train/approx_kl,train/clip_range,train/value_loss,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/std,train/policy_gradient_loss,time/fps,time/total_timesteps,train/loss
43.51,0.0009644106,0.2,3287289067.8,342,640,2.44140625e-05,-12.6468846231699,0.0,0.0003,-163262.13290612004,0.9861360192298889,-0.001598687126806908,1549,530000,1708732032.0
49.99,0.0011261378,0.2,3203769544.0,347,650,3.662109375e-05,-12.640344863384962,0.0,0.0003,-169987.51796599998,0.9853118062019348,-0.0016313792420987738,1551,540000,1592135680.0
45.21,0.0004725494,0.2,3011162690.0,356,670,0.0,-12.630494722723961,0.0,0.0003,-174354.55149998996,0.984506368637085,-0.0009908288368023932,1542,550000,1306380672.0
52.96,0.000831418,0.2,3088048543.2,362,680,0.0,-12.628107745945453,0.0,0.0003,-177724.05816633,0.9842758178710938,-0.0013885478261727257,1544,560000,1275600384.0
45.58,0.00038907962,0.2,3000156063.8,368,690,0.0,-12.624781000614167,0.0,0.0003,-170552.30226467,0.9837813973426819,-0.0008539697728338069,1546,570000,1328915456.0
42.56,0.00043798162,0.2,3196629337.9,374,700,0.0,-12.621625693887472,-1.1920928955078125e-07,0.0003,-170153.49063408002,0.983606219291687,-0.0008884411581675522,1548,580000,1492438400.0
57.58,0.00037635252,0.2,2910383514.4,383,720,0.0,-12.6117142342031,-1.1920928955078125e-07,0.0003,-196936.89091399004,0.9823805689811707,-0.0008419200502430612,1539,590000,1178766464.0
41.33,0.00068136526,0.2,3114335553.2,389,730,0.0,-12.61077435836196,0.0,0.0003,-167658.68965988,0.9826348423957825,-0.0012344607888735482,1542,600000,1570441088.0
48.55,0.00047073065,0.2,2794869207.6,394,740,0.0,-12.611054053157568,1.7881393432617188e-07,0.0003,-168297.71043705,0.9824318289756775,-0.0008861407926815445,1544,610000,1374656512.0
42.56,0.0005402167,0.2,2975442808.1,400,750,0.0,-12.609299954771995,1.7881393432617188e-07,0.0003,-163219.00571087,0.9822658896446228,-0.0011435046799306292,1546,620000,1481417856.0
52.0,0.0005020817,0.2,3108616012.3,406,760,0.0,-12.607759437710047,1.7881393432617188e-07,0.0003,-184401.71704661,0.9821258187294006,-0.0010005914138673689,1548,630000,1600495744.0
42.77,0.0008934937,0.2,3321084533.2,415,780,2.44140625e-05,-12.602986999601125,1.1920928955078125e-07,0.0003,-172733.95923673,0.981395423412323,-0.0013852974358087521,1540,640000,1372748544.0
55.07,0.0004143841,0.2,2970834601.0,421,790,0.0,-12.598774457722902,0.0,0.0003,-181958.76235784998,0.9810458421707153,-0.0008289520942525996,1542,650000,1266267520.0
49.02,0.00027989678,0.2,2795146873.9,427,800,0.0,-12.594535775482655,0.0,0.0003,-172469.56308999995,0.980462908744812,-0.0007145010754356917,1544,660000,1249853312.0
40.81,0.00073157996,0.2,2952423444.6,433,810,0.0,-12.592763092368841,0.0,0.0003,-159345.04168886002,0.9806588292121887,-0.001177407342765946,1545,670000,1264515456.0
47.21,0.00072523556,0.2,2921446027.4,442,830,0.0,-12.592723483592271,0.0,0.0003,-167842.35684811,0.9804909825325012,-0.0011370479478500783,1538,680000,1697312000.0
50.8,0.0004364987,0.2,3075960660.9,448,840,0.0,-12.592334777116776,-1.1920928955078125e-07,0.0003,-175640.88108521997,0.9805845618247986,-0.001021534449319006,1539,690000,1609042688.0
55.89,0.0007742038,0.2,2917133166.3,454,850,0.0,-12.592077061533928,5.960464477539063e-08,0.0003,-174441.63936516002,0.9804514646530151,-0.0013400648966126027,1541,700000,1385167872.0
38.96,0.0011114448,0.2,2906213307.1,459,860,2.44140625e-05,-12.590115519613027,0.0,0.0003,-146599.09728977998,0.9801576137542725,-0.0015606329781803652,1543,710000,1204138368.0
42.06,0.0010001829,0.2,2838968433.5,465,870,1.220703125e-05,-12.58753373399377,-1.1920928955078125e-07,0.0003,-158671.31070115,0.9799089431762695,-0.0013931455852798536,1545,720000,1404658688.0
45.13,0.0010560541,0.2,2801505184.7,474,890,0.0,-12.581453020870686,0.0,0.0003,-154235.59317338,0.9791788458824158,-0.001397270707093412,1537,730000,1557623296.0
