train/critic_loss,time/total_timesteps,train/actor_loss,time/episodes,train/ent_coef,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss
3021496.5,730000,-102874.078125,24937,19.563032150268555,3466,210,0.001,133418.0,18.41,182474,0.5744867324829102
14295733.0,740000,-101846.5,25486,20.053287506103516,3516,210,0.001,133444.08649334,18.04,184974,0.817669153213501
14982448.0,750000,-101540.4921875,26020,20.50297737121582,3565,210,0.001,133386.50005791002,18.61,187474,-0.7864707112312317
13579828.0,760000,-100347.21875,26516,19.56224822998047,3614,210,0.001,133313.46433076,20.41,189974,0.25501805543899536
14960054.0,770000,-101720.71875,27044,21.44754981994629,3663,210,0.001,133381.66619267,20.04,192474,0.84151691198349
2842729.25,780000,-100440.015625,27458,21.774211883544922,3712,210,0.001,133420.63659103,18.95,194974,-1.8495688438415527
4379401.0,790000,-102489.3046875,28047,18.32427978515625,3761,210,0.001,133461.95692072998,17.54,197474,-0.6772420406341553
18068976.0,800000,-101898.6640625,28544,20.671815872192383,3810,209,0.001,133404.19257065,19.52,199974,0.8291575312614441
10112581.0,810000,-101287.53125,28804,20.94148826599121,3859,209,0.001,128751.84483388,26.74,202474,-0.9442330002784729
31472396.0,820000,-101924.734375,29323,19.443004608154297,3908,209,0.001,133400.9,18.71,204974,1.6438732147216797
5263516.5,830000,-101160.015625,29867,24.120695114135742,3957,209,0.001,133275.5,19.98,207474,-0.1586505025625229
4760367.5,840000,-100203.265625,29948,21.62506866455078,4006,209,0.001,116885.11389177,90.56,209974,-0.6478798389434814
9273745.0,850000,-101399.15625,30420,22.33277130126953,4054,209,0.001,133395.87690089,19.23,212474,-0.4084654152393341
12294858.0,860000,-101347.40625,30857,19.5026912689209,4104,209,0.001,133398.68620398,19.62,214974,-0.4706513583660126
3446172.0,870000,-102641.25,31315,20.64545440673828,4154,209,0.001,133377.44569959,19.0,217474,-1.5461437702178955
3825453.25,880000,-100339.3671875,31695,22.794166564941406,4203,209,0.001,132314.3,27.15,219974,0.6384004950523376
6030864.0,890000,-101382.515625,32257,18.50381851196289,4252,209,0.001,133459.60090013,17.98,222474,-0.5370957851409912
3868753.25,900000,-100224.65625,32719,21.13056755065918,4301,209,0.001,133456.62874766,17.69,224974,0.31418102979660034
10943405.0,910000,-100985.125,33277,21.077068328857422,4350,209,0.001,133285.8,16.99,227474,-0.14598111808300018
11227198.0,920000,-101816.796875,33867,20.17333221435547,4398,209,0.001,133471.93973928,17.38,229974,-0.8736081719398499
9614558.0,930000,-100604.4765625,34361,18.49790382385254,4448,209,0.001,133075.99680145,21.37,232474,-1.4072736501693726
2195429.75,940000,-101325.0859375,34912,19.8217716217041,4497,208,0.001,133436.79267313,18.68,234974,1.581482172012329
6527132.0,950000,-101947.46875,35465,19.619550704956055,4547,208,0.001,130626.4,17.92,237474,-0.06667259335517883
33955096.0,960000,-100830.734375,36061,22.772645950317383,4597,208,0.001,133450.03089233,17.91,239974,0.2523425817489624
3057863.0,970000,-101553.859375,36633,20.705928802490234,4647,208,0.001,133530.98891989997,15.56,242474,0.8652573823928833
2765660.75,980000,-104303.984375,37212,20.15529441833496,4697,208,0.001,132618.66652903,23.61,244974,1.8492603302001953
77652480.0,990000,-102139.9375,37746,19.07731056213379,4747,208,0.001,133511.07709069,16.02,247474,-1.4281210899353027
42025664.0,1000000,-101266.390625,38315,18.003446578979492,4797,208,0.001,132937.62058728,22.32,249974,0.41314566135406494
