time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
247,427,13182,0.18020376563072205,-0.7378121614456177,504.02,105560,557.8726806640625,-6523.96561704,382.9637145996094,284,0.001,,
247,429,13282,0.17939884960651398,0.08419251441955566,488.43,106360,584.4566650390625,-6260.73351528,615.4253540039062,288,0.001,,
248,431,13385,0.1794869303703308,-0.6182705163955688,494.47,107184,563.567138671875,-6309.09594766,419.79034423828125,292,0.001,,
249,440,13714,0.17306196689605713,0.5284667015075684,503.47,109816,552.6402587890625,-6424.333698660001,375.7440185546875,296,0.001,,
249,440,13737,0.1731979101896286,-0.33393746614456177,503.47,110000,530.396240234375,-6424.333698660001,352.210205078125,296,0.001,,
,,,,,,110000,,,,,,-11191.231537999998,1000.0
245,457,14037,0.16751474142074585,0.4664976894855499,517.74,112400,562.2635498046875,-6521.411016009998,796.4231567382812,300,0.001,,
246,461,14173,0.1702965945005417,0.5574820637702942,527.24,113488,568.5122680664062,-6590.7686090199995,1258.1131591796875,304,0.001,,
247,466,14402,0.1718798726797104,0.3878602087497711,530.66,115320,578.88916015625,-6526.30909229,383.55072021484375,308,0.001,,
248,476,14781,0.16836898028850555,0.15749943256378174,522.29,118352,548.489013671875,-6388.1073384,328.271728515625,312,0.001,,
249,481,14987,0.1758878529071808,0.13992495834827423,527.03,120000,585.008056640625,-6412.3993031300015,380.98883056640625,313,0.001,,
,,,,,,120000,,,,,,-15880.8614038,1000.0
245,495,15173,0.1744244396686554,-0.7348140478134155,545.45,121488,585.017822265625,-6618.352864119998,335.45477294921875,316,0.001,,
245,501,15423,0.1648130565881729,-0.12256315350532532,545.97,123488,594.54052734375,-6575.7550959400005,342.8160400390625,320,0.001,,
247,509,15718,0.15866804122924805,-0.6060045957565308,560.79,125848,606.332763671875,-6620.7967862999985,1091.9691162109375,324,0.001,,
248,520,16173,0.15116792917251587,0.09037020802497864,575.77,129488,589.2391357421875,-6710.923764880001,831.0089111328125,328,0.001,,
248,522,16237,0.15283514559268951,1.2337515354156494,569.54,130000,595.2970581054688,-6653.59065927,869.467529296875,329,0.001,,
,,,,,,130000,,,,,,-5783.3377740000005,812.0
245,534,16423,0.1575588434934616,0.1692073494195938,571.88,131488,590.6181030273438,-6631.50217971,1364.059326171875,332,0.001,,
246,541,16663,0.15602503716945648,-0.3729773759841919,561.52,133408,545.5241088867188,-6516.09842919,378.6859436035156,336,0.001,,
246,543,16745,0.15530946850776672,-0.7026896476745605,555.03,134064,548.3634033203125,-6384.488105039999,439.32281494140625,340,0.001,,
247,547,16938,0.15848837792873383,-0.4543669819831848,556.33,135608,584.1917724609375,-6406.045742470001,372.200927734375,344,0.001,,
248,556,17290,0.16002555191516876,-0.27020785212516785,552.12,138424,556.9453125,-6390.65475022,379.7937316894531,348,0.001,,
249,561,17487,0.15517602860927582,0.5898521542549133,548.94,140000,556.7835693359375,-6256.417422180001,951.0194091796875,351,0.001,,
,,,,,,140000,,,,,,-6286.6455312,693.2
246,569,17526,0.15535680949687958,0.39537012577056885,548.33,140312,573.7506103515625,-6219.740993840001,351.5673522949219,352,0.001,,
247,577,17874,0.1575065702199936,0.08142891526222229,549.59,143096,571.9989013671875,-6091.37898765,402.9081115722656,356,0.001,,
248,585,18191,0.15578725934028625,0.3728125989437103,551.42,145632,552.6561279296875,-6221.4171679500005,270.0578918457031,360,0.001,,
